SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,C,B,C,B,B,B,B,B,C,B,C,B,C,C,B,B,B,C,C,C,C,C,C,C,C,B,C,B,B
SSNAP score,56.7,68.4,72,66.6,77.9,73.8,78.8,77.4,72,66.6,70.3,67.5,71.3,64.6,64.6,72,72,70.0,65.0,69.0,64.0,65.0,63.0,61.0,66.0,68.0,70.0,69.0,70.0,73.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,C,C,C,B,C,B,C,C,C,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,C,B,B,B,A,A,A,A,B,B,B,B,B,C,C,B,B,B,C,C,C,C,C,C,C,C,B,C,B,B
Combined Total Key Indicator score,63,76,80,74,82,82,83,86,80,74,74,71,75,68,68.0,72,72,70.0,65.0,69.0,64.0,65.0,63.0,61.0,66.0,68.0,70.0,69.0,70.0,73.0
Number of records completed: Team-centred post-72h all teams cohort,127,126,121,126,120,132,138,127,133,115,134,161,148,136,163,153,147,189,206,181,197,206,175,202,167,212,192,191,208,230
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,B,B,B,B,B,B,B,B,B,C,C,C,C,D,C,D,B,C,D,E,D,D,D,E,C,C,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,D,B,A,A,B,B,B,A,B,B,B,C,C,C,C,C,C,C,D,C,D,C,C,D,C,C,C,D,C,B
Patient-centred Domain levels: 4) Specialist Assessments,B,A,A,A,A,B,A,A,B,A,B,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,E,E,D,D,A,B,B,B,B,C,B,C,C,C,C,B,C,D,E,E,C,C,B,C,C,D,C,C,D,E
Patient-centred Domain levels: 6) Physiotherapy,B,C,B,C,B,B,A,A,B,A,B,C,B,D,D,C,C,D,D,D,D,D,E,D,D,D,C,D,D,C
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,C,C,D,B,D,D,C,D,D,E,C,D,C,C,C,D,E,D,E,E,E,E,E,E,E,E,E,C
Patient-centred Domain levels: 8) MDT working,D,C,B,B,A,B,B,B,B,C,B,B,B,B,B,B,B,B,B,B,B,C,C,C,B,C,B,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,C,B,C,D,D,C,C,B,C,D,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,A,B,A,A,B
Patient-centred Domain levels: 10) Discharge processes,B,A,A,B,A,A,A,A,A,B,C,B,A,C,B,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A
