SSNAP Scoring Summary:,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,D,D,B,C,B,B,A,B,C,C,A,B,B,B,B,B,B
SSNAP score,54.2,57.7,50.8,59.6,70.1,68.4,73.5,79.1,81.9,76.1,69.2,62.1,84.5,74.6,77.4,79.1,73.9,79.1,77.1
Case ascertainment band,C,A,A,A,A,B,B,B,A,A,A,B,A,A,A,A,B,A,A
Audit compliance band,D,D,D,C,B,C,B,B,B,C,C,D,A,B,B,C,C,C,D
Combined Total Key Indicator level,B,C,D,C,B,B,A,A,A,A,B,B,A,B,A,A,A,A,A
Combined Total Key Indicator score,75,67.9,59.8,66.2,73.8,80,81.4,87.6,86.2,84.5,76.9,76.9,84.5,78.6,81.4,87.9,86.4,87.9,90.7
Number of records completed: Team-centred post-72h all teams cohort,50,54,51,52,75,70,53,59,73,64,69,58,68,63,76,70,66,64,65
Patient-centred Domain levels: 2) Stroke unit,A,B,B,A,A,A,B,A,A,A,B,B,A,A,A,B,B,B,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,D,C,B,A,A,A,B,B,C,B,C,B,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,B,C,C,C,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B
Patient-centred Domain levels: 8) MDT working,B,D,E,E,D,D,B,B,C,B,C,C,C,D,B,C,D,C,B
Patient-centred Domain levels: 9) Standards by discharge,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,C,C,C,B,B,B,B,A,A,A,B,A,A,A,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,C,C,C,B,B,A,A,A,A,B,B,A,B,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,80,65.7,62.9,65.7,74.3,80,82.9,88.6,85.7,85.7,77.1,77.1,85.7,77.1,82.9,85.7,82.9,85.7,91.4
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,B,C,B,B,A,B,C,C,A,B,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,57.8,55.9,53.4,59.1,70.6,68.4,74.8,79.9,81.4,77.1,69.4,62.3,85.7,73.3,78.7,77.1,70.8,77.1,77.7
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,E,D,C,C,A,A,A,B,B,C,B,C,B,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,C,C,B,A,B,B,B,B,B,B,C,B,B,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,D,D,E,D,D,C,C,C,C,C,C,C,B,C,C,C,C,C,C
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,C,B,B,B,C,C,B,B,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,C,C,C,B,B,B,B,A,A,A,B,A,A,A,B,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,B,D,C,B,B,B,A,A,A,B,B,A,B,B,A,A,A,A
Team-centred KI level Team-centred Total KI score,70,70,56.7,66.7,73.3,80,80.0,86.7,86.7,83.3,76.7,76.7,83.3,80.0,80.0,90.0,90.0,90.0,90.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,C,C,C,B,B,A,B,C,C,A,B,B,A,B,A,B
Team-centred SSNAP level Team-centred SSNAP score,50.6,59.5,48.2,60.0,69.7,68.4,72.2,78.2,82.3,75.0,69.0,61.9,83.3,76.0,76.0,81.0,77.0,81.0,76.5
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),1,16,73,121,114,90,105,83,77,88,107,108,102,115,131,120,115,95,94
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,0.97,95%,1,0.97,98%,99%,95%,92%,92%,96%,95%,96%,97%,97%,97%,98%,99%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,0,5,26,31,33,60,42,50,59,61,53,34,24,47,52,59,49,37
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0,0.07,21%,0.27,0.37,57%,51%,65%,67%,57%,49%,33%,21%,36%,43%,51%,52%,39%
