SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01
  SSNAP level,E,E,E,E,E,D,D,D,D,D,B,C,C,C,C,C,C,X,TFP
  SSNAP score,25.5,26,17.3,24.8,30.3,50.9,57.1,47.7,47.3,56.4,71.7,63.7,67.3,65,61.7,61.7,61.7,.,.
  Case ascertainment band,A,C,C,A,A,A,B,A,A,A,A,A,A,A,A,A,A,X,
  Audit compliance band,D,D,D,E,C,E,D,C,D,C,A,A,A,A,A,A,A,X,TFP
  Combined Total Key Indicator level,E,E,E,E,E,C,B,D,D,C,B,C,C,C,C,C,C,X,TFP
  Combined Total Key Indicator score,30,36,24,31,33.7,63.7,70.7,53,55.7,62.7,71.7,63.7,67.3,65,61.7,61.7,61.7,.,.
Number of records completed: Team-centred post-72h all teams cohort,87,47,48,62,41,22,24,43,50,41,45,54,55,46,47,57,49,None completed,Too few to report
Patient-centred Domain levels: 1) Scanning,C,D,D,E,C,A,A,C,B,B,B,C,C,B,B,C,B,None entered,Too few to report
Patient-centred Domain levels: 2) Stroke unit,D,C,E,E,E,C,B,D,D,D,E,D,E,E,E,E,E,None entered,Too few to report
Patient-centred Domain levels: 3) Thrombolysis,E,E,E,E,D,B,A,C,C,C,D,A,B,C,C,C,C,None entered,Too few to report
Patient-centred Domain levels: 4) Specialist Assessments,D,D,E,E,D,B,B,D,D,C,C,C,C,C,C,B,C,None entered,Too few to report
Patient-centred Domain levels: 5) Occupational therapy,E,C,D,C,E,C,B,C,C,C,B,B,B,C,C,C,C,None entered,Too few to report
Patient-centred Domain levels: 6) Physiotherapy,D,C,D,C,E,A,A,B,A,B,C,D,C,C,D,D,B,None entered,Too few to report
Patient-centred Domain levels: 7) Speech and Language therapy,E,D,E,E,E,E,C,C,C,C,B,E,C,E,C,D,E,None entered,Too few to report
Patient-centred Domain levels: 8) MDT working,E,E,E,E,D,D,B,C,D,D,B,C,B,C,C,C,D,None entered,Too few to report
Patient-centred Domain levels: 9) Standards by discharge,E,E,E,D,C,C,C,D,E,D,A,B,B,B,B,B,B,None entered,Too few to report
Patient-centred Domain levels: 10) Discharge processes,E,E,E,E,E,D,D,C,B,A,A,A,A,A,B,A,A,None entered,Too few to report
Patient-centred KI level Patient-centred Total KI level,E,E,E,E,E,C,B,D,D,C,B,C,C,C,C,C,C,No records,TFP
Patient-centred KI level Patient-centred Total KI score,30,38,26,30,34,64,78,56,58,62,70,64,68,60,60.0,60,60,.,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,E,E,D,C,D,D,D,B,C,C,C,C,C,C,X,TFP
Patient-centred SSNAP level Patient-centred SSNAP score,25.5,27.5,18.8,24,30.6,51.2,63,50.4,49.3,55.8,70,64,68,60,60.0,60,60,.,.
Team-centred Domain levels: 1) Scanning,C,D,E,E,,,,,,,,,,,,,,,
Team-centred Domain levels: 2) Stroke unit,D,D,E,E,C,A,A,B,C,B,A,B,B,A,B,B,C,None entered,Too few to report
Team-centred Domain levels: 3) Thrombolysis,E,E,E,E,,,,,,,,,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,D,D,E,E,,,,,,,,,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,E,D,E,C,E,D,C,D,D,D,C,C,B,C,C,C,D,None entered,Too few to report
Team-centred Domain levels: 6) Physiotherapy,D,C,D,C,E,A,A,C,A,B,D,D,D,C,C,D,B,None entered,Too few to report
Team-centred Domain levels: 7) Speech and Language therapy,E,D,E,E,E,E,D,E,E,D,D,E,E,E,E,E,E,None entered,Too few to report
Team-centred Domain levels: 8) MDT working,E,E,E,D,,,,,,,,,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,E,E,E,D,C,B,D,D,E,D,A,B,B,B,B,B,B,None entered,Too few to report
Team-centred Domain levels: 10) Discharge processes,E,E,E,E,E,D,D,C,B,A,A,A,A,A,B,A,A,None entered,Too few to report
Team-centred KI level Team-centred Total KI level,E,E,E,E,E,C,C,D,D,C,B,C,C,B,C,C,C,No records,TFP
Team-centred KI level Team-centred Total KI score,30,34,22,32,33.3,63.3,63.3,50,53.3,63.3,73.3,63.3,66.7,70,63.3,63.3,63.3,.,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,E,E,E,D,D,D,D,D,B,C,C,B,C,C,C,X,TFP
Team-centred SSNAP level Team-centred SSNAP score,25.5,24.6,15.9,25.6,30,50.7,51.1,45,45.3,57,73.3,63.3,66.7,70,63.3,63.3,63.3,.,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,15,75,109,89,92,104,82,49,38,72,68,79,86,95,101,82,.,2
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,0.98,0.98,1,1,1,1,1,1,1,1,1,100%,1,1,.,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,6,2,0,0,0,0,0,0,0,0,0,2,2,4,.,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0.06,0.02,0,0,0,0,0,0,0,0,0,2%,0.02,0.05,.,0%
