SSNAP Scoring Summary:,2021-07-01,2021-10-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,TFP,A,B,C,D,C,C,A,B,C
SSNAP score,.,81.9,71.4,69.6,59.2,68.0,66.7,83.3,74.3,67.8
Case ascertainment band,,A,A,A,B,A,B,A,A,A
Audit compliance band,D,B,C,C,C,D,D,A,D,D
Combined Total Key Indicator level,TFP,A,B,B,C,B,A,A,A,B
Combined Total Key Indicator score,.,86.2,79.3,77.4,69.3,80.0,82.6,83.3,87.4,79.8
Number of records completed: Team-centred post-72h all teams cohort,20,22,25,22,30,37,39,61,55,74
Patient-centred Domain levels: 2) Stroke unit,Too few to report,A,D,D,B,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,Too few to report,A,B,A,B,B,A,B,A,B
Patient-centred Domain levels: 6) Physiotherapy,Too few to report,A,B,A,C,B,A,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,Too few to report,A,C,C,B,C,C,C,B,B
Patient-centred Domain levels: 8) MDT working,Too few to report,E,D,E,E,C,B,C,A,B
Patient-centred Domain levels: 9) Standards by discharge,Too few to report,B,B,B,C,B,B,B,B,C
Patient-centred Domain levels: 10) Discharge processes,Too few to report,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,TFP,A,C,B,C,B,A,B,A,A
Patient-centred KI level Patient-centred Total KI score,.,85.7,68.6,71.4,68.6,80.0,88.6,80.0,91.4,82.9
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",TFP,A,C,C,D,C,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,.,81.4,61.7,64.3,58.6,68.0,71.5,80.0,77.7,70.4
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,C,B,B,A,A,B
Team-centred Domain levels: 6) Physiotherapy,B,A,A,A,C,B,B,A,B,B
Team-centred Domain levels: 7) Speech and Language therapy,C,D,B,D,D,C,D,C,C,C
Team-centred Domain levels: 9) Standards by discharge,Too few to report,B,C,C,C,C,C,C,C,D
Team-centred Domain levels: 10) Discharge processes,Too few to report,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,TFP,A,A,A,B,B,B,A,A,B
Team-centred KI level Team-centred Total KI score,.,86.7,90.0,83.3,70.0,80.0,76.7,86.7,83.3,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",TFP,A,A,B,D,C,C,A,B,C
Team-centred SSNAP level Team-centred SSNAP score,.,82.3,81.0,75.0,59.8,68.0,61.9,86.7,70.8,65.2
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),2,17,41,38,43,47,48,55,80,95
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),100%,100%,98%,97%,100%,100%,100%,100%,100%,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,0,2,6,3,0,0,0,1,1
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0%,0%,5%,16%,7%,0%,0%,0%,1%,1%
