SSNAP Scoring Summary:,2014-10-01,2015-01-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2019-01-01,2019-04-01
SSNAP level,C,D,D,C,D,C,D,C
SSNAP score,60.7,59.7,58.6,67.3,59.9,63.6,55.2,64.0
Case ascertainment band,C,C,B,B,C,C,B,A
Audit compliance band,E,E,D,D,D,C,E,E
Combined Total Key Indicator level,A,A,B,A,A,A,B,B
Combined Total Key Indicator score,89.3,87.9,72.6,83.3,82.9,83.1,72.6,80.0
Number of records completed: Team-centred post-72h all teams cohort,21,22,22,20,24,26,38,46
Patient-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,B,A
Patient-centred Domain levels: 5) Occupational therapy,A,B,C,B,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,B,A,B,B,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,D,C,B,C,D,C
Patient-centred Domain levels: 8) MDT working,B,C,E,D,A,C,D,D
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,B,A
Patient-centred Domain levels: 10) Discharge processes,B,A,A,A,C,A,B,B
Patient-centred KI level Patient-centred Total KI level,A,A,C,B,A,A,C,B
Patient-centred KI level Patient-centred Total KI score,88.6,85.7,68.6,80,85.7,82.9,68.6,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,D,D,C,C,C,D,C
Patient-centred SSNAP level Patient-centred SSNAP score,60.2,58.3,55.4,64.6,61.9,63.4,52.1,64.0
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,C,C,B,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A,C,A,C,C,C,B
Team-centred Domain levels: 7) Speech and Language therapy,B,B,D,C,C,D,E,E
Team-centred Domain levels: 9) Standards by discharge,B,A,A,B,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,B,A,A,A,C,A,B,B
Team-centred KI level Team-centred Total KI level,A,A,B,A,B,A,B,B
Team-centred KI level Team-centred Total KI score,90,90,76.7,86.7,80,83.3,76.7,80.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,C,C,B,D,C,D,C
Team-centred SSNAP level Team-centred SSNAP score,61.2,61.2,61.9,70,57.8,63.8,58.3,64.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),44,34,34,32,66,70,56,57
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.96,1,0.87,0.84,1,1,0.93,95%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),29,18,30,25,8,14,25,27
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.66,0.53,0.88,0.78,0.12,0.2,0.45,47%
