SSNAP Scoring Summary:,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,D,C,C,C,B,C,D,C,D,D,TFP,TFP,D,D,C,C,D,C,D,D,D
SSNAP score,33,47.2,67,69.6,68,70.3,65.8,52.3,62.6,53.6,54.5,.,.,56.3,40.4,62.7,62.9,49.9,61.1,57.9,41.2,54.3
Case ascertainment band,D,A,A,B,A,A,A,C,A,B,B,C,C,A,D,A,A,C,A,C,D,C
Audit compliance band,D,D,D,B,D,B,B,D,C,D,B,D,D,D,D,B,B,D,D,C,D,C
Combined Total Key Indicator level,D,D,B,B,B,B,C,B,C,C,C,TFP,TFP,C,C,C,C,C,B,B,C,B
Combined Total Key Indicator score,55.5,55.5,78.8,77.1,80,74,69.3,72.4,69.5,66.4,60.4,.,.,66.2,67.9,66.0,66.2,69.0,71.9,75.7,69.3,71.0
Number of records completed: Team-centred post-72h all teams cohort,22,38,26,28,27,31,36,25,23,28,20,20,20,25,21,36,33,26,32,21,22,20
Patient-centred Domain levels: 2) Stroke unit,A,B,A,A,A,A,A,A,A,B,A,Too few to report,Too few to report,B,A,B,B,A,A,B,B,A
Patient-centred Domain levels: 5) Occupational therapy,D,D,C,C,C,D,D,D,C,D,D,Too few to report,Too few to report,D,E,D,C,C,C,C,B,C
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,B,B,B,B,B,C,D,Too few to report,Too few to report,C,C,B,C,C,B,B,C,D
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,B,B,A,B,C,C,E,C,C,Too few to report,Too few to report,C,B,B,C,C,B,C,C,B
Patient-centred Domain levels: 8) MDT working,E,E,E,E,D,E,E,D,E,E,D,Too few to report,Too few to report,E,E,E,E,D,D,E,E,D
Patient-centred Domain levels: 9) Standards by discharge,E,D,B,B,B,B,B,B,B,B,B,Too few to report,Too few to report,A,B,B,B,B,B,A,B,B
Patient-centred Domain levels: 10) Discharge processes,C,C,A,A,A,A,A,A,A,A,A,Too few to report,Too few to report,A,A,A,A,A,A,A,A,B
Patient-centred KI level Patient-centred Total KI level,D,D,B,B,B,B,C,B,C,C,C,TFP,TFP,C,C,C,C,B,B,B,C,C
Patient-centred KI level Patient-centred Total KI score,54.3,54.3,74.3,74.3,80,71.4,68.6,71.4,65.7,62.9,65.7,.,.,65.7,65.7,68.6,65.7,71.4,77.1,71.4,68.6,68.6
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,C,C,C,C,C,D,D,D,D,TFP,TFP,D,E,C,C,D,C,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,32.3,46.1,63.1,67,68,67.9,65.1,51.6,59.1,50.8,59.3,.,.,55.9,39.1,65.1,62.4,51.6,65.6,54.6,40.8,52.5
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A
Team-centred Domain levels: 5) Occupational therapy,D,D,C,C,C,D,D,C,C,C,E,C,E,E,E,E,E,E,D,D,C,C
Team-centred Domain levels: 6) Physiotherapy,B,C,B,B,B,B,B,B,B,D,D,D,D,D,C,D,D,C,C,B,D,D
Team-centred Domain levels: 7) Speech and Language therapy,D,D,B,B,B,C,D,E,E,D,C,E,C,C,C,C,C,D,E,C,C,B
Team-centred Domain levels: 9) Standards by discharge,E,D,B,C,C,B,C,B,B,B,Too few to report,Too few to report,Too few to report,B,B,B,B,B,B,A,B,B
Team-centred Domain levels: 10) Discharge processes,C,C,A,A,A,A,A,A,A,A,Too few to report,Too few to report,Too few to report,A,A,A,A,A,A,A,A,B
Team-centred KI level Team-centred Total KI level,D,D,A,B,B,B,B,B,B,B,D,TFP,TFP,C,B,C,C,C,C,B,B,B
Team-centred KI level Team-centred Total KI score,56.7,56.7,83.3,80,80,76.7,70.0,73.3,73.3,70.0,55.0,.,.,66.7,70.0,63.3,66.7,66.7,66.7,80.0,70.0,73.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,B,B,C,B,C,D,C,D,D,TFP,TFP,D,D,C,C,D,D,C,D,D
Team-centred SSNAP level Team-centred SSNAP score,33.7,48.2,70.8,72.2,68,72.8,66.5,53,66,56.5,49.6,.,.,56.7,41.6,60.2,63.3,48.2,56.7,61.2,41.6,56.1
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),3,29,47,40,30,35,32,37,40,39,42,35,41,37,30,31,46,49,53,46,48,53
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,0.85,0.87,0.88,0.81,80%,0.84,0.83,85%,86%,71%,79%,77%,58%,62%,82%,88%,90%,79%,81%,88%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,8,23,20,11,20,13,18,27,20,12,12,17,14,10,4,5,7,10,9,13,12
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0.28,0.49,0.5,0.37,0.57,41%,0.49,0.68,51%,29%,34%,41%,38%,33%,13%,11%,14%,19%,20%,27%,23%
