SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,X,D,B,A,B,A,A,A,A,A,A
SSNAP score,53.2,57,76,85,78.8,73.1,71.3,82.6,80.8,83.6,90,88,88,89,87.0,89,82.6,82.6,84.5,.,57.3,71.3,80.8,72.2,84.0,83.6,87.4,89.0,86.0,87.0
Case ascertainment band,B,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,B,B,B,D,B,B,A,B,A,A,A,A,A,A
Audit compliance band,B,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,X,C,B,B,B,A,B,B,A,A,A
Combined Total Key Indicator level,D,D,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,X,C,B,A,B,A,A,A,A,A,A
Combined Total Key Indicator score,59,57,76,85,83,81,79,87,85,88,90,88,88,89,87.0,89,87,87.0,89.0,.,67.0,79.0,85.0,80.0,84.0,88.0,92.0,89.0,86.0,87.0
Number of records completed: Team-centred post-72h all teams cohort,294,289,297,302,290,273,291,308,309,309,299,339,321,342,323,308,308,285,284,Insufficient records,254,246,260,300,353,319,307,321,348,322
Patient-centred Domain levels: 1) Scanning,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Insufficient records,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,D,C,C,D,D,D,C,C,C,C,C,C,D,C,C,D,C,C,Insufficient records,E,D,C,D,D,C,C,D,C,C
Patient-centred Domain levels: 3) Thrombolysis,B,C,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,C,B,Insufficient records,B,C,C,C,C,B,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,D,D,C,B,C,C,C,B,C,B,B,B,C,B,B,B,B,B,B,Insufficient records,C,B,B,B,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,D,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Insufficient records,B,B,A,A,A,A,A,A,B,B
Patient-centred Domain levels: 6) Physiotherapy,C,D,C,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,Insufficient records,C,B,A,A,B,A,A,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,D,B,B,A,A,B,A,A,A,A,A,A,A,B,B,A,B,B,Insufficient records,C,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 8) MDT working,D,C,B,A,B,A,B,B,B,C,A,A,A,A,B,A,A,A,A,Insufficient records,B,B,B,B,B,B,A,A,B,B
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,Insufficient records,A,A,A,B,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,B,B,B,B,A,B,B,B,A,A,A,B,A,A,A,A,A,A,A,Insufficient records,C,B,A,B,B,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,C,D,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,Insufficient records,B,B,A,B,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,64,56,74,86,84,84,80,88,86,88,92,90,90,90,86.0,88,90,88.0,90.0,.,70.0,78.0,86.0,80.0,82.0,88.0,92.0,88.0,86.0,86.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,X,D,B,A,B,A,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,57.8,56,74,86,79.8,75.8,72.2,83.6,81.7,83.6,92,90,90,90,86.0,88,85.5,83.6,85.5,.,59.8,70.4,81.7,72.2,82.0,83.6,87.4,88.0,86.0,86.0
Team-centred Domain levels: 1) Scanning,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Insufficient records,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,D,C,C,C,D,D,D,C,C,D,C,C,C,D,C,C,D,C,C,Insufficient records,E,D,C,D,D,C,B,D,C,C
Team-centred Domain levels: 3) Thrombolysis,B,C,B,B,B,B,B,A,B,B,B,B,B,B,B,B,C,D,C,Insufficient records,C,C,C,C,C,B,B,B,B,C
Team-centred Domain levels: 4) Specialist Assessments,D,D,C,B,C,C,C,B,C,B,B,B,C,B,B,B,B,B,B,Insufficient records,C,B,B,B,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,D,D,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Insufficient records,C,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,D,D,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Insufficient records,D,C,A,A,A,A,A,A,B,A
Team-centred Domain levels: 7) Speech and Language therapy,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Insufficient records,C,A,A,B,B,B,A,B,C,B
Team-centred Domain levels: 8) MDT working,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,Insufficient records,B,B,B,B,B,B,B,A,B,B
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,Insufficient records,A,A,B,B,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,D,C,C,C,B,D,D,C,B,A,B,C,B,A,B,A,B,A,A,Insufficient records,C,B,B,B,A,B,B,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,Insufficient records,C,B,A,B,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,54,58,78,84,82,78,78,86,84,88,88,86,86,88,88.0,90,84,86.0,88.0,.,64.0,80.0,84.0,80.0,86.0,88.0,92.0,90.0,86.0,88.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,B,A,B,B,B,A,B,A,A,A,A,A,A,A,B,A,A,X,D,B,B,B,A,A,A,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,48.7,58,78,84,77.9,70.4,70.4,81.7,79.8,83.6,88,86,86,88,88.0,90,79.8,81.7,83.6,.,54.7,72.2,79.8,72.2,86.0,83.6,87.4,90.0,86.0,88.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,452,456,461,445,435,444,432,439,423,486,490,490,518,545,523,508,369,394,378,458,453,403,388,379,384,432,474,456,451
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.98,0.96,0.94,0.95,0.92,0.89,0.91,0.94,0.93,0.97,0.98,0.96,0.96,95%,0.96,0.95,95%,96%,95%,97%,96%,95%,94%,94%,93%,91%,89%,81%,82%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,43,37,54,65,72,58,56,47,55,45,46,57,54,71,65,67,80,64,54,79,93,55,54,60,61,89,125,168,142
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.1,0.08,0.12,0.15,0.17,0.13,0.13,0.11,0.13,0.09,0.09,0.12,0.1,13%,0.12,0.13,22%,16%,14%,17%,21%,14%,14%,16%,16%,21%,26%,37%,31%
