SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,C,C,C,C,A,A,A,B,B,B,B,C,C,C,C,B,C,B,C,C,C,D,D,C,C,B,C,C
SSNAP score,56.9,59.7,68.7,68.7,65.8,69.3,80.6,85.8,91.7,70,75.3,70.7,76.7,67.3,67.3,64.9,67,73.1,69.3,77.3,66.0,69.3,64.0,52.7,56.0,60.0,66.3,74.0,63.0,66.7
Case ascertainment band,A,A,B,A,B,A,B,A,A,A,A,A,A,A,A,B,A,B,B,A,A,A,A,A,B,A,A,A,A,A
Audit compliance band,D,C,C,C,C,C,B,B,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,C,C,A,B,B,B,A,A,A,A,B,B,B,C,C,C,C,B,B,B,C,C,C,D,D,C,C,B,C,C
Combined Total Key Indicator score,67,66.3,80.3,76.3,77,77,89.3,90.3,91.7,82.3,75.3,70.7,76.7,67.3,67.3,68.3,67,77.0,73.0,77.3,66.0,69.3,64.0,52.7,59.0,60.0,66.3,74.0,63.0,66.7
Number of records completed: Team-centred post-72h all teams cohort,55,59,43,42,34,47,38,42,34,37,59,49,49,54,54,42,51,42,36,40,53,41,46,43,49,53,46,63,49,48
Patient-centred Domain levels: 1) Scanning,D,D,A,B,A,E,A,B,A,A,A,A,A,A,A,A,B,C,C,C,B,B,C,C,C,B,A,B,B,A
Patient-centred Domain levels: 2) Stroke unit,D,D,C,C,E,E,C,C,B,D,E,C,D,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D
Patient-centred Domain levels: 3) Thrombolysis,E,D,C,C,B,C,C,A,A,B,C,A,B,B,C,B,C,C,E,D,C,D,E,E,D,C,D,C,D,E
Patient-centred Domain levels: 4) Specialist Assessments,E,E,D,D,D,E,D,D,C,D,D,D,D,D,D,D,E,E,D,E,E,E,E,E,D,D,D,D,D,B
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,B,B,A,A,A,A,A,B,C,B,C,C,B,B,A,A,B,C,A,A,A,B,C,C,C,C,D
Patient-centred Domain levels: 6) Physiotherapy,B,C,B,B,B,B,A,B,A,B,B,B,B,D,C,C,C,A,A,A,B,C,C,C,C,C,B,B,C,C
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,B,A,A,B,B,A,A,A,A,B,A,B,B,B,B,A,B,A,B,B,B,C,A,B,B,A,A,A
Patient-centred Domain levels: 8) MDT working,D,D,C,B,C,C,B,B,B,C,C,B,B,C,D,D,D,B,C,C,D,D,D,D,D,D,C,D,C,C
Patient-centred Domain levels: 9) Standards by discharge,C,B,A,B,B,A,A,A,B,B,A,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,B,A,A,A
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,C,C,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,B,B,B,C,A,A,A,B,B,B,B,C,C,B,C,B,C,C,C,C,D,D,D,C,C,C,C,B
Patient-centred KI level Patient-centred Total KI score,54,56,74,76,74,64,82,84,90,78,74,78,80,68,68.0,70,64,74.0,66.0,68.0,62.0,62.0,58.0,52.0,58.0,60.0,66.0,68.0,66.0,70.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,C,C,C,D,B,B,A,C,B,B,B,C,C,C,C,B,C,C,C,C,D,D,D,C,C,C,C,B
Patient-centred SSNAP level Patient-centred SSNAP score,45.9,50.4,63.3,68.4,63.3,57.6,74,79.8,90,66.3,74,78,80,68,68.0,66.5,64,70.3,62.7,68.0,62.0,62.0,58.0,52.0,55.1,60.0,66.0,68.0,66.0,70.0
Team-centred Domain levels: 2) Stroke unit,A,B,A,B,C,B,A,A,B,B,C,B,B,D,B,B,C,D,C,C,D,C,D,D,D,D,D,D,D,D
Team-centred Domain levels: 5) Occupational therapy,C,C,C,C,B,A,A,A,A,A,C,D,C,C,C,C,C,B,A,B,B,A,B,C,C,D,C,C,E,E
Team-centred Domain levels: 6) Physiotherapy,B,B,B,B,B,B,A,A,A,C,C,D,C,D,D,E,D,B,B,A,C,C,C,D,D,D,C,B,D,D
Team-centred Domain levels: 7) Speech and Language therapy,B,C,B,B,B,B,B,A,A,A,B,D,D,C,E,D,C,B,C,A,C,C,C,C,B,B,B,A,B,B
Team-centred Domain levels: 9) Standards by discharge,C,B,A,B,B,A,A,B,B,B,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,B,A
