SSNAP Scoring Summary:,2022-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,C
SSNAP score,55.3,51.4,62.7
Case ascertainment band,A,A,A
Audit compliance band,D,D,B
Combined Total Key Indicator level,C,C,C
Combined Total Key Indicator score,65.0,60.5,66.0
Number of records completed: Team-centred post-72h all teams cohort,20,29,23
Patient-centred Domain levels: 2) Stroke unit,A,B,A
Patient-centred Domain levels: 5) Occupational therapy,D,C,C
Patient-centred Domain levels: 6) Physiotherapy,D,C,D
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,C
Patient-centred Domain levels: 8) MDT working,E,E,B
Patient-centred Domain levels: 9) Standards by discharge,A,B,A
Patient-centred Domain levels: 10) Discharge processes,C,E,D
Patient-centred KI level Patient-centred Total KI level,C,D,C
Patient-centred KI level Patient-centred Total KI score,60.0,54.3,68.6
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,C
Patient-centred SSNAP level Patient-centred SSNAP score,51.0,46.1,65.1
Team-centred Domain levels: 2) Stroke unit,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,C
Team-centred Domain levels: 6) Physiotherapy,D,C,D
Team-centred Domain levels: 7) Speech and Language therapy,C,C,D
Team-centred Domain levels: 9) Standards by discharge,A,A,A
Team-centred Domain levels: 10) Discharge processes,C,E,D
Team-centred KI level Team-centred Total KI level,B,C,C
Team-centred KI level Team-centred Total KI score,70.0,66.7,63.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,C
Team-centred SSNAP level Team-centred SSNAP score,59.5,56.7,60.2
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),19,19,16
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),86%,90%,73%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),13,15,13
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),68%,79%,81%
