SSNAP Scoring Summary:,2015-01-01,2015-04-01,2015-07-01,2016-01-01,2018-04-01,2019-01-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,C,C,C,D,B,C,C,C,B,B,C,C,B,B,C,C,B,B,D,B,B
  SSNAP score,60.4,60.1,63.9,58.9,73.1,64.5,68.8,69.3,71.5,80.0,66.4,66.4,75.0,72.8,61.9,66.6,74.4,76.9,59.9,71.7,75.5
  Case ascertainment band,A,A,A,A,A,A,B,A,B,A,C,A,A,B,B,C,A,A,C,A,A
  Audit compliance band,E,D,C,D,B,B,A,A,A,A,A,C,A,A,C,A,B,A,C,B,A
  Combined Total Key Indicator level,B,B,B,C,B,C,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B
  Combined Total Key Indicator score,75.5,70.7,71,69.3,76.9,67.9,72.4,69.3,75.2,80.0,78.1,73.8,75.0,76.7,72.4,78.3,78.3,76.9,78.3,75.5,75.5
Number of records completed: Team-centred post-72h all teams cohort,36,36,24,21,29,25,25,23,27,38,29,52,32,24,25,27,32,28,26,45,38
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,B,C,B,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 8) MDT working,D,B,E,E,C,E,D,E,C,B,A,B,A,B,E,B,A,C,B,D,D
Patient-centred Domain levels: 9) Standards by discharge,B,D,A,B,A,B,B,B,A,A,A,B,A,A,A,A,B,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,A,A,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Patient-centred KI level Patient-centred Total KI level,B,B,C,C,B,C,B,C,B,B,A,B,B,B,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,74.3,71.4,68.6,68.6,77.1,65.7,71.4,68.6,77.1,80.0,82.9,74.3,80.0,80.0,71.4,80.0,80.0,77.1,80.0,74.3,74.3
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,C,C,D,B,C,C,C,B,B,B,C,B,B,C,C,B,B,C,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,59.4,60.7,61.7,58.3,73.3,62.4,67.9,68.6,73.3,80.0,70.4,66.9,80.0,76.0,61.1,68.0,76.0,77.1,61.2,70.6,74.3
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,C,C,C,B,B,C,C,C,C,A,C,C,D,B,C,B,B,B,B,A,B
Team-centred Domain levels: 9) Standards by discharge,B,D,A,C,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,B,A
Team-centred Domain levels: 10) Discharge processes,A,A,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Team-centred KI level Team-centred Total KI level,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,76.7,70,73.3,70,76.7,70,73.3,70,73.3,80.0,73.3,73.3,70.0,73.3,73.3,76.7,76.7,76.7,76.7,76.7,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,D,C,D,B,C,C,B,C,B,C,C,B,C,C,C,B,B,D,B,B
Team-centred SSNAP level Team-centred SSNAP score,61.3,59.5,66,59.5,72.8,66.5,69.7,70,69.7,80.0,62.3,66.0,70.0,69.7,62.7,65.2,72.8,76.7,58.7,72.8,76.7
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),19,27,34,62,31,39,38,35,30,66,73,43,55,87,78,51,50,42,56,51,33
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.9,0.87,0.97,0.94,0.97,0.95,0.95,0.9,91%,93%,91%,93%,93%,94%,92%,91%,88%,86%,88%,84%,73%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),4,10,12,15,13,19,13,9,11,19,35,15,22,31,28,15,10,15,20,20,13
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.21,0.37,0.35,0.24,0.42,0.49,0.34,0.26,37%,29%,48%,35%,40%,36%,36%,29%,20%,36%,36%,39%,39%
