SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,D,D,C,C,A,B,A,A,A,A,A,B,A,B,A,B,B,A,B,B,C,B,A,A,A,B,B,A,A,B
  SSNAP score,47.9,59.5,60.9,63,85.3,78.2,84.9,82,91.3,90.3,82.3,75.4,86,79,83.7,77,76.6,81.0,79.7,76.7,69.3,71.3,80.8,83.7,85.7,76.0,75.0,83.3,81.3,76.7
  Case ascertainment band,D,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,B,D,D,B,A,B,B,A,A,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,A,A,A,A,A,A
  Combined Total Key Indicator level,B,B,B,C,A,A,A,A,A,A,A,B,A,B,A,A,A,A,B,B,B,B,A,A,A,B,B,A,A,B
  Combined Total Key Indicator score,72,73.7,71.7,66.3,85.3,82.3,89.3,82,91.3,90.3,82.3,79.3,86,79,83.7,81,80.7,81.0,79.7,76.7,73.0,71.3,85.0,83.7,85.7,76.0,75.0,83.3,81.3,76.7
Number of records completed: Team-centred post-72h all teams cohort,24,39,57,54,60,55,47,52,54,57,50,46,56,40,46,53,52,48,51,45,47,53,43,49,48,53,50,47,55,63
Patient-centred Domain levels: 1) Scanning,A,A,B,D,A,B,A,B,A,A,A,A,A,C,B,A,B,B,A,B,A,B,A,B,A,B,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,D,D,E,D,D,D,E,C,D,D,E,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,B,A,A,D,B,D,C,C,C,B,C,D,C,E,B,C,D,C,C,C,D,C,B,D,C,C,C,B,D,E
Patient-centred Domain levels: 4) Specialist Assessments,C,D,D,D,C,D,C,D,C,C,B,C,B,B,D,D,D,C,B,C,D,D,B,C,C,D,C,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,B,A,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,B,C,A,A,B,A,B,A,A,B
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,C,B,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,C,C,B,C,A,A,C,C,B,B,C
Patient-centred Domain levels: 8) MDT working,D,D,D,C,C,B,C,C,B,C,C,D,C,D,D,D,D,D,C,D,C,D,C,D,C,C,C,C,C,C
Patient-centred Domain levels: 9) Standards by discharge,B,B,A,B,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,B,B,A,A,A,A,B,A,A,A
Patient-centred Domain levels: 10) Discharge processes,A,A,B,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,B,A,B,A,A,A,A,A,B,B,B,B
Patient-centred KI level Patient-centred Total KI level,B,B,B,C,A,B,A,B,A,A,B,B,A,C,B,B,C,B,B,B,C,C,B,B,B,B,B,B,B,B
