SSNAP Scoring Summary:,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01
SSNAP level,D,C,C,D,B,B,B,B
SSNAP score,47.4,62.6,65,54.8,74.2,76.7,72.6,75.5
Case ascertainment band,B,A,A,C,A,A,A,A
Audit compliance band,E,C,D,C,B,A,B,B
Combined Total Key Indicator level,C,C,B,B,B,B,B,B
Combined Total Key Indicator score,62.4,69.5,76.4,71.7,78.1,76.7,76.4,79.5
Number of records completed: Team-centred post-72h all teams cohort,25,32,26,30,29,31,36,28
Patient-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,C,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,C,C,B,B,C,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,B,C,C,B,B,C,C,B
Patient-centred Domain levels: 8) MDT working,A,C,A,B,A,B,A,B
Patient-centred Domain levels: 9) Standards by discharge,B,D,A,B,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,E,B,B,B,B,B,B,A
Patient-centred KI level Patient-centred Total KI level,B,C,A,B,A,B,A,A
Patient-centred KI level Patient-centred Total KI score,71.4,65.7,82.9,80,82.9,80.0,82.9,85.7
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,B,C,B,B,B,A
Patient-centred SSNAP level Patient-centred SSNAP score,54.3,59.1,70.4,61.2,78.7,80.0,78.7,81.4
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,C,C,C,C,C,C
Team-centred Domain levels: 6) Physiotherapy,D,D,B,D,C,C,C,C
Team-centred Domain levels: 7) Speech and Language therapy,E,C,E,E,D,D,E,E
Team-centred Domain levels: 9) Standards by discharge,B,A,B,B,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,E,B,B,B,B,B,B,A
Team-centred KI level Team-centred Total KI level,D,B,B,C,B,B,B,B
Team-centred KI level Team-centred Total KI score,53.3,73.3,70,63.3,73.3,73.3,70,73.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,C,D,D,C,B,C,C
Team-centred SSNAP level Team-centred SSNAP score,40.5,66,59.5,48.4,69.7,73.3,66.5,69.7
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),31,51,39,34,25,15,17,17
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,0.85,0.72,0.59,0.58,43%,0.35,0.39
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,5,5,11,4,5,9,3
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0.1,0.13,0.32,0.16,33%,0.53,0.18
