SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,D,D,D,D,D,D,C,C,C,A,B,B,C,C,C,A,C,B,D,B,B,B,A,B,A,B,D,C,B
SSNAP score,37.2,46.3,58,53.1,59.1,54.8,58,64.2,61.9,64.4,80.1,77.4,79.9,61.1,69.2,64.3,84.4,69.2,77.1,59.5,72.7,71.2,75.3,85.7,76.7,85.7,70.6,56.4,65.2,71.8
Case ascertainment band,D,C,B,A,A,B,B,B,A,B,A,A,A,C,A,C,A,B,A,C,A,A,A,A,C,A,B,C,A,A
Audit compliance band,E,E,C,E,D,D,C,D,C,D,B,C,C,D,D,D,B,D,C,D,D,D,D,B,A,B,C,D,D,C
Combined Total Key Indicator level,C,C,C,C,C,C,C,B,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B
Combined Total Key Indicator score,66.4,68.1,67.9,66.4,69.5,67.9,67.9,79.5,68.8,79.8,84.3,86,88.8,84.5,81.4,89,88.8,85.7,85.7,82.4,85.5,83.8,88.6,90.2,90.2,90.2,82.6,78.1,76.7,79.8
Number of records completed: Team-centred post-72h all teams cohort,38,42,31,36,36,35,38,36,30,36,28,32,42,31,42,32,46,25,31,28,26,33,30,29,23,30,28,28,30,32
Patient-centred Domain levels: 2) Stroke unit,A,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,C,B,C,C,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,B,A,B,A
