SSNAP Scoring Summary:,2014-04-01
SSNAP level,D
SSNAP score,54.3
Case ascertainment band,A
Audit compliance band,E
Combined Total Key Indicator level,C
Combined Total Key Indicator score,67.9
Number of records completed: Team-centred post-72h all teams cohort,34
Patient-centred Domain levels: 2) Stroke unit,B
Patient-centred Domain levels: 5) Occupational therapy,B
Patient-centred Domain levels: 6) Physiotherapy,B
Patient-centred Domain levels: 7) Speech and Language therapy,B
Patient-centred Domain levels: 8) MDT working,D
Patient-centred Domain levels: 9) Standards by discharge,B
Patient-centred Domain levels: 10) Discharge processes,E
Patient-centred KI level Patient-centred Total KI level,C
Patient-centred KI level Patient-centred Total KI score,65.7
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D
Patient-centred SSNAP level Patient-centred SSNAP score,52.6
Team-centred Domain levels: 2) Stroke unit,A
Team-centred Domain levels: 5) Occupational therapy,A
Team-centred Domain levels: 6) Physiotherapy,B
Team-centred Domain levels: 7) Speech and Language therapy,C
Team-centred Domain levels: 9) Standards by discharge,C
Team-centred Domain levels: 10) Discharge processes,E
Team-centred KI level Team-centred Total KI level,B
Team-centred KI level Team-centred Total KI score,70
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D
Team-centred SSNAP level Team-centred SSNAP score,56
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),37
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0
