0,2013-10-01,2014-10-01
Team,Alexandra Court,Alexandra Court
SSNAP level,D,C
SSNAP score,48.1,67.8
Case ascertainment band,B,A
Audit compliance band,E,D
Combined Total Key Indicator level,C,B
Combined Total Key Indicator score,63.3,79.8
Number of records completed: Team-centred post-72h all teams cohort,20,22
Patient-centred Domain levels: 2) Stroke unit,B,B
Patient-centred Domain levels: 5) Occupational therapy,B,A
Patient-centred Domain levels: 6) Physiotherapy,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,D
Patient-centred Domain levels: 8) MDT working,E,B
Patient-centred Domain levels: 9) Standards by discharge,B,B
Patient-centred Domain levels: 10) Discharge processes,C,A
Patient-centred KI level Patient-centred Total KI level,C,A
Patient-centred KI level Patient-centred Total KI score,60,82.9
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,B
Patient-centred SSNAP level Patient-centred SSNAP score,45.6,70.4
Team-centred Domain levels: 2) Stroke unit,B,A
Team-centred Domain levels: 5) Occupational therapy,A,B
Team-centred Domain levels: 6) Physiotherapy,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E
Team-centred Domain levels: 9) Standards by discharge,C,B
Team-centred Domain levels: 10) Discharge processes,C,A
Team-centred KI level Team-centred Total KI level,C,B
Team-centred KI level Team-centred Total KI score,66.7,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,C
Team-centred SSNAP level Team-centred SSNAP score,50.7,65.2
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,30
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,21
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.7
