0,2013-10-01,2014-01-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-10-01
Team,Bassetlaw District General Hospital,Bassetlaw District General Hospital,Bassetlaw District General Hospital,Bassetlaw District General Hospital,Bassetlaw District General Hospital,Bassetlaw District General Hospital,Bassetlaw District General Hospital,Bassetlaw District General Hospital,Bassetlaw District General Hospital,Bassetlaw District General Hospital,Bassetlaw District General Hospital,Bassetlaw District General Hospital,Bassetlaw District General Hospital,Bassetlaw District General Hospital
SSNAP score,.,.,.,46.9,.,.,.,62.1,77.1,71.4,70.2,61.7,58.9,85.7
Combined Total Key Indicator score,.,.,.,58.7,.,.,.,69,81.2,71.4,70.2,68.6,58.9,85.7
Number of records completed: Team-centred post-72h all teams cohort,Too few to report,Too few to report,Too few to report,27,20,Too few to report,Too few to report,26,25,31,32,32,24,22
Patient-centred Domain levels: 1) Scanning,Too few to report,Too few to report,Too few to report,C,Too few to report,Too few to report,Too few to report,C,,,,,,
Patient-centred Domain levels: 2) Stroke unit,Too few to report,Too few to report,Too few to report,D,C,Too few to report,Too few to report,D,B,B,C,C,A,A
Patient-centred Domain levels: 3) Thrombolysis,Too few to report,Too few to report,Too few to report,E,Too few to report,Too few to report,Too few to report,C,,,,,,
Patient-centred Domain levels: 4) Specialist Assessments,Too few to report,Too few to report,Too few to report,E,Too few to report,Too few to report,Too few to report,D,,,,,,
Patient-centred Domain levels: 5) Occupational therapy,Too few to report,Too few to report,Too few to report,A,A,Too few to report,Too few to report,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,Too few to report,Too few to report,Too few to report,B,B,Too few to report,Too few to report,A,A,A,A,B,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,Too few to report,Too few to report,Too few to report,B,C,Too few to report,Too few to report,A,A,B,B,A,C,B
Patient-centred Domain levels: 8) MDT working,Too few to report,Too few to report,Too few to report,C,D,Too few to report,Too few to report,C,C,B,C,B,A,A
Patient-centred Domain levels: 9) Standards by discharge,Too few to report,Too few to report,Too few to report,C,A,Too few to report,Too few to report,B,B,B,B,C,A,A
Patient-centred Domain levels: 10) Discharge processes,Too few to report,Too few to report,Too few to report,E,E,Too few to report,Too few to report,D,B,C,C,C,D,C
Patient-centred KI level Patient-centred Total KI level,Too few to report,Too few to report,TFP,D,TFP,TFP,TFP,C,A,A,B,B,A,A
Patient-centred KI level Patient-centred Total KI score,.,.,.,54,.,.,.,68,85.7,82.9,77.1,77.1,82.9,91.4
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,.,43.2,.,.,.,61.2,81.4,82.9,77.1,69.4,82.9,91.4
Team-centred Domain levels: 2) Stroke unit,Too few to report,Too few to report,Too few to report,B,B,Too few to report,Too few to report,A,B,C,C,C,D,B
Team-centred Domain levels: 5) Occupational therapy,Too few to report,Too few to report,Too few to report,B,A,Too few to report,Too few to report,A,A,C,C,C,E,A
Team-centred Domain levels: 6) Physiotherapy,Too few to report,Too few to report,Too few to report,B,B,Too few to report,Too few to report,B,B,C,B,C,C,B
Team-centred Domain levels: 7) Speech and Language therapy,Too few to report,Too few to report,Too few to report,D,E,Too few to report,Too few to report,E,D,E,D,C,E,C
Team-centred Domain levels: 9) Standards by discharge,Too few to report,Too few to report,Too few to report,B,A,Too few to report,Too few to report,B,B,A,B,C,Too few to report,Too few to report
Team-centred Domain levels: 10) Discharge processes,Too few to report,Too few to report,Too few to report,E,E,Too few to report,Too few to report,D,B,C,C,C,Too few to report,Too few to report
Team-centred KI level Team-centred Total KI level,Too few to report,Too few to report,TFP,C,TFP,TFP,TFP,B,B,C,C,C,E,B
Team-centred KI level Team-centred Total KI score,.,.,.,63.3,.,.,.,70,76.7,60,63.3,60,35.0,80
Team-centred SSNAP level Team-centred SSNAP score,.,.,.,50.7,.,.,.,63,72.8,60,63.3,54,35.0,80
SSNAP level,,,TFP,D,TFP,TFP,TFP,C,B,B,B,C,D,A
Audit compliance band,,,,E,D,TFP,TFP,C,B,A,A,C,A,A
Combined Total Key Indicator level,,,TFP,D,TFP,TFP,TFP,C,A,B,B,C,D,A
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,,TFP,D,TFP,TFP,TFP,C,A,A,B,C,A,A
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",,,TFP,D,TFP,TFP,TFP,C,B,C,C,D,E,B
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,.,32,30,30,28,30,35,24,51,41,33,52,38
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,.,0.97,0.97,0.97,0.93,0.97,0.97,0.89,0.98,1,1,100%,0.9
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,.,0,0,0,9,0,0,3,1,1,0,2,22
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,.,0,0,0,0.32,0,0,0.13,0.02,0.02,0,4%,0.58
Case ascertainment band,,,,A,A,,,A,A,A,A,A,A,A
