0,2013-10-01,2014-04-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2016-01-01
Team,Beech Hill Rehabilitation Unit,Beech Hill Rehabilitation Unit,Beech Hill Rehabilitation Unit,Beech Hill Rehabilitation Unit,Beech Hill Rehabilitation Unit,Beech Hill Rehabilitation Unit,Beech Hill Rehabilitation Unit
SSNAP level,D,D,D,D,D,D,D
SSNAP score,49,53,46.6,53.7,54.1,55.8,53.7
Case ascertainment band,B,A,C,A,A,B,B
Audit compliance band,E,E,D,E,E,D,E
Combined Total Key Indicator level,C,C,C,C,C,C,B
Combined Total Key Indicator score,64.5,66.2,64.5,67.1,67.6,69,70.7
Number of records completed: Team-centred post-72h all teams cohort,27,28,23,25,32,25,20
Patient-centred Domain levels: 2) Stroke unit,B,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,C,C,C,B
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,D,E,C,B,D,C,C
Patient-centred Domain levels: 8) MDT working,D,E,E,D,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,C,B,C,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,A,A,B,B,B,B,C
Patient-centred KI level Patient-centred Total KI level,C,C,C,B,C,B,B
Patient-centred KI level Patient-centred Total KI score,65.7,65.7,65.7,74.3,68.6,71.4,71.4
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,49.9,52.6,47.5,59.4,54.9,57.7,54.3
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,C,D,C,C,B
Team-centred Domain levels: 6) Physiotherapy,C,C,B,D,C,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,D,D,E,E
Team-centred Domain levels: 9) Standards by discharge,D,C,D,C,C,C,B
Team-centred Domain levels: 10) Discharge processes,A,A,B,B,B,B,C
Team-centred KI level Team-centred Total KI level,C,C,C,C,C,C,B
Team-centred KI level Team-centred Total KI score,63.3,66.7,63.3,60,66.7,66.7,70
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,D
Team-centred SSNAP level Team-centred SSNAP score,48.1,53.3,45.8,48,53.3,53.8,53.2
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,52,63,58,56,51,39
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,0.98,0.98
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,1,0,0,5,18
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0.02,0,0,0.1,0.46
