0,2013-10-01,2014-01-01,2014-04-01,2014-10-01,2015-10-01
Team,Bideford Community Hospital,Bideford Community Hospital,Bideford Community Hospital,Bideford Community Hospital,Bideford Community Hospital
SSNAP level,C,C,C,C,C
SSNAP score,65,69.6,69.2,66.8,65
Case ascertainment band,A,B,A,A,A
Audit compliance band,E,D,D,D,E
Combined Total Key Indicator level,A,A,A,B,A
Combined Total Key Indicator score,81.2,86.2,81.4,78.6,81.2
Number of records completed: Team-centred post-72h all teams cohort,22,20,23,20,20
Patient-centred Domain levels: 2) Stroke unit,A,A,B,B,A
Patient-centred Domain levels: 5) Occupational therapy,B,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,A,A,B
Patient-centred Domain levels: 7) Speech and Language therapy,A,B,C,B,B
Patient-centred Domain levels: 8) MDT working,C,D,D,D,B
Patient-centred Domain levels: 9) Standards by discharge,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,B,A,A,D,C
Patient-centred KI level Patient-centred Total KI level,A,A,A,B,A
Patient-centred KI level Patient-centred Total KI score,85.7,85.7,82.9,77.1,85.7
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,B,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,68.6,69.2,70.4,65.6,68.6
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,B,B,A,A
Team-centred Domain levels: 6) Physiotherapy,C,B,B,A,A
Team-centred Domain levels: 7) Speech and Language therapy,C,C,E,D,E
Team-centred Domain levels: 9) Standards by discharge,A,A,A,A,B
Team-centred Domain levels: 10) Discharge processes,B,A,A,D,C
Team-centred KI level Team-centred Total KI level,B,A,B,B,B
Team-centred KI level Team-centred Total KI score,76.7,86.7,80,80,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,B,C,C,C
Team-centred SSNAP level Team-centred SSNAP score,61.3,70,68,68,61.3
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,29,25,44,33
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,0.93,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,5,0,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0.2,0,0
