0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital
SSNAP level,E,D,D,D,D,C,B,A,B,C,A,A,B,B,C,C,C,D,E,E,E,E,D,D,D,D,D,D,D,D,D
SSNAP score,28.8,49.6,48.7,42.5,55.3,64.6,72.9,80.8,72,69.3,83,82,77,73,66.0,63.7,65,44.5,36.6,32.2,37.0,37.9,44.0,42.0,42.8,43.7,45.0,47.0,48.4,44.2,43.8
Case ascertainment band,E,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,A,C,C,D,D,D,C,B,C,C,A,A,A,A,A,B,A,D,D,D,B,A,A,A,B,B,A,A,A,A,B
Combined Total Key Indicator level,D,D,D,D,C,B,A,A,B,B,A,A,B,B,C,C,C,D,D,E,E,E,D,D,D,D,D,D,D,D,D
Combined Total Key Indicator score,48,58,57,50,65,76,81,85,80,77,83,82,77,73,66.0,67,65,52.3,43.1,37.9,39.0,37.9,44.0,42.0,45.0,46.0,45.0,47.0,48.4,44.2,46.1
Number of records completed: Team-centred post-72h all teams cohort,Insufficient records,100,111,142,173,200,221,213,208,210,232,241,208,208,193,230,231,135,108,112,147,161,141,149,163,172,167,146,172,178,150
Patient-centred Domain levels: 1) Scanning,C,B,B,C,A,A,A,A,A,A,B,A,B,B,B,B,B,C,D,D,D,D,D,D,D,C,D,C,C,D,D
Patient-centred Domain levels: 2) Stroke unit,D,C,D,E,D,C,B,B,B,C,C,C,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,D,E,D,C,B,B,B,B,B,B,B,B,B,C,C,C,C,E,E,E,E,D,D,E,D,E,E,E,D,D
Patient-centred Domain levels: 4) Specialist Assessments,D,C,B,D,B,B,B,B,B,C,A,A,B,B,B,B,B,D,E,E,E,E,E,E,D,E,E,E,E,E,E
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records,C,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,D,E,E,E,C,D,C,C,C,C,C,E,C
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records,C,B,B,B,B,A,A,B,A,B,B,B,B,C,D,B,B,C,D,C,C,C,C,C,C,B,B,B,C,C
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records,E,E,E,E,E,D,C,C,C,C,D,D,E,D,C,E,D,D,E,E,E,E,E,E,E,E,E,E,D,C
Patient-centred Domain levels: 8) MDT working,C,B,D,D,D,C,B,A,C,B,B,B,B,B,B,C,B,D,E,E,E,E,E,E,E,D,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records,D,D,E,D,B,D,C,D,D,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,Insufficient records,B,C,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,C,B,B,A,B,B,A,A,B,B,C,C,C,D,D,E,D,E,D,D,D,D,D,D,D,D,D
Patient-centred KI level Patient-centred Total KI score,48,58,56,50,64,76,78,86,78,78,82,82,76,72,66.0,64,66,58.0,44.0,38.0,40.0,38.0,46.0,44.0,46.0,50.0,46.0,48.0,48.0,44.0,50.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,D,D,C,B,A,B,B,A,A,B,B,C,C,C,D,E,E,E,E,D,D,D,D,D,D,D,D,D
