0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal,Chesterfield Royal
SSNAP level,E,D,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,B,C,C,C,C,C,C,C,C,C
SSNAP score,36.9,40.5,53.1,52.2,62.7,62.7,65.5,60.8,64,69,68.4,68.4,64.6,68.4,62.7,68,67,67.0,73.0,66.0,66.0,71.0,67.0,66.0,62.0,64.0,69.0,61.0,64.0,61.0,60.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,C,C,C,B,B,B,B,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,D,D,D,D,C,C,C,C,C,C,B,B,C,B,C,C,C,C,B,C,C,B,C,C,C,C,C,C,C,C,C
Combined Total Key Indicator score,41,45,59,58,66,66,69,64,64,69,72,72,68,72,66.0,68,67,67.0,73.0,66.0,66.0,71.0,67.0,66.0,62.0,64.0,69.0,61.0,64.0,61.0,60.0
Number of records completed: Team-centred post-72h all teams cohort,121,128,127,115,148,137,127,117,130,127,111,117,143,132,121,148,167,189,152,149,166,162,165,162,160,161,157,174,177,150,148
Patient-centred Domain levels: 1) Scanning,B,B,B,B,B,B,B,C,C,B,B,C,B,B,B,C,B,B,A,B,B,A,C,B,C,C,B,C,C,C,C
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,B,C,C,C,C,C,C,D,D,C,C,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,C,C,C,D,B,C,B,C,D,C,C,D,D,D,D,D,D,C,C,C,D,C,D,C,D,D,D,D,C,D,D
Patient-centred Domain levels: 4) Specialist Assessments,E,E,D,D,C,D,D,E,D,D,B,B,B,B,B,C,D,E,D,D,D,D,D,D,D,D,D,E,D,E,D
Patient-centred Domain levels: 5) Occupational therapy,D,D,C,C,C,C,B,B,B,B,A,A,B,A,C,A,B,A,A,C,A,B,A,A,A,A,A,B,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,D,D,B,B,B,B,B,B,B,B,B,A,B,B,A,A,A,A,A,B,A,B,A,A,B,B,A,A,B,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,D,D,D,E,D,E,C,E,C,E,E,E,D,D,E,D,D,D,B,C,E,D,E,C,D,C,C,E
Patient-centred Domain levels: 8) MDT working,E,D,C,C,C,C,C,C,C,C,C,B,B,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,E,D,B,C,C,B,B,B,A,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,A,B,B,A,A,A
Patient-centred Domain levels: 10) Discharge processes,D,D,D,C,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,C,C,C,C,C,B,B,B,C,B,C,C,C,C,B,C,C,B,C,C,C,C,B,C,C,C,C
Patient-centred KI level Patient-centred Total KI score,40,44,58,58,68,66,68,64,64,70,72,72,68,72,68.0,68,68,68.0,74.0,66.0,68.0,72.0,68.0,66.0,62.0,64.0,70.0,62.0,66.0,60.0,60.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,D,D,C,C,C,C,C,B,C,C,C,C,C,C,C,C,B,C,C,B,C,C,C,C,B,C,C,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,36,39.6,52.2,52.2,64.6,62.7,64.6,60.8,64,70,68.4,68.4,64.6,68.4,64.6,68,68,68.0,74.0,66.0,68.0,72.0,68.0,66.0,62.0,64.0,70.0,62.0,66.0,60.0,60.0
Team-centred Domain levels: 1) Scanning,B,B,B,B,B,B,B,C,C,C,B,C,B,B,C,C,B,B,B,B,B,B,C,B,C,C,B,C,C,C,C
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,B,C,C,C,C,C,C,D,D,C,C,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,C,C,C,D,C,C,C,C,D,C,C,D,D,D,D,D,D,C,C,C,D,C,D,C,D,D,D,D,D,D,D
