0,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01
Team,County Hospital,County Hospital,County Hospital,County Hospital,County Hospital,County Hospital,County Hospital,County Hospital,County Hospital,County Hospital,County Hospital,County Hospital,County Hospital,County Hospital,County Hospital,County Hospital,County Hospital
SSNAP level,TFP,TFP,X,X,D,E,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
SSNAP score,.,.,.,.,42.9,39,.,.,.,.,.,.,.,.,.,.,.
Case ascertainment band,,,X,X,C,C,,,,,,,,,,,
Audit compliance band,E,TFP,X,X,D,D,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
Combined Total Key Indicator level,TFP,TFP,X,X,D,D,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
Combined Total Key Indicator score,.,.,.,.,59.3,54,.,.,.,.,.,.,.,.,.,.,.
Number of records completed: Team-centred post-72h all teams cohort,Too few to report,Too few to report,None completed,None completed,23,24,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 1) Scanning,B,Too few to report,None entered,None entered,A,B,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 2) Stroke unit,C,Too few to report,None entered,None entered,C,E,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 3) Thrombolysis,D,Too few to report,None entered,None entered,B,D,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 4) Specialist Assessments,C,Too few to report,None entered,None entered,B,C,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,None entered,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 5) Occupational therapy,A,Too few to report,None entered,None entered,A,B,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 6) Physiotherapy,B,Too few to report,None entered,None entered,B,B,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 7) Speech and Language therapy,D,Too few to report,None entered,None entered,D,E,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 8) MDT working,D,Too few to report,None entered,None entered,B,D,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 9) Standards by discharge,D,Too few to report,None entered,None entered,D,C,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 10) Discharge processes,C,Too few to report,None entered,None entered,C,A,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred KI level Patient-centred Total KI level,Not included in scoring,TFP,No records,No records,B,D,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
Patient-centred KI level Patient-centred Total KI score,.,.,.,.,72,58,.,.,.,.,.,.,.,.,.,.,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,TFP,X,X,D,D,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,.,.,52,41.9,.,.,.,.,.,.,.,.,.,.,.
Team-centred Domain levels: 2) Stroke unit,Too few to report,Too few to report,None entered,None entered,B,E,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 5) Occupational therapy,Too few to report,Too few to report,None entered,None entered,C,C,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 6) Physiotherapy,Too few to report,Too few to report,None entered,None entered,D,C,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 7) Speech and Language therapy,Too few to report,Too few to report,None entered,None entered,E,E,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 9) Standards by discharge,E,Too few to report,None entered,None entered,E,D,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 10) Discharge processes,C,Too few to report,None entered,None entered,C,A,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred KI level Team-centred Total KI level,Too few to report,TFP,No records,No records,D,D,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
Team-centred KI level Team-centred Total KI score,.,.,.,.,46.7,50,.,.,.,.,.,.,.,.,.,.,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",,TFP,X,X,E,E,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
Team-centred SSNAP level Team-centred SSNAP score,.,.,.,.,33.7,36.1,.,.,.,.,.,.,.,.,.,.,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),78,76,55,39,39,37,12,9,12,13,12,11,10,.,.,.,0
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,0.95,0.98,1,1,0.9,0.92,1,92%,0.85,0.83,.,.,.,0%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),2,2,0,4,1,2,5,5,7,8,7,7,8,.,.,.,0
