0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital,Croydon University Hospital
SSNAP level,D,D,C,B,B,C,C,C,C,C,D,D,C,C,C,D,D,D,D,C,D,D,D,D,D,D,C,C,D,D,C
SSNAP score,49.8,53.8,62.3,75.6,72.8,65.1,69.1,68.1,68,69.3,56.9,57.9,61.2,62.3,60.3,55.3,58.7,54.6,53.1,61.3,56.7,55.1,49.3,58.0,48.3,55.3,63.0,68.0,57.7,56.7,61.0
Case ascertainment band,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A
Audit compliance band,D,D,D,C,B,C,D,C,D,C,D,C,C,D,C,D,D,D,C,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,C,C,B,A,A,B,A,B,B,B,C,C,C,B,C,C,C,C,D,C,D,D,D,D,D,D,C,C,D,D,C
Combined Total Key Indicator score,61.7,63.3,73.3,84,80.7,72.3,81.3,75.7,80,77,67,64.3,68,73.3,67.0,65,69,67.7,59.0,61.3,56.7,58.0,49.3,58.0,48.3,55.3,63.0,68.0,57.7,56.7,61.0
Number of records completed: Team-centred post-72h all teams cohort,56,48,62,59,41,57,55,59,59,61,61,55,63,67,69,72,53,54,63,62,75,58,77,89,92,81,65,76,90,77,76
Patient-centred Domain levels: 1) Scanning,A,B,A,B,A,B,B,A,A,B,C,A,B,B,C,C,A,C,C,C,C,B,C,C,C,C,B,B,A,B,A
Patient-centred Domain levels: 2) Stroke unit,D,D,C,B,D,D,D,C,C,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,B,D,B,B,A,C,B,A,B,B,D,E,D,D,D,D,D,E,D,D,E,D,D,D,E,E,D,D,D,D,E
Patient-centred Domain levels: 4) Specialist Assessments,D,D,B,C,D,D,C,D,C,D,D,C,D,D,D,D,C,D,D,D,D,D,E,D,D,C,B,B,B,C,B
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,A,A,B,B,B,B,B,B,C,A,A,B,B,B,A,B,C,C,C,C,C,D,C,C,B,C,C,C
