0,2023-10-01,2024-01-01
Team,Cumberlege Intermediate Care Centre,Cumberlege Intermediate Care Centre
SSNAP level,B,B
SSNAP score,73.3,76.3
Case ascertainment band,B,A
Audit compliance band,D,C
Combined Total Key Indicator level,A,A
Combined Total Key Indicator score,90.7,84.8
Number of records completed: Team-centred post-72h all teams cohort,20,21
Patient-centred Domain levels: 2) Stroke unit,A,A
Patient-centred Domain levels: 5) Occupational therapy,B,B
Patient-centred Domain levels: 6) Physiotherapy,B,C
Patient-centred Domain levels: 7) Speech and Language therapy,A,B
Patient-centred Domain levels: 8) MDT working,A,C
Patient-centred Domain levels: 9) Standards by discharge,B,A
Patient-centred Domain levels: 10) Discharge processes,A,A
Patient-centred KI level Patient-centred Total KI level,A,A
Patient-centred KI level Patient-centred Total KI score,91.4,82.9
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,B
Patient-centred SSNAP level Patient-centred SSNAP score,73.8,74.6
Team-centred Domain levels: 2) Stroke unit,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A
Team-centred Domain levels: 6) Physiotherapy,C,C
Team-centred Domain levels: 7) Speech and Language therapy,A,C
Team-centred Domain levels: 9) Standards by discharge,B,A
Team-centred Domain levels: 10) Discharge processes,A,A
Team-centred KI level Team-centred Total KI level,A,A
Team-centred KI level Team-centred Total KI score,90.0,86.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B
Team-centred SSNAP level Team-centred SSNAP score,72.7,78.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),25,22
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),93%,92%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),23,19
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),92%,86%
