0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital
SSNAP level,E,E,D,D,D,D,C,D,E,D,D,D,D,D,C,D,D,D,C,B,B,B,B,C,C,B,B,B,C,B,B
SSNAP score,31.8,38.8,43.6,42.8,57.8,53.2,62.3,57,37.6,41.5,44.6,44.2,52.3,58.9,61.8,53.2,57,59.8,64.6,73.0,70.0,73.0,75.0,67.5,64.6,73.1,76.0,74.0,66.5,74.0,78.0
Case ascertainment band,D,B,C,C,B,B,B,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,B,B,B,B,B,B,B,B,C,B,B,B,B,B,B,B,A,B,B,A,A,A,A,B,B,B,A,A,B,A,A
Combined Total Key Indicator level,D,D,D,D,C,D,C,C,D,D,D,D,D,C,C,D,D,C,C,B,B,B,B,B,C,B,B,B,B,B,B
Combined Total Key Indicator score,47.8,43,54,53,64,59,69,60,44,46,47,49,55,62,65.0,56,57,63.0,68.0,73.0,70.0,73.0,75.0,71.0,68.0,77.0,76.0,74.0,70.0,74.0,78.0
Number of records completed: Team-centred post-72h all teams cohort,62,65,66,60,70,66,69,74,70,66,97,98,104,113,118,110,142,166,142,140,142,137,129,127,121,135,133,140,162,147,118
Patient-centred Domain levels: 1) Scanning,C,B,B,B,A,B,A,B,B,B,B,C,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,E,E,C,D,C,C,C,D,E,E,E,E,E,E,D,E,D,C,C,E,E,E,E,E,E,D,D,D,E,E,D
Patient-centred Domain levels: 3) Thrombolysis,D,C,C,D,B,C,B,D,E,E,D,C,C,B,C,D,D,D,D,C,C,C,C,C,D,C,C,C,D,C,B
Patient-centred Domain levels: 4) Specialist Assessments,C,C,B,C,B,C,C,D,E,D,D,D,D,C,C,C,D,B,B,B,B,B,B,B,B,B,A,A,B,A,A
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records,D,D,C,B,C,B,A,C,C,A,B,C,B,B,C,C,D,C,A,A,A,B,B,B,A,A,A,A,B,B
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records,D,B,B,C,B,B,B,B,B,B,C,B,B,C,C,C,C,C,B,B,A,A,A,B,A,A,A,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records,E,E,E,E,E,E,D,E,E,E,D,C,B,D,E,C,C,C,C,E,D,B,B,C,C,C,C,C,B,C
Patient-centred Domain levels: 8) MDT working,C,E,E,D,D,D,D,D,E,D,E,D,D,C,C,C,C,C,C,B,B,B,B,B,B,A,B,C,B,B,A
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records,E,D,C,C,C,B,C,C,D,D,C,C,C,B,B,C,B,B,A,A,A,A,A,A,A,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,Insufficient records,C,C,C,B,C,B,B,C,C,D,D,D,D,C,C,D,C,C,C,C,C,C,D,D,D,D,D,C,C,B
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,C,D,C,C,D,D,D,D,D,C,C,D,D,C,C,B,B,B,B,B,C,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,48,42,54,54,66,58,68,60,44,46,48,50,54,64,64.0,54,56,64.0,66.0,74.0,70.0,74.0,76.0,74.0,68.0,78.0,76.0,74.0,70.0,74.0,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,D,D,D,D,C,D,E,D,D,D,D,C,C,D,D,C,C,B,B,B,B,B,C,B,B,B,C,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,31.9,37.9,43.6,43.6,59.6,52.3,61.4,57,37.6,41.5,45.6,45.1,51.3,60.8,60.8,51.3,56,60.8,62.7,74.0,70.0,74.0,76.0,70.3,64.6,74.1,76.0,74.0,66.5,74.0,80.0
Team-centred Domain levels: 1) Scanning,C,B,B,B,A,C,A,B,B,B,C,C,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,E,E,D,D,C,C,C,D,E,E,E,E,E,E,D,E,D,C,C,E,E,E,E,E,E,D,D,D,E,E,D
Team-centred Domain levels: 3) Thrombolysis,C,C,C,D,B,C,B,D,E,E,D,C,C,C,C,D,D,D,D,C,C,D,C,D,D,C,C,D,D,C,B
Team-centred Domain levels: 4) Specialist Assessments,C,C,B,C,C,C,C,D,E,D,D,D,D,C,C,B,D,B,B,B,B,B,B,B,B,B,A,A,B,A,A
Team-centred Domain levels: 5) Occupational therapy,C,D,C,C,C,C,A,A,C,C,B,C,C,C,B,C,C,D,C,B,A,A,B,C,A,A,A,A,A,B,B
Team-centred Domain levels: 6) Physiotherapy,D,D,C,C,C,B,B,B,B,B,B,C,B,B,C,C,C,D,C,B,B,A,A,A,B,A,A,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,D,E,E,E,D,C,C,D,E,C,D,C,C,E,D,C,C,C,C,C,C,C,B,C
Team-centred Domain levels: 8) MDT working,C,D,D,D,D,D,D,D,E,D,D,D,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B
Team-centred Domain levels: 9) Standards by discharge,Insufficient records,E,D,C,C,B,B,C,C,D,D,C,C,C,B,B,C,B,A,A,A,A,A,A,A,A,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,Insufficient records,C,C,C,B,B,B,B,C,C,D,D,D,D,C,C,D,C,C,C,C,C,C,D,E,D,D,D,C,C,C
Team-centred KI level Team-centred Total KI level,D,D,D,D,C,C,B,C,D,D,D,D,D,C,C,D,D,C,B,B,B,B,B,C,C,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,47.5,44,54,52,62,60,70,60,44,46,46,48,56,60,66.0,58,58,62.0,70.0,72.0,70.0,72.0,74.0,68.0,68.0,76.0,76.0,74.0,70.0,74.0,76.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,D,D,D,D,C,D,E,D,D,D,D,D,C,D,D,D,C,B,B,B,B,C,C,B,B,B,C,B,B
Team-centred SSNAP level Team-centred SSNAP score,31.6,39.7,43.6,42,56,54.2,63.2,57,37.6,41.5,43.7,43.3,53.2,57,62.7,55.1,58,58.9,66.5,72.0,70.0,72.0,74.0,64.6,64.6,72.2,76.0,74.0,66.5,74.0,76.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,77,84,102,107,113,126,128,122,115,152,182,178,185,191,182,190,61,156,205,253,253,245,224,198,168,180,179,200,213,201
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1,1,0.99,1,1,1,1,100%,1,0.98,100%,97%,96%,98%,98%,97%,95%,88%,78%,78%,77%,80%,87%,81%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,11,12,37,35,44,47,51,52,58,57,57,42,55,51,50
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,2%,0.03,0.06,20%,24%,17%,17%,19%,21%,23%,29%,34%,32%,23%,28%,24%,25%
