0,2023-10-01,2024-04-01,2024-07-01
Team,Deeside SSIR,Deeside SSIR,Deeside SSIR
SSNAP level,D,C,C
SSNAP score,58.1,69.9,69.4
Case ascertainment band,A,A,A
Audit compliance band,E,B,C
Combined Total Key Indicator level,B,B,B
Combined Total Key Indicator score,72.6,73.6,77.1
Number of records completed: Team-centred post-72h all teams cohort,33,21,21
Patient-centred Domain levels: 2) Stroke unit,C,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,B
Patient-centred Domain levels: 6) Physiotherapy,B,C,C
Patient-centred Domain levels: 7) Speech and Language therapy,C,B,B
Patient-centred Domain levels: 8) MDT working,C,B,D
Patient-centred Domain levels: 9) Standards by discharge,A,A,B
Patient-centred Domain levels: 10) Discharge processes,C,C,B
Patient-centred KI level Patient-centred Total KI level,C,B,B
Patient-centred KI level Patient-centred Total KI score,68.6,77.1,74.3
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,B,C
Patient-centred SSNAP level Patient-centred SSNAP score,54.9,73.3,66.9
Team-centred Domain levels: 2) Stroke unit,A,A,A
Team-centred Domain levels: 5) Occupational therapy,B,C,B
Team-centred Domain levels: 6) Physiotherapy,B,D,C
Team-centred Domain levels: 7) Speech and Language therapy,D,C,C
Team-centred Domain levels: 9) Standards by discharge,A,A,A
Team-centred Domain levels: 10) Discharge processes,C,C,B
Team-centred KI level Team-centred Total KI level,B,B,B
Team-centred KI level Team-centred Total KI score,76.7,70.0,80.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,C,B
Team-centred SSNAP level Team-centred SSNAP score,61.3,66.5,72.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),27,19,31
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),82%,59%,78%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),7,7,16
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),26%,37%,52%
