0,2013-10-01,2014-04-01,2015-01-01,2016-01-01,2018-10-01,2019-04-01,2019-07-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre
SSNAP level,D,D,E,D,TFP,D,D,C,C,B,C,C,C,D,D,D,C,D,A,C,C
SSNAP score,48.4,44.3,39.4,42.1,.,52.3,55.3,69.9,67.9,74.4,68.1,64.5,65.4,49.9,59.7,58.4,69.8,59.4,80.8,65.0,62.9
Case ascertainment band,A,A,A,A,,B,A,A,A,A,B,A,A,B,B,B,A,C,A,C,A
Audit compliance band,D,D,E,D,E,D,D,B,C,B,B,B,D,E,B,D,D,B,B,C,D
Combined Total Key Indicator level,D,D,D,D,TFP,C,C,B,B,B,B,C,B,C,C,B,A,B,A,A,B
Combined Total Key Indicator score,56.9,52.1,49.3,49.5,.,64.8,65,73.6,75.5,78.3,75.5,67.9,76.9,65.7,66.2,72.4,82.1,73.6,85.0,85.0,74.0
Number of records completed: Team-centred post-72h all teams cohort,30,27,22,25,Too few to report,25,20,42,40,27,27,33,25,20,30,32,37,22,28,25,34
Patient-centred Domain levels: 2) Stroke unit,A,A,B,B,C,B,B,A,B,A,D,C,B,A,B,B,B,B,A,A,B
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,E,C,D,D,B,B,C,A,C,C,C,C,C,B,B,B,B,B
Patient-centred Domain levels: 6) Physiotherapy,C,D,C,D,C,C,C,B,B,A,B,C,B,B,C,B,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,D,E,E,C,B,C,B,A,A,B,B,A,B,B,B,B,B,A,B,B
Patient-centred Domain levels: 8) MDT working,E,E,E,E,E,D,D,C,D,D,D,E,D,E,D,D,E,D,E,D,E
Patient-centred Domain levels: 9) Standards by discharge,D,C,B,B,D,B,C,B,B,B,A,A,B,B,B,B,A,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,C,C,E,C,D,C,B,C,C,B,B,B,A,B,C,B,B,A,A,A,B
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,Not included in scoring,C,C,B,B,B,B,C,B,B,C,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,57.1,54.3,48.6,45.7,.,62.9,60,77.1,74.3,80.0,74.3,65.7,77.1,71.4,65.7,71.4,74.3,77.1,80.0,80.0,71.4
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,E,E,,D,D,B,C,B,C,C,C,D,D,D,C,C,B,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,48.6,46.1,38.9,38.9,.,50.8,51,73.3,66.9,76.0,67.0,62.4,65.6,54.3,59.3,57.7,63.1,62.3,76.0,61.2,60.7
