0,2013-10-01,2014-01-01
Team,Grantham and District Hospital,Grantham and District Hospital
SSNAP level,X,X
SSNAP score,.,.
Case ascertainment band,E,E
Audit compliance band,X,X
Combined Total Key Indicator level,X,X
Combined Total Key Indicator score,.,.
Number of records completed: Team-centred post-72h all teams cohort,Insufficient records,Insufficient records
Patient-centred Domain levels: 1) Scanning,Insufficient records,Insufficient records
Patient-centred Domain levels: 2) Stroke unit,Insufficient records,Insufficient records
Patient-centred Domain levels: 3) Thrombolysis,Insufficient records,Insufficient records
Patient-centred Domain levels: 4) Specialist Assessments,Insufficient records,Insufficient records
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records,Insufficient records
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records,Insufficient records
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records,Insufficient records
Patient-centred Domain levels: 8) MDT working,Insufficient records,Insufficient records
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records,Insufficient records
Patient-centred Domain levels: 10) Discharge processes,Insufficient records,Insufficient records
Patient-centred KI level Patient-centred Total KI level,Insufficient records,Insufficient records
Patient-centred KI level Patient-centred Total KI score,.,.
Patient-centred SSNAP level Patient-centred SSNAP score,.,.
Team-centred Domain levels: 2) Stroke unit,Insufficient records,Insufficient records
Team-centred Domain levels: 5) Occupational therapy,Insufficient records,Insufficient records
Team-centred Domain levels: 6) Physiotherapy,Insufficient records,Insufficient records
Team-centred Domain levels: 7) Speech and Language therapy,Insufficient records,Insufficient records
Team-centred Domain levels: 9) Standards by discharge,Insufficient records,Insufficient records
Team-centred Domain levels: 10) Discharge processes,Insufficient records,Insufficient records
Team-centred KI level Team-centred Total KI level,Insufficient records,Insufficient records
Team-centred KI level Team-centred Total KI score,.,.
Team-centred SSNAP level Team-centred SSNAP score,.,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,.
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,.
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,.
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,.
