0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon,Great Western Hospital Swindon
SSNAP level,D,E,E,E,D,E,E,X,E,E,D,D,D,D,E,D,C,B,B,B,B,B,C,C,B,B,B,C,C,D,D
SSNAP score,40.2,36.8,35.1,37.5,41.5,34.7,29.9,.,37.9,24.2,42.8,45.1,47.5,48.7,36.0,54,65.5,73.0,78.0,77.0,71.0,70.0,63.0,64.0,74.0,72.0,71.0,67.0,68.0,56.0,56.0
Case ascertainment band,B,B,B,C,B,C,D,E,B,C,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,C,C,C,B,B,B,X,B,B,B,B,B,B,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,D,D,D,D,D,D,D,X,D,E,D,D,D,D,D,C,C,B,B,B,B,B,C,C,B,B,B,C,C,D,D
Combined Total Key Indicator score,47,43,41,49,46,43,45,.,42,30,45,50,50,54,40.0,60,69,73.0,78.0,77.0,71.0,70.0,63.0,64.0,74.0,72.0,71.0,67.0,68.0,56.0,56.0
Number of records completed: Team-centred post-72h all teams cohort,103,114,115,106,126,101,98,Insufficient records,122,99,140,117,130,116,124,141,143,196,160,159,148,157,157,132,153,194,162,162,170,156,176
Patient-centred Domain levels: 1) Scanning,B,C,C,B,A,B,A,Insufficient records,A,C,A,B,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,D,D,D,E,E,D,Insufficient records,E,E,D,C,D,E,E,E,E,D,C,E,D,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,C,B,C,B,B,C,C,Insufficient records,C,D,C,B,C,C,D,D,D,C,D,B,C,C,D,D,D,D,D,D,D,D,C
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,D,D,D,D,Insufficient records,D,E,E,E,E,D,E,D,D,D,C,C,D,D,D,D,B,C,C,D,D,E,D
