0,2013-10-01,2014-01-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital
SSNAP level,X,X,TFP,TFP,X,X,X,X,TFP,D,D,D,C,C,B,C,C,B,D,C,B,B,A,C,C,B,X,D,D,E
SSNAP score,.,.,.,.,.,.,.,.,.,57,51.3,58.1,62,67.8,76.6,61.5,68.0,71.4,57.6,69.3,71.6,71.7,80.3,63.6,67.1,74.2,.,46.0,47.9,35.4
Case ascertainment band,E,X,,,X,X,X,X,,B,A,A,A,A,A,C,A,A,A,A,B,A,A,B,A,A,X,C,C,C
Audit compliance band,X,X,,TFP,X,X,X,X,TFP,E,D,D,D,C,B,A,A,C,C,A,A,A,A,C,D,D,X,E,D,D
Combined Total Key Indicator level,X,X,TFP,TFP,X,X,X,X,TFP,B,C,C,B,B,A,B,C,B,C,C,B,B,A,B,B,A,X,C,C,D
Combined Total Key Indicator score,.,.,.,.,.,.,.,.,.,75,60.3,68.3,73,75.3,80.7,72.3,68.0,79.3,64.0,69.3,75.3,71.7,80.3,74.3,79.0,87.3,.,67.7,66.3,49.0
Number of records completed: Team-centred post-72h all teams cohort,Insufficient records,None completed,Too few to report,Too few to report,None completed,None completed,None completed,None completed,Too few to report,26,39,36,43,36,36,35,34,37,46,38,38,38,38,48,42,32,None completed,32,41,35
Patient-centred Domain levels: 1) Scanning,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report,C,D,D,A,C,B,C,A,A,B,B,C,C,A,D,B,B,None entered,D,C,B
Patient-centred Domain levels: 2) Stroke unit,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None entered,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report,D,D,D,C,D,B,C,E,C,E,E,C,E,B,D,D,B,None entered,C,C,D
Patient-centred Domain levels: 4) Specialist Assessments,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report,B,C,B,D,B,B,D,B,B,D,B,C,D,C,D,C,B,None entered,C,E,C
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report,C,C,C,C,B,A,A,C,C,C,C,C,C,C,B,C,A,None entered,A,B,C
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report,A,B,A,B,A,A,A,B,A,B,B,B,A,A,A,A,A,None entered,A,A,B
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report,B,B,A,B,C,B,B,C,C,B,C,B,B,A,A,A,A,None entered,C,B,E
Patient-centred Domain levels: 8) MDT working,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report,D,D,D,D,D,C,D,D,D,E,E,E,E,E,E,E,E,None entered,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report,A,C,B,B,B,B,B,A,A,B,A,A,A,A,B,A,A,None entered,B,B,C
Patient-centred Domain levels: 10) Discharge processes,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report,A,C,D,A,B,A,A,A,A,A,A,A,A,A,A,A,A,None entered,B,D,D
Patient-centred KI level Patient-centred Total KI level,Insufficient records,No records,TFP,TFP,No records,No records,No records,No records,TFP,B,D,C,C,C,B,C,C,B,D,C,C,C,B,C,C,B,No records,C,D,D
Patient-centred KI level Patient-centred Total KI score,.,.,.,.,.,.,.,.,.,70,54,60,66,64.0,78,68,66.0,72.0,58.0,62.0,64.0,60.0,74.0,62.0,68.0,78.0,.,62.0,56.0,48.0
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,.,.,.,.,.,.,.,53.2,45.9,51,56.1,57.6,74.1,57.8,66.0,64.8,52.2,62.0,60.8,60.0,74.0,53.0,57.8,66.3,.,42.2,40.5,34.7
Team-centred Domain levels: 2) Stroke unit,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report,B,D,C,B,B,B,C,B,A,C,C,C,C,B,C,B,B,None entered,D,C,D
Team-centred Domain levels: 5) Occupational therapy,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report,C,C,C,C,A,B,B,E,C,C,C,C,D,D,B,C,A,None entered,A,A,C
Team-centred Domain levels: 6) Physiotherapy,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report,B,A,A,B,A,B,B,B,A,C,B,A,A,A,A,A,A,None entered,A,A,B
Team-centred Domain levels: 7) Speech and Language therapy,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report,C,A,A,B,C,B,C,D,C,C,C,A,A,A,A,A,A,None entered,C,B,E
Team-centred Domain levels: 9) Standards by discharge,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report,A,D,B,B,B,B,B,A,A,B,A,A,A,A,B,A,A,None entered,C,B,C
Team-centred Domain levels: 10) Discharge processes,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report,A,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,None entered,B,D,D
Team-centred KI level Team-centred Total KI level,Insufficient records,No records,TFP,TFP,No records,No records,No records,No records,TFP,B,C,B,B,A,A,B,B,A,B,B,A,A,A,A,A,A,No records,B,B,D
Team-centred KI level Team-centred Total KI score,.,.,.,.,.,.,.,.,.,80,66.7,76.7,80,86.7,83.3,76.7,70.0,86.7,70.0,76.7,86.7,83.3,86.7,86.7,90.0,96.7,.,73.3,76.7,50.0
Team-centred SSNAP level Team-centred SSNAP score,.,.,.,.,.,.,.,.,.,60.8,56.7,65.2,68,78.0,79.2,65.2,70.0,78.0,63.0,76.7,82.3,83.3,86.7,74.1,76.5,82.2,.,49.9,55.4,36.1
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,,TFP,TFP,X,X,X,X,TFP,D,D,D,D,D,B,D,C,C,D,C,C,C,B,D,D,C,X,D,D,E
