0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital
SSNAP level,D,C,C,D,D,C,B,A,A,B,B,C,B,B,A,A,A,A,B,D,C,B,B,B,C,B,A,B,B,B,B
SSNAP score,53.2,61.8,63.2,47.9,54,65.5,78,84,86,80,77.9,64.6,78,78,84.0,82,86,81.0,75.0,57.8,66.5,78.0,76.0,70.5,69.0,73.0,85.0,73.0,77.0,70.0,78.0
Case ascertainment band,A,A,B,B,A,A,A,A,A,A,B,C,A,A,A,A,A,A,B,B,A,A,A,C,A,A,A,A,A,A,A
Audit compliance band,B,B,B,C,C,B,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,D,C,B,D,C,C,B,A,A,B,A,B,B,B,A,A,A,A,B,C,B,B,B,A,C,B,A,B,B,B,B
Combined Total Key Indicator score,56,65,70,56,60,69,78,84,86,80,82,80,78,78,84.0,82,86,81.0,79.0,64.0,70.0,78.0,76.0,83.0,69.0,73.0,85.0,73.0,77.0,70.0,78.0
Number of records completed: Team-centred post-72h all teams cohort,133,138,113,116,167,149,134,135,131,121,112,106,141,151,133,131,130,123,111,109,108,127,103,84,118,128,145,167,175,152,168
Patient-centred Domain levels: 1) Scanning,C,B,B,C,B,C,C,B,C,B,A,B,B,C,B,B,A,A,A,B,B,B,B,A,B,B,A,B,A,B,A
Patient-centred Domain levels: 2) Stroke unit,C,B,B,B,B,B,B,B,B,B,B,C,C,C,B,C,C,C,C,C,D,C,C,C,D,C,C,C,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,D,C,B,E,C,C,D,B,B,C,B,B,C,C,C,C,C,C,C,D,D,E,D,D,D,C,B,D,D,C,B
Patient-centred Domain levels: 4) Specialist Assessments,C,B,B,D,D,C,B,B,B,B,B,B,B,C,B,B,B,A,B,B,A,B,B,B,B,B,A,B,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,D,B,A,C,A,A,A,A,A,A,A,A,A,A,A,A,C,B,D,C,A,A,A,B,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,B,A,C,B,A,A,A,A,A,A,A,A,A,B,A,A,B,B,D,D,B,A,A,B,B,A,B,B,B,B
