0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU,King's College Hospital SU
SSNAP level,B,B,A,B,A,B,A,A,A,A,B,A,A,B,TFP,C,B,A,A,C,TFP,C,A,A,C,C,B,B,A,B,A
SSNAP score,74.9,75.7,85.8,78.5,83.1,71.5,82.2,89.3,83.7,85.8,74.7,91,81.4,78.5,.,60.1,74.7,80.1,83.3,68.4,.,69.4,80.3,80.4,60.6,66.7,75.3,74.7,80.7,70.0,80.7
Case ascertainment band,B,A,A,A,A,B,A,A,A,B,A,A,A,B,,A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A
Audit compliance band,B,B,B,D,C,C,C,A,C,A,C,A,B,B,TFP,D,A,B,A,B,A,A,A,A,C,A,A,A,A,A,A
Combined Total Key Indicator level,A,B,A,A,A,A,A,A,A,A,A,A,A,A,TFP,B,B,A,A,B,TFP,A,A,A,C,C,B,B,A,B,A
Combined Total Key Indicator score,83,79.7,90.3,92.3,92.3,83.7,91.3,89.3,93,90.3,83,91,85.7,87,.,70.7,74.7,84.3,83.3,72.0,.,81.7,80.3,84.7,67.3,66.7,75.3,74.7,80.7,70.0,80.7
Number of records completed: Team-centred post-72h all teams cohort,36,41,32,41,37,33,33,34,42,26,40,31,32,28,Too few to report,34,26,35,29,26,21,26,37,41,34,43,30,45,45,41,46
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Too few to report,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,C,D,C,D,D,E,E,B,C,D,Too few to report,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
