0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital,Kingston Hospital
SSNAP level,C,B,B,A,B,A,B,B,B,C,A,A,A,B,B,A,A,B,C,C,D,C,C,C,C,B,B,A,B,C,B
SSNAP score,66.6,72.8,73.5,80.4,79.8,81.2,73.1,79.2,79.2,65.7,80.7,80.3,85.7,71.3,75.4,80.3,82.7,74.3,63.0,64.7,58.3,60.3,65.9,68.4,63.0,73.0,73.7,80.4,70.3,64.0,70.3
Case ascertainment band,A,A,A,A,A,B,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A
Audit compliance band,C,B,C,C,C,C,D,B,C,D,A,A,A,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,C,C,D,C,C,B,C,B,B,A,B,C,B
Combined Total Key Indicator score,74,76.7,81.7,89.3,88.7,95,86,83.3,88,81.3,80.7,80.3,85.7,83.3,79.3,80.3,82.7,74.3,63.0,64.7,58.3,60.3,69.3,72.0,63.0,73.0,73.7,84.7,70.3,64.0,70.3
Number of records completed: Team-centred post-72h all teams cohort,58,52,57,50,52,38,44,48,51,37,56,54,52,42,54,59,65,57,45,56,60,52,42,59,62,70,52,50,57,75,60
Patient-centred Domain levels: 1) Scanning,A,B,A,A,A,A,A,A,A,A,A,B,B,A,B,A,B,A,D,C,D,D,B,B,C,B,C,A,A,C,B
Patient-centred Domain levels: 2) Stroke unit,D,C,C,D,D,C,D,C,C,D,D,D,C,C,D,D,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,B,B,B,B,B,B,B,B,B,D,B,C,A,B,D,E,D,E,E,E,D,D,D,D,D,D,D,E,D,E,E
Patient-centred Domain levels: 4) Specialist Assessments,D,D,C,D,D,B,D,C,B,C,D,D,B,D,C,D,D,D,E,E,E,E,D,E,D,D,E,C,D,D,D
Patient-centred Domain levels: 5) Occupational therapy,C,C,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,C,C,C,C,B,C,B,A,A,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,C,C,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,B,D,C,B,B,C,B,B,A,B,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,B,B,A,A,A,B,B,B,B,B,B,B,B,A,A,A,B,A,B,A,A,A,B,B,A,A,B,B,A
Patient-centred Domain levels: 8) MDT working,D,C,B,B,B,B,B,C,B,B,C,C,B,B,C,D,D,D,E,E,D,D,D,D,E,D,D,C,D,C,C
Patient-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,A,B,B,B,B,B,A,B,B,A,A,B,B,B,B,B,B,B,B,A,B,A,B,B,B
Patient-centred Domain levels: 10) Discharge processes,A,A,B,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,C,B,B,A,A,A,A,B,A,B,B,B,A,B,B,B,B,B,D,D,D,D,C,C,D,C,C,B,C,D,C
Patient-centred KI level Patient-centred Total KI score,68,70,80,82,84,90,82,80,86,76,78,74,88,80,72.0,74,72,72.0,56.0,56.0,50.0,54.0,62.0,64.0,56.0,66.0,64.0,76.0,64.0,58.0,64.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,B,B,B,B,C,B,B,C,B,B,A,C,C,B,B,B,D,D,D,D,D,C,D,C,C,B,C,D,C
Patient-centred SSNAP level Patient-centred SSNAP score,61.2,66.5,72,73.8,75.6,77,69.7,76,77.4,61.4,78,74,88,68.4,68.4,74,72,72.0,56.0,56.0,50.0,54.0,58.9,60.8,56.0,66.0,64.0,72.2,64.0,58.0,64.0
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,C,A,A,A,A,B,C,B,B,A,B,C,C,D,D,D,D,E,C,D,E,D,D,C,E,E,E
Team-centred Domain levels: 5) Occupational therapy,C,B,B,A,A,A,B,A,A,A,A,A,A,A,B,B,A,B,B,C,D,C,C,B,C,B,A,A,B,C,B
