0,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-07-01,2022-10-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit,Leicester City Stroke Rehabilitation Unit
SSNAP level,D,C,C,C,C,B,A,A,C,D,C,B,B,B,C,B,C,D,C,C,C,B,C,D
SSNAP score,54,64.8,69,65.8,66.6,77.6,89.3,81.7,69.2,58,62.7,74.4,75.7,74.6,65.2,70.1,66.4,56.5,66.0,61.8,61.3,70.5,61.7,55.9
Case ascertainment band,A,A,A,A,A,B,A,A,A,C,A,B,A,A,A,A,A,A,A,A,A,A,A,B
Audit compliance band,D,A,B,B,C,B,A,B,D,D,D,A,A,B,D,B,C,D,B,B,D,C,E,D
Combined Total Key Indicator level,C,C,B,C,B,A,A,A,A,A,B,B,B,B,B,B,B,C,C,C,B,B,B,C
Combined Total Key Indicator score,63.6,64.8,72.6,69.3,74,86,89.3,86,81.4,80.2,73.8,78.3,75.7,78.6,76.7,73.8,73.8,66.4,69.5,65.0,72.1,78.3,77.1,69.3
Number of records completed: Team-centred post-72h all teams cohort,35,34,46,43,38,37,38,30,39,22,38,31,29,41,23,34,23,31,23,23,23,20,26,23
Patient-centred Domain levels: 2) Stroke unit,C,A,A,A,A,A,A,A,A,A,B,A,B,B,A,A,B,A,B,B,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,C,C,B,A,A,B,A,A,A,A,A,B,B,B,B,B,C,B,B,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B,A,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,D,D,D,D,C,C,C,D,D,E,D,D,D,E,D,C,D,D,E,D,C,D,D
Patient-centred Domain levels: 8) MDT working,E,E,D,D,E,A,B,A,B,D,C,C,D,C,A,D,C,C,E,D,B,C,D,D
Patient-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,C,A,A,A,A,B,A
Patient-centred Domain levels: 10) Discharge processes,C,C,B,B,A,A,A,B,A,B,B,B,B,B,B,B,B,E,C,D,D,B,C,E
Patient-centred KI level Patient-centred Total KI level,D,C,C,C,B,A,A,A,A,B,B,B,B,B,B,B,B,C,C,C,B,B,B,C
Patient-centred KI level Patient-centred Total KI score,57.1,62.9,68.6,68.6,71.4,88.6,88.6,88.6,82.9,77.1,74.3,80,71.4,77.1,80.0,74.3,74.3,62.9,65.7,60.0,74.3,80.0,74.3,68.6
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,C,C,C,C,B,A,A,B,D,C,B,B,B,C,B,C,D,C,D,C,B,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,48.6,62.9,65.1,65.1,64.3,79.9,88.6,84.1,70.4,55.7,63.1,76,71.4,73.3,68.0,70.6,66.9,53.4,62.4,57.0,63.1,72.0,59.4,55.4
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,D,C,C,C,B,A,A,B,A,B,B,A,A,C,C,C,A,B,B,B,B,A,A
Team-centred Domain levels: 6) Physiotherapy,B,C,B,C,A,B,B,B,B,B,C,B,B,B,B,B,B,B,B,B,B,B,A,B
Team-centred Domain levels: 7) Speech and Language therapy,E,D,D,E,E,D,C,D,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,C,C,B,B,A,A,A,B,A,B,B,B,B,B,B,B,B,E,C,D,D,B,C,E
Team-centred KI level Team-centred Total KI level,B,C,B,B,B,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,70,66.7,76.7,70,76.7,83.3,90,83.3,80,83.3,73.3,76.7,80,80.0,73.3,73.3,73.3,70.0,73.3,70.0,70.0,76.7,80.0,70.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,C,B,C,C,B,A,B,C,C,C,B,B,B,C,C,C,D,C,C,D,C,C,D
Team-centred SSNAP level Team-centred SSNAP score,59.5,66.7,72.8,66.5,69,75.2,90,79.2,68,60.2,62.3,72.8,80,76.0,62.3,69.7,66.0,59.5,69.7,66.5,59.5,69.0,64.0,56.5
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),14,49,79,72,71,72,83,83,75,66,63,59,42,35,17,28,16,16,22,17,16,16,27,30
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,1,1,1,1,1,1,1,100%,1,0.84,65%,39%,52%,41%,41%,63%,55%,48%,47%,77%,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,0,0,0,0,0,0,1,1,0,0,1,12,30,13,23,10,8,11,4,4,4,10,7
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0,0,0,0,0,0,0.01,0.01,0,0%,0.02,0.29,86%,76%,82%,63%,50%,50%,24%,25%,25%,37%,23%
