0,2015-07-01
Team,Lurgan Hospital
SSNAP level,D
SSNAP score,42.3
Case ascertainment band,B
Audit compliance band,E
Combined Total Key Indicator level,D
Combined Total Key Indicator score,55.7
Number of records completed: Team-centred post-72h all teams cohort,22
Patient-centred Domain levels: 2) Stroke unit,C
Patient-centred Domain levels: 5) Occupational therapy,D
Patient-centred Domain levels: 6) Physiotherapy,C
Patient-centred Domain levels: 7) Speech and Language therapy,C
Patient-centred Domain levels: 8) MDT working,E
Patient-centred Domain levels: 9) Standards by discharge,E
Patient-centred Domain levels: 10) Discharge processes,A
Patient-centred KI level Patient-centred Total KI level,D
Patient-centred KI level Patient-centred Total KI score,51.4
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E
Patient-centred SSNAP level Patient-centred SSNAP score,39.1
Team-centred Domain levels: 2) Stroke unit,A
Team-centred Domain levels: 5) Occupational therapy,D
Team-centred Domain levels: 6) Physiotherapy,D
Team-centred Domain levels: 7) Speech and Language therapy,C
Team-centred Domain levels: 9) Standards by discharge,E
Team-centred Domain levels: 10) Discharge processes,A
Team-centred KI level Team-centred Total KI level,C
Team-centred KI level Team-centred Total KI score,60
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D
Team-centred SSNAP level Team-centred SSNAP score,45.6
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.
