0,2014-07-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit,Moseley Hall Stroke Rehabilitation Unit
SSNAP level,D,D,C,D,D,D,B,A,A,B,A,B,B,B,B,B,B,C,C,C,B,C,B,A,B,B,A
SSNAP score,48,53,60.6,57.7,56.1,52.3,70.7,90.7,80.5,74.1,83.5,77.4,77.8,78.9,72.4,76.5,74.9,68.5,68.1,68.1,70.3,69.4,73.7,88.3,80.0,78.8,80.8
Case ascertainment band,B,A,A,A,B,B,A,A,A,B,A,A,B,A,A,A,A,B,A,B,A,A,B,A,A,A,B
Audit compliance band,E,E,E,E,E,D,C,A,B,C,B,A,B,B,C,B,B,B,C,B,B,C,B,A,A,A,A
Combined Total Key Indicator level,C,C,B,B,B,C,B,A,A,A,A,B,A,A,A,A,B,B,B,B,B,B,A,A,B,B,A
Combined Total Key Indicator score,63.1,66.2,75.7,72.1,73.8,64.8,78.6,90.7,84.8,86.7,87.9,77.4,86.2,83.1,80.5,80.5,78.8,76.0,75.7,75.5,74.0,77.1,81.7,88.3,80.0,78.8,85.0
Number of records completed: Team-centred post-72h all teams cohort,20,31,31,31,31,25,31,30,36,37,36,35,35,41,45,41,46,36,40,51,46,39,46,45,44,41,46
Patient-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,B,B,C,B,A,B,B,A,B,A,A,A,A,A,C,B,C,C,B,A,A,B,B,B
Patient-centred Domain levels: 6) Physiotherapy,D,C,C,B,B,C,B,B,B,B,B,B,B,B,B,B,C,C,C,B,C,B,A,A,A,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,B,A,A,C,A,B,B,A,A,B,A,B,A,B,C,C,B,B,B,B,C,C,B,B,B,A,A
Patient-centred Domain levels: 8) MDT working,D,E,E,D,E,E,D,A,D,C,D,E,C,C,E,E,E,E,E,D,D,D,D,E,C,D,D
Patient-centred Domain levels: 9) Standards by discharge,C,B,B,B,C,C,B,A,A,B,A,B,A,A,B,B,B,B,B,B,A,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,C,D,B,B,B,C,B,C,B,B,B,B,C,C,B,B,B,A,B,B,B,B,C,B,C,C,B
Patient-centred KI level Patient-centred Total KI level,C,C,B,B,B,C,B,A,A,B,A,B,A,A,B,B,B,C,B,B,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,62.9,65.7,71.4,74.3,74.3,62.9,77.1,91.4,82.9,80,85.7,71.4,85.7,82.9,74.3,74.3,74.3,68.6,71.4,74.3,71.4,74.3,80.0,80.0,80.0,74.3,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,C,A,B,C,A,B,B,B,C,B,B,C,C,C,C,C,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,47.8,52.6,57.1,59.4,56.5,50.8,69.4,91.4,78.7,68.4,81.4,71.4,77.4,78.7,66.9,70.6,70.6,61.9,64.3,67.0,67.9,66.9,72.2,80.0,80.0,74.3,76.0
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,B,B,B,C,B,A,B,A,B,B,A,A,A,A,A,B,B,C,C,C,B,A,B,B,B
Team-centred Domain levels: 6) Physiotherapy,E,D,D,B,C,C,B,B,C,A,B,B,B,B,C,B,B,C,C,C,C,B,B,A,B,B,A
Team-centred Domain levels: 7) Speech and Language therapy,A,A,A,E,B,B,C,A,A,B,A,B,B,B,B,C,C,C,B,B,C,C,A,A,B,A,A
Team-centred Domain levels: 9) Standards by discharge,D,C,B,C,D,D,B,A,A,A,A,B,A,B,A,A,B,A,B,B,A,A,B,A,B,B,B
Team-centred Domain levels: 10) Discharge processes,C,D,B,B,B,C,B,C,B,B,B,B,C,C,B,B,B,A,B,B,B,B,C,B,C,C,B
Team-centred KI level Team-centred Total KI level,C,C,B,B,B,C,B,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,B,A,A
Team-centred KI level Team-centred Total KI score,63.3,66.7,80,70,73.3,66.7,80,90,86.7,93.3,90.0,83.3,86.7,83.3,86.7,86.7,83.3,83.3,80.0,76.7,76.7,80.0,83.3,96.7,80.0,83.3,90.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,C,D,D,D,B,A,A,B,A,A,B,B,B,A,B,B,B,C,B,B,B,A,B,A,A
Team-centred SSNAP level Team-centred SSNAP score,48.1,53.3,64,56,55.7,53.8,72,90,82.3,79.8,85.5,83.3,78.2,79.2,78.0,82.3,79.2,75.2,72.0,69.2,72.8,72.0,75.2,96.7,80.0,83.3,85.5
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),5,47,58,67,75,84,53,54,62,62,69,71,66,91,79,80,82,90,98,92,85,89,103,92,86,103,98
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,1,1,1,1,1,1,0.98,97%,0.99,1,100%,99%,100%,100%,99%,99%,100%,99%,99%,100%,100%,100%,99%,97%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,0,0,0,0,1,4,9,12,6,11,7,9,1,1,0,0,1,3,3,10,6,6,12,26,42,33
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0,0,0,0,0.01,0.08,0.17,0.19,0.1,16%,0.1,0.14,1%,1%,0%,0%,1%,3%,3%,12%,7%,6%,13%,30%,41%,34%
