0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU,Northwick Park Hospital SU
SSNAP level,C,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,B,C,C,B,B
SSNAP score,67.7,72,87.4,83.9,77.1,84.5,83,90,89,93.7,83,88,89,91,92.0,92.7,95.3,80.8,78.8,80.4,78.5,74.7,78.5,72.0,73.5,75.0,76.3,64.0,61.2,71.7,76.8
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,D,C,B,B,C,B,B,A,B,A,A,B,A,A,A,A,A,B,B,B,B,B,B,C,B,B,B,D,D,C,C
Combined Total Key Indicator level,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,A,B,B,B,A
Combined Total Key Indicator score,79.7,80,92,88.3,85.7,89,87.3,90,93.7,93.7,87.3,92.7,89,91,92.0,92.7,95.3,85.0,87.3,84.7,82.7,78.7,82.7,80.0,77.3,79.0,80.3,75.3,72.0,79.7,85.3
Number of records completed: Team-centred post-72h all teams cohort,130,173,162,163,168,161,153,148,183,180,172,154,173,156,174,189,177,159,180,213,226,202,187,217,214,231,196,223,210,198,228
Patient-centred Domain levels: 1) Scanning,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,B,A,B,B,C,B,B,B,B,C,B,C,B,B,C,C,B,B,C,E,D,D,D,D,D,D,E,E,E,D
