0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward,Norwich Community Hospital - Beech Ward
SSNAP level,D,D,D,C,C,C,C,C,C,D,C,B,B,B,B,B,C,D,C,B,C,D,C,C,C,C,B,B,C,B,B
SSNAP score,48.6,48.4,55,64.5,63.4,61.9,60.1,65.1,66,59.6,65.1,74.6,72,75.5,72.4,80,69.2,57.7,61.9,70.1,68.8,58.5,68.5,64.2,63.1,65.4,71.9,70.1,64.2,76.9,73.8
Case ascertainment band,B,C,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,B,A,A,A,A,B,A,A,A,A,C,A,A
Audit compliance band,D,C,D,B,C,C,D,C,C,C,C,B,C,A,A,A,B,D,C,B,B,C,B,B,B,C,B,B,A,A,A
Combined Total Key Indicator level,C,C,C,C,B,C,B,B,B,C,B,B,B,B,B,B,B,C,B,B,B,C,B,B,C,B,B,B,B,B,B
Combined Total Key Indicator score,60.2,63.3,64.8,67.9,70.5,68.8,70.7,72.4,77.1,66.2,72.4,78.6,80,75.5,72.4,80,76.7,67.9,72.4,73.8,72.4,65.0,72.1,71.2,66.4,72.6,75.7,73.8,75.5,76.9,73.8
Number of records completed: Team-centred post-72h all teams cohort,33,28,42,44,42,39,38,47,34,38,33,31,43,40,37,32,30,46,38,40,36,29,22,32,30,27,31,33,30,39,31
Patient-centred Domain levels: 2) Stroke unit,B,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,E,D,D,E,E,E,D,E,D,D,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,C,D,D,C,C,C,C,C,C,C,D,D,B,D,D,C,B,C,C,C,D,D,D,D,D,D,C,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,B,C,C,B,C,B,C,C,C,D,B,A,B,B,B,B,C,B,B,B,B,B,B,B,B,A,B,B,B,A,B
Patient-centred Domain levels: 8) MDT working,E,E,E,D,C,C,C,D,C,E,D,C,C,D,D,C,B,D,D,C,B,D,B,E,E,E,D,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,E,D,C,D,C,C,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,C,C,C,B,B,B,B,B,C,B,B,B,B,B,B,B,C,B,B,B,C,B,C,C,C,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,57.1,60,62.9,65.7,74.3,74.3,71.4,71.4,74.3,65.7,71.4,77.1,80,74.3,71.4,80,80,65.7,71.4,74.3,71.4,60.0,74.3,65.7,62.9,68.6,71.4,74.3,74.3,77.1,74.3
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,C,C,C,C,C,C,D,C,B,B,B,B,B,B,D,C,B,C,D,B,D,D,C,C,B,C,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,46.1,45.9,53.4,62.4,66.9,66.9,60.7,64.3,63.5,59.1,64.3,73.3,72,74.3,71.4,80,72.2,55.9,61.1,70.6,67.9,54.0,70.6,59.3,59.7,61.7,67.9,70.6,63.1,77.1,74.3
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,D,C,E,D,D,E,E,E,C,E,D,D,D,C,D,D
Team-centred Domain levels: 6) Physiotherapy,C,C,C,C,C,C,C,C,B,C,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,C,C,C,C,D
Team-centred Domain levels: 7) Speech and Language therapy,C,C,D,C,E,E,E,D,C,E,C,B,B,B,C,A,C,A,B,B,B,B,C,B,B,B,B,C,C,B,B
Team-centred Domain levels: 9) Standards by discharge,E,E,D,D,D,D,B,B,B,C,B,A,B,B,A,A,B,C,B,B,A,A,A,B,B,A,A,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,C,C,C,B,C,C,B,B,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,63.3,66.7,66.7,70,66.7,63.3,70,73.3,80,66.7,73.3,80,80,76.7,73.3,80,73.3,70.0,73.3,73.3,73.3,70.0,70.0,76.7,70.0,76.7,80.0,73.3,76.7,76.7,73.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,C,C,D,D,C,C,C,C,B,B,B,B,B,C,D,C,C,C,C,C,C,C,C,B,C,C,B,B
Team-centred SSNAP level Team-centred SSNAP score,51.1,51,56.7,66.5,60,57,59.5,66,68.4,60,66,76,72,76.7,73.3,80,66.2,59.5,62.7,69.7,69.7,63.0,66.5,69.2,66.5,69.0,76.0,69.7,65.2,76.7,73.3
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,23,50,61,59,59,64,70,66,61,67,69,61,61,57,49,42,36,32,43,40,45,49,34,20,23,35,41,44,51,37
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,0.98,0.97,0.98,1,1,1,1,1,1,1,1,97%,0.71,0.58,65%,70%,66%,61%,67%,65%,55%,42%,43%,59%,75%,83%,84%,80%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,11,21,16,17,29,24,26,31,29,30,39,34,37,36,33,31,17,17,26,32,24,35,29,16,19,22,26,34,39,27
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.48,0.42,0.26,0.29,0.49,0.38,0.37,0.47,0.48,0.45,0.57,0.56,0.61,63%,0.67,0.74,47%,53%,60%,80%,53%,71%,85%,80%,83%,63%,63%,77%,76%,73%
