0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital
SSNAP level,E,D,D,D,D,D,D,D,D,D,C,B,C,B,B,A,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A
SSNAP score,32.3,44.6,42.8,48,48,48,52,54,54,55,68,72.2,68.4,76,78.0,86,87,91.0,91.0,86.0,87.0,78.0,80.0,82.0,90.0,85.0,75.0,77.9,86.0,78.0,87.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,D,B,B,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A
Combined Total Key Indicator level,E,D,D,D,D,D,D,D,D,D,C,B,B,B,B,A,A,A,A,A,A,B,B,A,A,A,B,A,A,B,A
Combined Total Key Indicator score,38,47,45,48,48,48,52,54,54,55,68,76,72,76,78.0,86,87,91.0,91.0,86.0,87.0,78.0,80.0,82.0,90.0,85.0,75.0,82.0,86.0,78.0,87.0
Number of records completed: Team-centred post-72h all teams cohort,207,199,207,215,190,209,235,211,234,220,209,209,242,229,228,245,286,297,271,255,251,293,283,303,300,317,277,295,351,304,310
Patient-centred Domain levels: 1) Scanning,E,E,E,D,D,C,C,D,C,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,B,A
Patient-centred Domain levels: 2) Stroke unit,D,C,D,D,D,E,C,C,C,C,C,C,C,C,B,B,B,A,B,B,B,B,B,C,B,B,D,C,B,C,B
Patient-centred Domain levels: 3) Thrombolysis,E,D,D,D,D,D,D,D,D,D,B,B,C,B,B,B,B,A,A,B,B,B,B,C,B,B,C,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,E,D,D,E,E,E,D,D,D,C,C,C,C,B,B,B,A,B,A,B,B,C,B,B,B,B,D,C,B,C,B
Patient-centred Domain levels: 5) Occupational therapy,C,C,B,B,B,B,C,B,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,C,B,B,B,B,B,C,C,C,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,D,C,D,E,D,C,C,C,D,C,C,C,D,C,B,C,C,C,C,C,D
Patient-centred Domain levels: 8) MDT working,E,D,E,E,E,E,E,D,D,E,D,D,D,D,D,C,C,B,B,B,C,C,C,C,B,C,C,C,C,D,B
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,D,C,D,C,C,C,C,B,B,B,A,A,A,A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,E,D,D,D,D,D,D,D,D,D,C,B,B,B,B,A,A,A,A,A,A,B,B,A,A,A,B,A,A,B,A
Patient-centred KI level Patient-centred Total KI score,38,48,46,48,48,48,52,54,54,56,68,76,72,76,78.0,86,88,92.0,90.0,88.0,86.0,78.0,80.0,82.0,90.0,86.0,74.0,82.0,86.0,78.0,86.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,D,D,D,D,D,D,D,C,B,C,B,B,A,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A
Patient-centred SSNAP level Patient-centred SSNAP score,32.3,45.6,43.7,48,48,48,52,54,54,56,68,72.2,68.4,76,78.0,86,88,92.0,90.0,88.0,86.0,78.0,80.0,82.0,90.0,86.0,74.0,77.9,86.0,78.0,86.0
Team-centred Domain levels: 1) Scanning,E,E,E,D,D,C,C,D,C,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,B,A
Team-centred Domain levels: 2) Stroke unit,D,C,D,D,D,E,C,C,C,C,C,C,C,C,B,B,B,A,B,B,B,B,B,C,B,B,C,C,B,C,B
Team-centred Domain levels: 3) Thrombolysis,E,D,E,D,D,D,D,D,D,D,B,B,C,B,B,B,B,B,A,B,B,C,B,C,B,B,C,B,B,B,B
Team-centred Domain levels: 4) Specialist Assessments,E,D,D,E,E,E,D,D,D,C,C,C,C,B,B,B,B,B,A,C,B,C,B,C,B,B,D,C,B,C,B
Team-centred Domain levels: 5) Occupational therapy,C,C,B,B,B,B,C,B,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,C,C,B,B,B,B,B,C,C,D,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,D,C,D,E,D,C,C,C,C,D,C,C,D,C,B,C,C,C,C,C,C
Team-centred Domain levels: 8) MDT working,E,E,E,E,E,E,E,D,D,E,D,D,D,D,D,C,C,B,B,B,B,B,C,B,B,C,C,C,C,D,B
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,D,C,D,C,C,C,C,B,B,B,A,A,A,A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,E,D,D,D,D,D,D,D,D,D,C,B,B,B,B,A,A,A,A,A,A,B,B,A,A,A,B,A,A,B,A
Team-centred KI level Team-centred Total KI score,38,46,44,48,48,48,52,54,54,54,68,76,72,76,78.0,86,86,90.0,92.0,84.0,88.0,78.0,80.0,82.0,90.0,84.0,76.0,82.0,86.0,78.0,88.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,D,D,D,D,D,D,D,D,C,B,C,B,B,A,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A
Team-centred SSNAP level Team-centred SSNAP score,32.3,43.7,41.8,48,48,48,52,54,54,54,68,72.2,68.4,76,78.0,86,86,90.0,92.0,84.0,88.0,78.0,80.0,82.0,90.0,84.0,76.0,77.9,86.0,78.0,88.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,37,182,319,333,338,333,318,338,283,227,231,243,223,201,223,251,294,280,301,267,206,212,219,231,325,417,424,394,397,400
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,0.99,0.97,0.91,0.72,0.74,0.79,0.66,60%,0.67,0.77,65%,65%,65%,56%,51%,56%,60%,58%,73%,90%,87%,83%,87%,90%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,1,1,11,27,46,64,50,44,40,71,57,39,73,68,60,34,102,104,124,131,101,97,116,116,108,123,133,101,119,109
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.03,0.01,0.03,0.08,0.14,0.19,0.16,0.13,0.14,0.31,0.25,0.16,0.33,34%,0.27,0.14,35%,37%,41%,49%,49%,46%,53%,50%,33%,29%,31%,26%,30%,27%
