0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital
SSNAP level,E,D,D,D,D,D,D,D,D,D,C,C,B,C,C,D,C,C,C,C,C,D,C,B,C,C,C,C,C,C,D
SSNAP score,20.6,46.8,41.2,41.8,40,56,56.9,56,57.9,56,67,67.5,73,66,63.7,59,67,66.0,63.0,65.0,64.0,59.8,64.6,70.0,60.0,67.0,67.0,64.0,65.0,63.0,57.0
Case ascertainment band,D,A,C,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A
Audit compliance band,B,C,B,B,A,B,B,B,B,B,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,E,D,D,D,D,D,C,D,C,D,C,B,B,C,C,D,C,C,C,C,C,C,C,B,C,C,C,C,C,C,D
Combined Total Key Indicator score,31,52,51,44,40,59,63,59,61,59,67,71,73,66,67.0,59,67,66.0,63.0,65.0,64.0,63.0,68.0,70.0,60.0,67.0,67.0,64.0,65.0,63.0,57.0
Number of records completed: Team-centred post-72h all teams cohort,29,45,31,53,60,52,104,118,151,155,133,166,152,144,164,166,149,129,152,138,141,130,111,132,140,158,152,135,140,151,169
Patient-centred Domain levels: 1) Scanning,C,B,B,B,C,A,A,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,B,B,A,B,B,A,A,A
Patient-centred Domain levels: 2) Stroke unit,E,C,D,E,E,C,D,E,D,E,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,C,D,D,D,D,D,E,E,E,D,D,C,C,D,D,C,C,D,C,C,C,C,B,D,C,D,C,D,D,D
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,D,D,E,D,E,D,D,C,D,D,C,D,D,D,E,D,D,D,E,E,E,E,E,D,D,E
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records,C,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records,C,B,C,D,D,D,B,B,B,B,B,B,B,B,C,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records,E,E,E,E,E,E,E,D,D,C,B,D,D,C,E,C,C,C,C,C,B,B,B,C,C,C,C,E,D,D
Patient-centred Domain levels: 8) MDT working,E,D,D,E,E,D,C,D,D,D,C,B,B,B,B,C,D,D,D,D,D,C,C,C,D,D,D,D,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records,A,B,B,B,B,B,A,B,B,B,B,B,B,B,B,A,B,B,B,C,C,C,A,A,A,A,B,A,A,B
Patient-centred Domain levels: 10) Discharge processes,Insufficient records,D,D,E,D,D,B,A,B,B,C,B,B,C,B,C,C,B,C,B,B,C,C,B,C,B,A,B,B,B,B
Patient-centred KI level Patient-centred Total KI level,E,D,D,D,D,D,C,D,C,D,C,B,B,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C
Patient-centred KI level Patient-centred Total KI score,32,54,54,46,40,56,60,58,60,56,66,72,72,66,68.0,60,62,66.0,60.0,64.0,64.0,64.0,66.0,70.0,60.0,66.0,62.0,62.0,62.0,64.0,60.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,D,D,D,D,D,D,D,C,C,B,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,21.3,48.6,43.6,43.7,40,53.2,54.2,55.1,57,53.2,66,68.4,72,66,64.6,60,62,66.0,60.0,64.0,64.0,60.8,62.7,70.0,60.0,66.0,62.0,62.0,62.0,64.0,60.0
Team-centred Domain levels: 1) Scanning,C,B,B,B,C,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,A,A,A
Team-centred Domain levels: 2) Stroke unit,E,C,D,E,E,C,D,E,D,E,C,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,D,C,D,D,D,D,D,E,E,E,D,D,C,C,D,D,C,B,C,C,C,D,C,C,D,C,C,C,D,D,D
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,D,D,E,D,E,D,D,C,D,D,C,C,D,C,D,D,D,D,D,E,D,D,C,C,D,D
