0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU,Princess Royal University Hospital HASU
SSNAP level,D,C,B,B,A,B,B,A,A,B,B,B,A,B,A,B,B,A,B,B,A,B,B,B,B,B,B,B,B,C,B
SSNAP score,50.1,62.3,74.9,79.4,80.8,79.8,78.8,84.5,81.7,75.8,78,73.1,81,80,81.0,74.1,74,81.0,75.0,79.0,87.0,80.0,77.0,77.0,80.0,77.0,77.0,70.0,76.0,68.0,70.0
Case ascertainment band,C,B,B,B,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,C,C,A,A,A,A,A,A,A,A,B,B,A,B,A,B,B,A,B,B,A,B,B,B,B,B,B,B,B,C,B
Combined Total Key Indicator score,62,69,83,88,85,84,83,89,86,84,78,77,81,80,81.0,78,74,81.0,79.0,79.0,87.0,80.0,77.0,77.0,80.0,77.0,77.0,70.0,76.0,68.0,70.0
Number of records completed: Team-centred post-72h all teams cohort,196,199,210,194,213,209,210,188,215,195,203,193,225,233,209,195,257,225,203,212,233,203,212,209,238,246,224,271,297,251,266
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,D,C,B,B,B,B,B,B,C,D,D,D,D,D,C,E,E,E,E,D,E,E,E,E,E,E,E,E,E,E
