0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU,Princess Royal University Hospital SU
SSNAP level,D,D,C,B,B,B,C,A,B,B,B,B,C,B,C,C,B,B,B,B,B,C,C,C,B,B,B,C,B,B,B
SSNAP score,54.8,55,69.8,72.8,76.3,71.4,62.7,84.5,70.8,72,72.8,74.7,67.8,77,66.6,63.5,70.9,76.0,75.0,73.5,74.7,67.0,60.3,64.6,72.0,72.5,71.6,65.5,73.7,73.3,70.7
Case ascertainment band,A,A,B,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A
Audit compliance band,B,D,C,B,B,C,C,B,D,D,B,A,C,B,D,D,B,B,B,B,B,C,D,D,C,B,B,B,A,A,A
Combined Total Key Indicator level,D,C,A,B,A,B,A,A,A,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B
Combined Total Key Indicator score,57.7,64.7,81.7,76.7,80.3,79.3,82,89,83.3,84.7,76.7,74.7,75.3,81,78.3,74.7,74.7,80.0,79.0,77.3,78.7,78.3,74.7,76.0,80.0,76.3,75.3,69.0,73.7,73.3,70.7
Number of records completed: Team-centred post-72h all teams cohort,73,93,79,73,117,86,65,74,84,74,96,67,111,92,103,86,117,89,88,105,119,91,88,111,128,120,103,145,142,88,165
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,D,C,B,B,B,B,B,C,C,D,D,E,D,D,C,E,D,E,E,D,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,B,B,A,B,B,B,B,A,B,A,B,C,D,C,C,E,C,D,D,C,D,B,C,E,C,C,D,D,C,D,D
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,B,A,A,B,B,B,B,B,B,B,C,B,B,B,B,B,A,A,A,A,A,A,B,A,B,B,A,B
Patient-centred Domain levels: 5) Occupational therapy,E,D,B,C,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B,B,C,C
Patient-centred Domain levels: 6) Physiotherapy,C,B,B,B,B,B,B,A,A,A,A,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,B,C,B,C,C,B,B,B,C,B,C,C,C,A,B,C,B,B,A,B,A,B,B,C,B,C,C,C,C,C,C
Patient-centred Domain levels: 8) MDT working,D,D,D,C,C,C,C,C,D,D,C,B,B,B,B,B,C,B,B,B,A,C,C,C,C,C,C,D,C,D,D
Patient-centred Domain levels: 9) Standards by discharge,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,D,C,B,A,A,C,A,B,B,A,B,C,C,B,B,C,C,B,C,B,B,B,C,A,A,A,B,B,A,A,A
Patient-centred KI level Patient-centred Total KI level,C,C,B,B,A,A,A,A,B,A,B,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B,B,C,B,B,C
Patient-centred KI level Patient-centred Total KI score,62,66,80,80,84,82,84,88,80,86,80,76,74,82,80.0,76,76,80.0,78.0,78.0,84.0,80.0,76.0,72.0,80.0,76.0,74.0,68.0,74.0,70.0,68.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,C,B,B,B,C,A,C,B,B,B,C,B,C,C,B,B,B,B,B,C,C,C,B,B,B,C,B,B,C
Patient-centred SSNAP level Patient-centred SSNAP score,58.9,56.1,68.4,76,79.8,73.8,64.3,83.6,68,73.1,76,76,66.6,77.9,68.0,64.6,72.2,76.0,74.1,74.1,79.8,68.4,61.4,61.2,72.0,72.2,70.3,64.6,74.0,70.0,68.0
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,E,E,B,C,C,C,C,A,A,C,C,C,A,B,B,C,C,C,C,C,C,C,C,C,B,B,B,C,C,C,C
Team-centred Domain levels: 6) Physiotherapy,D,C,B,B,B,B,B,A,A,A,B,B,B,B,C,C,C,B,B,B,C,B,B,B,C,C,B,C,C,C,D
