0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn,Queen Elizabeth Hospital Kings Lynn
SSNAP level,D,E,E,E,E,E,E,D,D,C,A,A,A,A,A,A,A,B,B,C,C,D,C,C,C,B,C,C,C,C,C
SSNAP score,40,37.4,25.8,37.4,34.9,38,36.5,51.9,48.4,64,87,91,82,82,85.0,82,82,73.0,70.0,65.5,66.5,53.2,63.7,60.8,68.4,70.3,62.7,60.8,60.8,64.0,65.5
Case ascertainment band,A,A,C,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,E,D,E,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,B
Combined Total Key Indicator level,D,D,E,D,D,D,D,C,D,C,A,A,A,A,A,A,A,B,B,C,B,D,C,C,B,B,C,C,C,C,C
Combined Total Key Indicator score,50,44,38,44,41,47,43,61,57,64,87,91,82,82,85.0,82,82,73.0,70.0,69.0,70.0,56.0,67.0,64.0,72.0,74.0,66.0,64.0,64.0,64.0,69.0
Number of records completed: Team-centred post-72h all teams cohort,122,127,100,139,124,105,132,132,164,130,127,137,160,132,139,126,151,168,146,154,139,148,146,159,127,138,141,123,137,135,131
Patient-centred Domain levels: 1) Scanning,D,C,D,D,D,C,D,C,C,C,B,A,C,B,B,C,A,C,C,C,C,C,B,C,B,B,B,B,B,B,B
Patient-centred Domain levels: 2) Stroke unit,B,C,C,C,C,C,C,B,C,C,C,C,C,D,C,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,B,C,C,B,B,C,D,B,C,C,B,A,C,B,B,A,A,C,D,D,C,E,D,D,C,B,C,C,D,C,D
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,D,D,D,D,B,C,B,A,A,B,B,B,B,B,B,B,B,C,D,C,C,C,B,C,C,C,C,C
Patient-centred Domain levels: 5) Occupational therapy,B,D,E,E,E,D,E,C,C,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,E,D,E,E,E,D,E,D,C,C,A,A,A,A,A,A,B,A,B,B,A,B,A,B,A,A,A,B,A,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,D,B,A,A,A,A,A,A,B,B,B,C,C,E,D,C,C,C,E,E,E,D,B
Patient-centred Domain levels: 8) MDT working,B,C,C,C,D,C,C,B,C,B,B,B,A,B,B,B,B,C,B,C,B,B,B,B,B,B,D,C,D,C,B
Patient-centred Domain levels: 9) Standards by discharge,E,E,E,C,D,C,B,B,B,C,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,D,D,D,D,D,D,D,D,E,E,C,C,C,C,B,C,C,C,C,B,C,C,C,C,C,C,B,C,B,C,C
Patient-centred KI level Patient-centred Total KI level,D,D,E,D,D,D,D,C,D,C,A,A,A,A,A,A,A,B,B,C,B,D,C,C,B,B,C,C,C,C,B
Patient-centred KI level Patient-centred Total KI score,50,44,38,44,40,48,42,62,56,64,86,90,82,82,84.0,82,82,72.0,70.0,68.0,70.0,56.0,68.0,64.0,72.0,76.0,66.0,64.0,64.0,66.0,70.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,E,E,E,E,E,E,D,D,C,A,A,A,A,A,A,A,B,B,C,C,D,C,C,C,B,C,C,C,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,40,37.4,25.8,37.4,34,38.8,35.7,52.7,47.6,64,86,90,82,82,84.0,82,82,72.0,70.0,64.6,66.5,53.2,64.6,60.8,68.4,72.2,62.7,60.8,60.8,66.0,66.5
Team-centred Domain levels: 1) Scanning,D,C,D,D,D,D,D,C,C,C,B,A,C,B,B,C,A,C,C,C,C,C,C,C,B,C,B,B,B,B,B
Team-centred Domain levels: 2) Stroke unit,B,C,C,C,C,C,C,B,C,C,C,C,C,D,C,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,B,C,C,B,B,C,D,B,C,C,B,A,C,B,B,A,A,C,D,D,C,E,D,D,C,C,C,C,D,D,D
Team-centred Domain levels: 4) Specialist Assessments,D,D,D,D,D,D,D,B,C,B,A,A,B,B,B,B,B,B,B,B,C,D,C,C,C,B,C,C,C,C,C
Team-centred Domain levels: 5) Occupational therapy,B,D,E,E,E,D,E,D,C,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,E,D,E,E,E,E,E,D,C,C,A,A,A,A,A,A,B,A,B,B,A,B,A,B,A,A,A,B,A,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,D,B,A,A,A,A,A,A,B,B,B,C,C,E,D,C,C,C,E,E,E,E,C
Team-centred Domain levels: 8) MDT working,B,C,C,C,C,B,B,B,B,B,A,A,A,B,A,B,B,B,B,B,B,B,A,B,B,B,D,C,D,C,B
Team-centred Domain levels: 9) Standards by discharge,E,E,E,C,D,C,B,B,B,C,A,A,A,A,B,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,D,D,D,D,D,D,D,D,E,E,C,C,C,C,B,C,C,C,C,B,C,C,C,C,C,C,B,C,B,C,C
Team-centred KI level Team-centred Total KI level,D,D,E,D,D,D,D,C,D,C,A,A,A,A,A,A,A,B,B,B,B,D,C,C,B,B,C,C,C,C,C
Team-centred KI level Team-centred Total KI score,50,44,38,44,42,46,44,60,58,64,88,92,82,82,86.0,82,82,74.0,70.0,70.0,70.0,56.0,66.0,64.0,72.0,72.0,66.0,64.0,64.0,62.0,68.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,E,E,E,E,E,E,D,D,C,A,A,A,A,A,A,A,B,B,C,C,D,C,C,C,C,C,C,C,C,C
Team-centred SSNAP level Team-centred SSNAP score,40,37.4,25.8,37.4,35.7,37.1,37.4,51,49.3,64,88,92,82,82,86.0,82,82,74.0,70.0,66.5,66.5,53.2,62.7,60.8,68.4,68.4,62.7,60.8,60.8,62.0,64.6
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,66,153,218,223,215,238,217,211,199,182,159,171,173,180,215,179,260,242,237,279,263,249,243,246,257,225,194,215,214,208
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1,1,1,0.73,0.76,0.85,0.83,85%,0.93,0.87,97%,98%,97%,98%,99%,98%,97%,96%,96%,97%,97%,97%,96%,96%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,0,0,0,0,2,2,0,82,62,60,62,30,21,10,12,9,5,5,9,11,5,8,9,12,8,18,12,14
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0,0,0,0,0.01,0.01,0,0.45,0.39,0.35,0.36,17%,0.1,0.06,5%,4%,2%,2%,3%,4%,2%,3%,4%,5%,4%,8%,6%,7%
