0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01
Team,Queen Elizabeth Hospital Woolwich,Queen Elizabeth Hospital Woolwich,Queen Elizabeth Hospital Woolwich,Queen Elizabeth Hospital Woolwich,Queen Elizabeth Hospital Woolwich
SSNAP level,X,D,C,C,TFP
SSNAP score,.,56.7,60,62,.
Case ascertainment band,X,A,A,B,A
Audit compliance band,X,D,C,B,B
Combined Total Key Indicator level,X,C,C,C,TFP
Combined Total Key Indicator score,.,66.7,66.7,68.7,.
Number of records completed: Team-centred post-72h all teams cohort,None completed,41,44,27,26
Patient-centred Domain levels: 1) Scanning,None entered,A,B,A,Too few to report
Patient-centred Domain levels: 2) Stroke unit,None entered,C,D,C,B
Patient-centred Domain levels: 3) Thrombolysis,None entered,A,A,A,Too few to report
Patient-centred Domain levels: 4) Specialist Assessments,None entered,B,B,C,Too few to report
Patient-centred Domain levels: 5) Occupational therapy,None entered,E,D,C,B
Patient-centred Domain levels: 6) Physiotherapy,None entered,C,C,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,None entered,B,B,C,B
Patient-centred Domain levels: 8) MDT working,None entered,D,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,None entered,B,A,B,B
Patient-centred Domain levels: 10) Discharge processes,None entered,B,B,A,B
Patient-centred KI level Patient-centred Total KI level,No records,B,B,B,TFP
Patient-centred KI level Patient-centred Total KI score,.,70,70,74,.
Patient-centred SSNAP level Patient-centred SSNAP score,.,59.5,63,66.8,.
Team-centred Domain levels: 2) Stroke unit,None entered,A,C,B,B
Team-centred Domain levels: 5) Occupational therapy,None entered,E,E,E,D
Team-centred Domain levels: 6) Physiotherapy,None entered,D,D,C,C
Team-centred Domain levels: 7) Speech and Language therapy,None entered,C,B,D,C
Team-centred Domain levels: 9) Standards by discharge,None entered,B,A,B,A
Team-centred Domain levels: 10) Discharge processes,None entered,B,B,A,B
Team-centred KI level Team-centred Total KI level,No records,C,C,C,TFP
Team-centred KI level Team-centred Total KI score,.,63.3,63.3,63.3,.
Team-centred SSNAP level Team-centred SSNAP score,.,53.8,57,57.2,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,D,C,C,TFP
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",,D,D,D,TFP
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,55,73,66,50
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,0.99,0.94
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,29,31,9
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0.4,0.47,0.18
