0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU,Queens Hospital Romford SU
SSNAP level,D,D,B,C,C,B,C,B,B,C,D,B,B,C,A,B,A,C,C,C,D,D,D,D,D,D,D,D,D,D,C
SSNAP score,57.9,50.3,71.3,68.7,67.1,76.7,68,75.7,72.3,68.7,59.5,71.3,70.6,68.7,81.4,73.8,81.4,66.3,61.8,60.1,56.9,58.9,51.0,58.1,46.8,51.9,53.4,55.0,54.9,53.0,62.7
Case ascertainment band,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,A,A,A,B,A,A,A,A,A,B,A,B,B,B,C,B,C,D,D,D,D,D,D,C,C,C,D,C,D,C
Combined Total Key Indicator level,C,D,B,C,B,B,C,B,B,C,C,B,B,B,A,A,A,B,B,B,C,C,C,C,D,D,D,C,C,C,C
Combined Total Key Indicator score,64.3,53,71.3,68.7,70.7,76.7,68,75.7,72.3,68.7,62.7,71.3,74.3,72.3,85.7,82,85.7,73.7,72.7,70.7,67.0,69.3,60.0,68.3,52.0,57.7,59.3,64.7,61.0,62.3,69.7
Number of records completed: Team-centred post-72h all teams cohort,127,103,134,128,167,143,164,139,135,118,148,152,216,170,167,193,157,121,141,108,97,83,107,105,82,98,59,131,95,95,109
Patient-centred Domain levels: 1) Scanning,B,B,B,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,B,B,A,B,B,B,B,B,A,A,A,B
Patient-centred Domain levels: 2) Stroke unit,C,D,C,C,C,C,C,C,C,D,C,B,B,C,B,B,C,C,E,E,D,D,D,D,E,D,E,D,C,E,E
Patient-centred Domain levels: 3) Thrombolysis,C,C,B,B,B,B,C,C,B,B,C,A,A,B,B,B,B,C,D,C,D,D,C,D,E,C,C,D,C,C,D
Patient-centred Domain levels: 4) Specialist Assessments,B,D,C,C,B,B,B,B,B,C,C,C,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,C,A,A,A,A,A,A,A,A,C,B,A,A,A,A,A,A,B,C,C,C,A,B,B,C,C,B,B,C,C
Patient-centred Domain levels: 6) Physiotherapy,B,C,A,A,A,A,A,A,A,A,C,B,B,B,A,B,A,B,A,B,C,B,B,B,B,B,B,B,B,B,C
Patient-centred Domain levels: 7) Speech and Language therapy,B,C,B,B,B,A,A,A,A,A,B,B,A,B,B,B,A,B,B,B,B,B,B,A,B,C,B,C,B,B,B
Patient-centred Domain levels: 8) MDT working,C,D,C,C,C,C,C,C,C,C,D,D,C,B,B,B,B,C,C,C,C,C,C,D,E,E,E,E,D,E,D
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,B,B,C,C,C,B,C,C,B,B,B,D,B,B,B,B,D,C,E,C,C,B,C,B,B
Patient-centred Domain levels: 10) Discharge processes,D,D,C,D,D,D,D,C,D,D,C,C,C,C,A,B,A,B,B,B,C,B,B,A,C,B,B,B,B,B,A
Patient-centred KI level Patient-centred Total KI level,B,D,B,B,B,B,B,B,B,B,C,B,A,B,A,A,A,B,B,C,C,B,B,B,D,C,C,C,B,C,C
Patient-centred KI level Patient-centred Total KI score,72,56,76,74,78,80,76,78,78,74,62,76,82,78,88.0,84,88,74.0,72.0,68.0,64.0,72.0,70.0,70.0,54.0,62.0,62.0,66.0,72.0,68.0,66.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,D,B,B,B,B,B,B,B,B,D,B,B,B,A,B,A,C,C,D,D,C,D,D,D,D,D,D,C,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,64.8,53.2,76,74,74.1,80,76,78,78,74,58.9,76,77.9,74.1,83.6,75.6,83.6,66.6,61.2,57.8,54.4,61.2,59.5,59.5,48.6,55.8,55.8,56.1,64.8,57.8,59.4
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,D,C,C,C,A,C,C,C,C,C,C,C,C,A,B,C,B,C,C,C,C,D,D,D,E,D,C,D,D,D
Team-centred Domain levels: 6) Physiotherapy,D,D,B,B,B,B,C,C,C,D,D,D,C,C,B,B,B,B,C,D,D,D,D,C,C,D,D,C,D,D,C
Team-centred Domain levels: 7) Speech and Language therapy,E,E,D,E,D,C,D,B,B,B,C,C,C,C,D,C,B,C,C,C,C,D,E,D,D,D,D,D,E,C,C
Team-centred Domain levels: 9) Standards by discharge,B,C,B,B,B,B,B,B,C,C,C,B,C,C,B,B,B,E,B,B,B,C,E,C,E,C,E,B,D,C,B
Team-centred Domain levels: 10) Discharge processes,D,D,D,D,D,D,D,C,D,D,C,C,C,C,A,B,A,A,B,A,B,A,B,A,D,C,A,D,C,D,A
Team-centred KI level Team-centred Total KI level,D,D,C,C,C,B,C,B,C,C,C,C,C,C,A,B,A,B,B,B,B,C,D,C,D,D,D,C,D,D,B
Team-centred KI level Team-centred Total KI score,56.7,50,66.7,63.3,63.3,73.3,60,73.3,66.7,63.3,63.3,66.7,66.7,66.7,83.3,80,83.3,73.3,73.3,73.3,70.0,66.7,50.0,66.7,50.0,53.3,56.7,63.3,50.0,56.7,73.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,C,C,C,B,C,B,C,C,C,C,C,C,B,B,B,C,C,C,D,D,D,D,D,D,D,D,D,D,C
Team-centred SSNAP level Team-centred SSNAP score,51,47.5,66.7,63.3,60.2,73.3,60,73.3,66.7,63.3,60.2,66.7,63.3,63.3,79.2,72,79.2,66.0,62.3,62.3,59.5,56.7,42.5,56.7,45.0,48.0,51.0,53.8,45.0,48.2,66.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,32,79,175,211,162,208,234,299,251,200,244,241,200,203,258,231,156,156,145,168,159,122,113,130,143,142,132,123,103,145
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.16,0.39,0.76,0.96,0.93,0.93,0.96,0.97,0.92,0.84,0.87,0.9,0.86,87%,0.88,0.83,82%,86%,82%,77%,76%,78%,76%,78%,74%,74%,80%,79%,74%,72%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,2,39,55,21,39,34,47,34,44,76,63,46,36,52,71,72,52,37,49,42,26,27,35,37,29,19,25,24,37
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0.03,0.22,0.26,0.13,0.19,0.15,0.16,0.14,0.22,0.31,0.26,0.23,18%,0.2,0.31,46%,33%,26%,29%,26%,21%,24%,27%,26%,20%,14%,20%,23%,26%
