0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary,Royal Albert Edward Infirmary
SSNAP level,E,E,D,D,D,D,D,C,B,C,B,C,C,B,B,B,B,C,D,C,D,C,D,D,D,D,D,D,D,D,D
SSNAP score,35.2,38.4,47.6,53.5,56.8,53.5,52.4,63,70,61.2,74.1,66.5,62,70,73.3,74,71.7,62.7,54.9,61.8,58.6,68.1,46.9,55.0,40.6,47.9,49.6,58.1,55.0,55.1,50.0
Case ascertainment band,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A,A,A,A,B,A,A,A,B,C,B,A,A,A,A,A,A
Audit compliance band,E,E,D,D,C,D,D,D,A,D,B,B,D,B,A,A,A,C,D,B,A,B,B,A,B,D,D,D,D,B,A
Combined Total Key Indicator level,D,D,D,C,C,C,C,B,B,B,B,B,B,B,B,B,B,C,C,C,D,B,D,C,D,D,D,C,C,D,D
Combined Total Key Indicator score,44,48,56,63,63.1,63,64.9,78,70,72,78,73.7,73,73.7,73.3,74,71.7,69.7,68.0,65.0,58.6,71.7,52.0,64.7,45.0,56.3,58.3,68.3,64.7,58.0,50.0
Number of records completed: Team-centred post-72h all teams cohort,119,66,77,96,78,75,90,73,94,84,101,84,70,60,76,84,90,103,82,81,85,83,69,58,94,99,89,61,74,81,100
Patient-centred Domain levels: 1) Scanning,D,E,D,C,D,C,C,B,B,C,B,A,A,A,B,C,B,A,A,B,A,A,B,A,D,B,A,A,B,B,B
Patient-centred Domain levels: 2) Stroke unit,D,D,D,D,D,D,C,B,C,D,D,D,E,D,E,D,D,E,E,E,E,E,E,E,E,E,E,E,D,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,E,E,C,C,D,D,D,C,B,C,B,C,D,C,C,D,D,E,E,D,E,E,B,E,D,D,C,E,E,E
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,D,E,C,B,B,B,B,B,C,C,B,C,C,B,D,C,D,C,B,D,C,D,C,D,B,B,D,C
Patient-centred Domain levels: 5) Occupational therapy,B,C,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,C,C,C,C,C,C,B,C
Patient-centred Domain levels: 6) Physiotherapy,C,C,A,B,A,B,B,A,A,B,B,C,C,B,C,B,B,B,C,C,B,B,C,C,D,D,D,C,C,D,D
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,D,D,E,C,C,C,D,E,C,C,E,D,E,D,E,E,D,E,E,E,E,D,D,D,D,E
Patient-centred Domain levels: 8) MDT working,D,C,D,B,B,C,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,D,D,C,B,B,D,C
Patient-centred Domain levels: 9) Standards by discharge,D,C,B,B,B,B,B,B,A,B,A,A,A,B,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,C,C,C,B,B,A,B,B,B,C,B,B,C,B,C,C,C,C,B,D,C,D,D,C,B,C,D,D
Patient-centred KI level Patient-centred Total KI score,46,46,56,66,64,66,72,76,82,74,76,74,66,74,70.0,68,70,66.0,66.0,60.0,66.0,70.0,56.0,66.0,48.0,56.0,60.0,70.0,66.0,56.0,56.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,D,D,D,D,D,C,A,C,B,C,D,B,B,C,B,D,D,D,C,C,D,D,D,D,D,D,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,36.8,36.8,47.6,56.1,57.6,56.1,58.1,61.4,82,62.9,72.2,66.8,56.1,70.3,70.0,68,70,59.4,53.3,57.0,66.0,66.5,50.5,56.1,43.3,47.6,51.0,59.5,56.1,53.2,56.0
