0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01
Team,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital,Royal Bournemouth General Hospital
SSNAP level,D,D,D,D,D,C,B,B,B,A,A,A,A,A,A,A,A,B,B,B,B,TFP,X
SSNAP score,54.4,43.4,55.3,55.3,57.8,66.7,70.3,78,80,87,88,88,89,91,88.0,86,88,70.2,70.6,73.1,70.9,.,.
Case ascertainment band,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,X
Audit compliance band,D,D,D,D,D,C,B,A,A,A,A,A,A,A,A,A,A,C,B,B,B,TFP,X
Combined Total Key Indicator level,C,D,C,C,C,B,B,B,B,A,A,A,A,A,A,A,A,B,B,B,B,TFP,X
Combined Total Key Indicator score,64,51,65,65,68,78,74,78,80,87,88,88,89,91,88.0,86,88,78.0,74.3,77.0,74.7,.,.
Number of records completed: Team-centred post-72h all teams cohort,176,172,185,190,197,149,183,179,171,180,183,199,208,201,216,218,217,142,121,138,130,Too few to report,None completed
Patient-centred Domain levels: 1) Scanning,E,D,D,D,D,C,C,B,C,B,B,B,A,A,A,B,B,C,B,C,C,Too few to report,None entered
Patient-centred Domain levels: 2) Stroke unit,C,C,D,C,D,C,C,C,C,C,C,C,C,C,C,C,C,D,E,E,E,Too few to report,None entered
Patient-centred Domain levels: 3) Thrombolysis,C,D,C,C,D,C,C,C,C,B,B,C,C,B,C,C,C,B,D,D,D,Too few to report,None entered
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,D,D,D,D,C,C,C,B,B,B,B,B,B,B,C,B,B,B,Too few to report,None entered
Patient-centred Domain levels: 5) Occupational therapy,A,C,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,A,A,Too few to report,None entered
Patient-centred Domain levels: 6) Physiotherapy,B,D,B,B,B,A,B,B,B,B,A,A,A,B,A,A,A,B,C,B,B,Too few to report,None entered
Patient-centred Domain levels: 7) Speech and Language therapy,B,C,D,C,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,Too few to report,None entered
Patient-centred Domain levels: 8) MDT working,B,C,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,B,A,Too few to report,None entered
Patient-centred Domain levels: 9) Standards by discharge,C,D,B,B,B,B,B,B,A,A,B,A,A,A,B,B,A,B,B,B,B,Too few to report,None entered
Patient-centred Domain levels: 10) Discharge processes,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Too few to report,None entered
Patient-centred KI level Patient-centred Total KI level,C,D,C,C,C,B,B,B,B,A,A,A,A,A,A,A,A,B,B,B,B,TFP,No records
Patient-centred KI level Patient-centred Total KI score,66,52,64,66,68,78,74,78,80,86,88,88,90,90,88.0,86,88,76.0,72.0,74.0,76.0,.,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,D,C,B,B,B,A,A,A,A,A,A,A,A,C,C,B,B,TFP,X
Patient-centred SSNAP level Patient-centred SSNAP score,56.1,44.2,54.4,56.1,57.8,66.7,70.3,78,80,86,88,88,90,90,88.0,86,88,68.4,68.4,70.3,72.2,.,.
Team-centred Domain levels: 1) Scanning,E,E,D,D,D,C,C,B,C,B,B,B,A,A,A,B,B,,,,,,
Team-centred Domain levels: 2) Stroke unit,C,C,D,D,D,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,Too few to report,None entered
Team-centred Domain levels: 3) Thrombolysis,D,D,C,C,D,C,C,C,C,B,B,C,D,B,C,C,C,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,E,D,D,D,D,D,D,C,C,B,B,B,B,B,B,B,B,,,,,,
Team-centred Domain levels: 5) Occupational therapy,A,C,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,C,D,B,C,Too few to report,None entered
Team-centred Domain levels: 6) Physiotherapy,B,D,B,B,B,A,B,B,B,B,A,A,A,A,A,A,A,D,D,D,D,Too few to report,None entered
Team-centred Domain levels: 7) Speech and Language therapy,B,D,C,C,A,A,B,B,A,A,A,A,A,A,A,A,A,B,B,B,C,Too few to report,None entered
Team-centred Domain levels: 8) MDT working,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,,,,,,
Team-centred Domain levels: 9) Standards by discharge,C,D,B,B,B,B,B,B,A,A,B,A,A,A,B,B,A,A,A,B,B,Too few to report,None entered
Team-centred Domain levels: 10) Discharge processes,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Too few to report,None entered
Team-centred KI level Team-centred Total KI level,C,D,C,C,C,B,B,B,B,A,A,A,A,A,A,A,A,B,B,B,B,TFP,No records
Team-centred KI level Team-centred Total KI score,62,50,66,64,68,78,74,78,80,88,88,88,88,92,88.0,86,88,80.0,76.7,80.0,73.3,.,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D,D,C,B,B,B,A,A,A,A,A,A,A,A,B,B,B,C,TFP,X
Team-centred SSNAP level Team-centred SSNAP score,52.7,42.5,56.1,54.4,57.8,66.7,70.3,78,80,88,88,88,88,92,88.0,86,88,72.0,72.8,76.0,69.7,.,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,206,271,280,285,263,253,217,177,168,198,228,213,233,249,248,261,250,192,170,173,169,170
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,0.89,0.89,0.95,0.91,0.87,0.83,0.82,0.83,0.88,89%,0.87,0.91,94%,96%,98%,99%,98%,98%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,2,2,2,8,80,109,102,88,103,72,120,128,156,157,162,185,120,90,71,69,83,73
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.01,0.01,0.01,0.03,0.3,0.43,0.47,0.5,0.61,0.36,0.53,0.6,0.67,63%,0.65,0.71,48%,47%,42%,40%,49%,43%
