0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
Team,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital
SSNAP level,E,E,E,E,D,D,D,D,D,C,C,B,C,B,B,B,C,B,D,C,TFP,D,TFP,TFP,D,D,D,TFP,X,X
SSNAP score,27.1,25.2,37.9,38.5,49.4,49.4,46,44.6,45.1,63.3,69,72,69,76,71.0,71,69,72.5,54.6,69.3,.,44.8,.,.,52.4,49.6,50.3,.,.,.
Case ascertainment band,B,A,B,B,A,A,A,A,B,B,A,A,A,A,A,A,A,A,C,A,,B,A,,B,A,B,,X,X
Audit compliance band,B,C,B,C,B,B,A,B,B,C,A,A,A,A,A,A,A,B,C,B,TFP,E,D,TFP,E,D,D,TFP,X,X
Combined Total Key Indicator level,E,E,D,D,D,D,D,D,D,B,C,B,C,B,B,B,C,B,B,B,TFP,D,TFP,TFP,C,D,C,TFP,X,X
Combined Total Key Indicator score,30,28,42,45,52,52,46,47,50,74,69,72,69,76,71.0,71,69,76.3,71.3,73.0,.,59.0,.,.,69.0,58.3,62.3,.,.,.
Number of records completed: Team-centred post-72h all teams cohort,115,161,137,157,172,160,186,156,159,177,219,189,187,197,204,214,210,28,22,32,Too few to report,38,28,Too few to report,21,31,35,Too few to report,None completed,None completed
Patient-centred Domain levels: 1) Scanning,D,E,E,D,D,E,D,D,C,A,A,A,A,A,A,A,A,A,A,A,Too few to report,A,Too few to report,Too few to report,A,C,C,Too few to report,None entered,None entered
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,E,C,C,E,D,D,D,E,E,E,E,E,Too few to report,E,C,Too few to report,E,E,E,Too few to report,None entered,None entered
