0,2019-04-01
Team,Samuel Johnson Community Hospital
SSNAP level,D
SSNAP score,51.0
Case ascertainment band,A
Audit compliance band,C
Combined Total Key Indicator level,D
Combined Total Key Indicator score,56.7
Number of records completed: Team-centred post-72h all teams cohort,24
Patient-centred Domain levels: 2) Stroke unit,A
Patient-centred Domain levels: 5) Occupational therapy,C
Patient-centred Domain levels: 6) Physiotherapy,C
Patient-centred Domain levels: 7) Speech and Language therapy,D
Patient-centred Domain levels: 8) MDT working,C
Patient-centred Domain levels: 9) Standards by discharge,D
Patient-centred Domain levels: 10) Discharge processes,C
Patient-centred KI level Patient-centred Total KI level,C
Patient-centred KI level Patient-centred Total KI score,60.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D
Patient-centred SSNAP level Patient-centred SSNAP score,54.0
Team-centred Domain levels: 2) Stroke unit,A
Team-centred Domain levels: 5) Occupational therapy,D
Team-centred Domain levels: 6) Physiotherapy,D
Team-centred Domain levels: 7) Speech and Language therapy,E
Team-centred Domain levels: 9) Standards by discharge,D
Team-centred Domain levels: 10) Discharge processes,B
Team-centred KI level Team-centred Total KI level,D
Team-centred KI level Team-centred Total KI score,53.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D
Team-centred SSNAP level Team-centred SSNAP score,48.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),16
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),2
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),13%
