0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01
Team,Scarborough General Hospital,Scarborough General Hospital,Scarborough General Hospital,Scarborough General Hospital,Scarborough General Hospital,Scarborough General Hospital,Scarborough General Hospital,Scarborough General Hospital,Scarborough General Hospital,Scarborough General Hospital,Scarborough General Hospital,Scarborough General Hospital,Scarborough General Hospital,Scarborough General Hospital,Scarborough General Hospital,Scarborough General Hospital,Scarborough General Hospital,Scarborough General Hospital
SSNAP level,E,E,D,D,E,E,E,D,D,D,D,C,D,D,D,D,D,X
SSNAP score,27.2,37.8,40.9,44.6,27,31.5,23.8,45.9,55.2,41.6,48.4,62.7,54.6,55.7,54.2,45.6,50,.
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,X
Audit compliance band,D,C,B,B,C,D,D,D,C,D,D,B,C,B,B,B,B,X
Combined Total Key Indicator level,E,D,D,D,E,E,E,D,C,D,D,C,C,D,D,D,D,X
Combined Total Key Indicator score,32,42,43,47,30,37,28,54,61.3,49,57,66,60.7,58.7,57.0,48,52.7,.
Number of records completed: Team-centred post-72h all teams cohort,101,74,75,81,89,76,82,46,50,49,50,42,43,43,48,37,42,None completed
Patient-centred Domain levels: 1) Scanning,E,C,E,D,E,E,E,D,C,D,B,C,A,C,C,C,B,None entered
Patient-centred Domain levels: 2) Stroke unit,C,B,B,B,E,D,E,E,E,E,E,E,E,E,E,E,E,None entered
Patient-centred Domain levels: 3) Thrombolysis,C,B,C,C,D,D,E,D,D,E,D,D,E,E,C,E,D,None entered
Patient-centred Domain levels: 4) Specialist Assessments,D,C,B,B,E,D,E,C,C,B,D,B,B,B,D,D,B,None entered
Patient-centred Domain levels: 5) Occupational therapy,E,E,C,C,C,C,D,A,B,C,B,B,B,B,B,C,C,None entered
Patient-centred Domain levels: 6) Physiotherapy,E,E,E,E,D,E,E,C,B,C,C,B,B,C,C,C,C,None entered
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,D,C,B,D,C,C,D,E,None entered
Patient-centred Domain levels: 8) MDT working,E,E,E,E,E,E,E,D,D,D,D,C,D,D,D,D,D,None entered
Patient-centred Domain levels: 9) Standards by discharge,E,E,E,D,E,D,C,D,C,D,B,B,B,B,B,B,B,None entered
Patient-centred Domain levels: 10) Discharge processes,D,D,D,C,D,C,D,C,A,B,D,D,D,D,D,D,D,None entered
Patient-centred KI level Patient-centred Total KI level,E,D,D,D,E,E,E,D,D,D,D,C,D,D,D,D,D,No records
Patient-centred KI level Patient-centred Total KI score,32,42,42,48,30,36,28,48,56,48,54,62,58,54,54.0,46,52,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,D,E,E,E,D,D,D,D,D,D,D,D,D,D,X
Patient-centred SSNAP level Patient-centred SSNAP score,27.2,37.8,39.9,45.6,27,30.6,23.8,40.8,50.4,40.8,45.9,58.9,52.2,51.3,51.3,43.7,49.4,.
Team-centred Domain levels: 1) Scanning,E,D,E,D,E,E,E,,,,,,,,,,,
Team-centred Domain levels: 2) Stroke unit,C,B,B,B,E,D,E,B,A,C,C,A,C,B,B,C,C,None entered
Team-centred Domain levels: 3) Thrombolysis,C,B,C,D,D,D,E,,,,,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,D,C,B,B,E,D,E,,,,,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,E,E,C,C,C,C,D,A,C,C,A,B,B,C,C,C,B,None entered
Team-centred Domain levels: 6) Physiotherapy,E,E,E,E,D,E,E,C,C,D,D,C,B,C,D,D,D,None entered
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,D,C,D,C,C,E,E,None entered
Team-centred Domain levels: 8) MDT working,E,D,D,D,E,D,E,,,,,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,E,E,E,D,E,D,C,D,C,D,B,B,B,B,B,B,B,None entered
Team-centred Domain levels: 10) Discharge processes,D,D,D,D,D,C,D,C,A,B,D,D,D,D,D,D,D,None entered
Team-centred KI level Team-centred Total KI level,E,D,D,D,E,E,E,C,C,D,C,B,C,C,C,D,D,No records
Team-centred KI level Team-centred Total KI score,32,42,44,46,30,38,28,60,66.7,50,60,70,63.3,63.3,60.0,50,53.3,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,D,D,E,E,E,D,C,D,D,C,D,C,D,D,D,X
Team-centred SSNAP level Team-centred SSNAP score,27.2,37.8,41.8,43.7,27,32.3,23.8,51,60,42.5,51,66.5,57,60.2,57.0,47.5,50.7,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,96,145,128,112,116,135,145,139,113,88,94,87,98,104,112,122,39
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,0.99,0.99,1,0.99,0.95,0.97,1,1,1,0.98,0.93,0.91,92%,1,0.97,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,0,0,1,1,12,17,12,32,18,26,52,58,73,98,1
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0,0,0.01,0.01,0.08,0.12,0.11,0.36,0.19,0.3,0.53,56%,0.65,0.8,3%
