0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01
Team,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital,Singleton Hospital
SSNAP level,X,E,E,D,D,D,D,TFP,D,D,D,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
SSNAP score,.,33.9,37.8,46.5,53.3,53,58.8,.,41,55.4,52.2,.,.,.,.,.,.,.,.,.,.,.,.,.
Case ascertainment band,E,B,C,A,A,B,A,,B,A,B,A,,,,,,,,,,,,
Audit compliance band,X,D,D,D,D,C,C,TFP,C,B,D,E,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
Combined Total Key Indicator level,X,D,D,D,C,C,C,TFP,D,D,C,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
Combined Total Key Indicator score,.,42,52.3,54.7,62.7,62,65.3,.,48,58.3,64.7,.,.,.,.,.,.,.,.,.,.,.,.,.
Number of records completed: Team-centred post-72h all teams cohort,Insufficient records,21,26,40,34,30,39,Too few to report,29,31,22,24,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 1) Scanning,Insufficient records,C,C,E,D,D,D,Too few to report,E,E,B,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 2) Stroke unit,Insufficient records,E,E,E,E,E,E,Too few to report,E,E,D,A,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 3) Thrombolysis,Insufficient records,D,D,D,E,C,D,Too few to report,D,D,C,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 4) Specialist Assessments,Insufficient records,D,D,E,E,D,E,Too few to report,E,E,B,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records,E,C,C,C,D,C,Too few to report,C,C,C,B,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records,B,B,C,A,A,A,Too few to report,A,B,B,A,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records,D,D,B,A,B,B,Too few to report,D,C,C,A,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 8) MDT working,Insufficient records,C,D,D,D,E,D,Too few to report,D,C,B,B,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
