0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU,St George's Hospital SU
SSNAP level,D,D,B,A,A,A,B,B,B,A,B,A,A,B,A,A,B,A,A,TFP,TFP,C,B,A,TFP,B,B,B,B,A,A
SSNAP score,48.4,53,77.6,82.6,86.5,81.4,72.9,79.5,75.6,80.7,78.8,90.7,89.6,79.8,86.1,91.7,78.9,84.0,90.7,.,.,64.3,75.2,84.5,.,71.9,72.5,75.6,77.9,85.3,81.1
Case ascertainment band,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,A,B,A,A,B,A,A,A,A,A
Audit compliance band,D,C,B,B,B,B,C,B,D,C,D,A,B,C,B,A,C,A,A,TFP,TFP,D,C,B,D,D,D,D,B,A,B
Combined Total Key Indicator level,D,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,TFP,TFP,B,A,A,TFP,A,A,A,A,A,A
Combined Total Key Indicator score,57,62,81.7,87,91,85.7,81,83.7,89,89.7,92.7,90.7,94.3,88.7,90.7,91.7,87.7,84.0,90.7,.,.,75.7,88.0,89.0,.,89.0,85.3,89.0,82.0,85.3,85.3
Number of records completed: Team-centred post-72h all teams cohort,40,39,46,39,62,68,63,67,52,74,37,56,54,38,74,52,42,48,60,Too few to report,Too few to report,32,51,34,24,23,43,28,38,34,40
Patient-centred Domain levels: 1) Scanning,B,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,Too few to report,Too few to report,A,A,A,Too few to report,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,D,C,C,C,D,C,C,C,C,C,C,C,D,C,C,E,C,D,B,Too few to report,D,C,C,B,C,C,C,E,C,C
Patient-centred Domain levels: 3) Thrombolysis,B,C,C,B,A,B,B,B,A,B,A,B,B,B,C,B,C,D,B,Too few to report,Too few to report,C,B,B,Too few to report,B,B,B,E,B,B
Patient-centred Domain levels: 4) Specialist Assessments,E,C,C,C,B,B,C,B,B,C,B,C,B,C,B,B,B,C,B,Too few to report,Too few to report,B,B,B,Too few to report,A,A,A,B,A,A
Patient-centred Domain levels: 5) Occupational therapy,D,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Too few to report,B,A,A,A,A,B,A,B,B,B
Patient-centred Domain levels: 6) Physiotherapy,D,D,B,A,A,B,A,B,A,B,B,A,A,A,A,A,A,B,A,B,Too few to report,B,B,A,B,B,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,A,A,A,A,A,B,B,A,A,B,A,B,A,B,B,C,B,B,Too few to report,B,B,B,B,B,C,B,B,C,C
Patient-centred Domain levels: 8) MDT working,E,C,A,B,B,A,B,B,B,B,A,A,A,B,B,A,B,B,A,B,Too few to report,B,B,B,B,A,B,B,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,Too few to report,A,A,A,B,A,A,A,A,A,A
