0,2014-07-01,2015-10-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital,St Lukes Stroke Rehabilitation Team - Market Harborough Hospital
SSNAP level,D,D,C,B,A,A,A,A,B,B,D,B,C,B,B,C,B,C,B,D,B,C,C
SSNAP score,50.2,57.9,61,70.3,84.6,84.8,82.9,81.7,78.3,75.5,58.8,79.4,68.3,75.1,70.7,63.5,73.3,66.4,74.6,57.7,74.6,65.6,64.0
Case ascertainment band,C,A,C,A,A,A,A,A,A,A,C,A,C,A,A,B,A,A,A,A,A,A,A
Audit compliance band,D,E,C,B,B,B,A,A,A,A,C,B,C,B,C,C,B,C,B,D,B,B,D
Combined Total Key Indicator level,C,B,B,B,A,A,A,A,B,B,B,A,A,B,B,B,B,B,B,C,B,C,B
Combined Total Key Indicator score,69.5,72.4,79.8,74,89,89.3,82.9,81.7,78.3,75.5,76.9,83.6,89.3,79.0,78.6,74.3,77.1,73.8,78.6,67.9,78.6,69.0,75.2
Number of records completed: Team-centred post-72h all teams cohort,24,24,23,38,39,41,44,44,38,33,34,39,24,36,36,38,43,37,35,44,31,40,41
Patient-centred Domain levels: 2) Stroke unit,B,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,B,C,B,B,A,A,A,A,A,C,B,B,B,C,B,C,C,C,C,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,C,B,C,C,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,D,D,E,C,C,C,C,C,B,C,C,B,C,C,B,C,C,C,D,A,C,C
Patient-centred Domain levels: 8) MDT working,E,D,A,D,B,B,C,D,D,D,C,D,B,E,C,D,D,C,D,D,D,D,C
Patient-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,C,B,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,B,B,B,B,A,A,A,B,B,B,B,A,A,B,C,C,A,B,A,B,B,B,B
Patient-centred KI level Patient-centred Total KI level,C,B,A,B,A,A,A,B,B,B,B,B,A,B,B,C,B,B,B,C,B,B,B
Patient-centred KI level Patient-centred Total KI score,65.7,71.4,82.9,71.4,91.4,88.6,85.7,80,80,74.3,77.1,77.1,88.6,71.4,77.1,68.6,74.3,74.3,77.1,65.7,77.1,71.4,77.1
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,C,C,A,A,A,B,B,B,D,B,C,C,C,D,B,C,B,D,B,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,47.5,57.1,63.4,67.9,86.9,84.1,85.7,80,80,74.3,59.0,73.3,67.8,67.9,69.4,58.6,70.6,66.9,73.3,55.9,73.3,67.9,65.6
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,B,B,A,A,C,B,C,C,B,A,B,B,B,C,C,D,C,D,D,E,D
Team-centred Domain levels: 6) Physiotherapy,B,B,B,B,A,A,B,B,B,C,B,B,B,B,B,B,C,C,B,C,C,D,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,D,C,C,C,C,E,C,B,B,C,B,C,C,D,D,A,C,D
Team-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,B,B,B,B,A,A,A,B,B,B,B,A,A,B,C,B,A,B,A,B,B,B,B
Team-centred KI level Team-centred Total KI level,B,B,B,B,A,A,B,A,B,B,B,A,A,A,B,B,B,B,B,B,B,C,B
Team-centred KI level Team-centred Total KI score,73.3,73.3,76.7,76.7,86.7,90,80.0,83.3,76.7,76.7,76.7,90.0,90.0,86.7,80.0,80.0,80.0,73.3,80.0,70.0,80.0,66.7,73.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,B,A,A,B,A,B,B,D,A,C,A,B,C,B,C,B,D,B,C,C
Team-centred SSNAP level Team-centred SSNAP score,53,58.7,58.7,72.8,82.3,85.5,80.0,83.3,76.7,76.7,58.7,85.5,68.8,82.3,72.0,68.4,76.0,66.0,76.0,59.5,76.0,63.3,62.3
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,77,69,62,42,54,73,75,63,42,29,28,20,33,29,17,25,31,34,34,29,52,58
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,1,1,1,0.98,0.98,100%,1,0.9,71%,62%,57%,51%,65%,52%,33%,48%,60%,60%,62%,62%,87%,98%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,0,0,0,0,0,0,4,20,31,19,19,12,15,12,11,17,17,14,17,15,24,29
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.,0,0,0,0,0,0%,0.05,0.32,74%,66%,68%,60%,45%,41%,65%,68%,55%,41%,50%,52%,46%,50%
