0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU,University College Hospital SU
SSNAP level,C,B,B,A,B,A,B,A,TFP,C,A,B,B,C,C,A,B,A,A,C,B,B,C,C,B,C,B,TFP,C,B,B
SSNAP score,67.8,75.9,70,85.5,75.8,82.2,76,86.5,.,67.5,93,71.3,72.1,68.3,68.1,80.1,77.1,87.0,80.8,68.0,79.2,79.5,69.7,62.0,70.3,67.1,70.8,.,62.7,78.8,77.9
Case ascertainment band,B,A,A,A,B,A,A,A,,A,A,B,B,A,B,A,A,A,B,C,A,A,A,A,A,A,B,,C,A,A
Audit compliance band,C,C,D,B,C,C,B,B,B,B,A,D,D,D,D,B,C,A,C,A,B,A,B,D,B,D,B,TFP,C,B,B
Combined Total Key Indicator level,B,A,A,A,A,A,B,A,TFP,B,A,A,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,TFP,A,A,A
Combined Total Key Indicator score,79.3,84.3,82.3,90,88.7,91.3,80,91,.,71,93,88.3,89.3,80.3,84.3,84.3,85.7,87.0,94.5,80.0,83.3,79.5,73.3,73.0,74.0,79.0,78.5,.,82.0,83.0,82.0
Number of records completed: Team-centred post-72h all teams cohort,43,48,46,42,44,53,41,42,23,30,50,38,53,48,60,56,62,39,29,26,41,33,36,32,28,32,27,Too few to report,27,28,24
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,Too few to report,A,A,A,A,B,A,A,A,A,A,A,B,A,A,B,A,C,A,Too few to report,A,A,B
Patient-centred Domain levels: 2) Stroke unit,D,B,C,D,C,C,C,C,Too few to report,E,E,E,D,E,D,D,E,B,A,C,B,B,C,C,D,C,C,Too few to report,D,D,C
Patient-centred Domain levels: 3) Thrombolysis,B,A,A,A,A,A,A,A,Too few to report,B,A,A,C,A,A,A,A,C,A,B,A,A,B,B,B,D,A,Too few to report,B,A,B
Patient-centred Domain levels: 4) Specialist Assessments,C,B,B,B,B,B,D,B,Too few to report,C,A,C,B,B,B,B,B,A,A,A,A,A,A,B,B,A,A,Too few to report,B,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,B,A,A,A,A,A,Too few to report,A,A,A,A,A,A,A,A,A,A,A,A,C,B,A,B,A,B,Too few to report,A,A,A
