0,2021-07-01,2021-10-01,2022-01-01
Team,University Hospitals Dorset HASU,University Hospitals Dorset HASU,University Hospitals Dorset HASU
SSNAP level,B,C,B
SSNAP score,78.0,69.3,73.1
Case ascertainment band,A,B,B
Audit compliance band,A,A,A
Combined Total Key Indicator level,B,B,B
Combined Total Key Indicator score,78.0,73.0,77.0
Number of records completed: Team-centred post-72h all teams cohort,292,267,256
Patient-centred Domain levels: 1) Scanning,C,C,C
Patient-centred Domain levels: 2) Stroke unit,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,C,D,D
Patient-centred Domain levels: 4) Specialist Assessments,C,C,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,A,A,A
Patient-centred Domain levels: 8) MDT working,A,B,A
Patient-centred Domain levels: 9) Standards by discharge,B,B,B
Patient-centred Domain levels: 10) Discharge processes,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,B,B
Patient-centred KI level Patient-centred Total KI score,78.0,74.0,78.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,78.0,70.3,74.1
Team-centred Domain levels: 1) Scanning,C,C,C
Team-centred Domain levels: 2) Stroke unit,E,E,E
Team-centred Domain levels: 3) Thrombolysis,C,D,D
Team-centred Domain levels: 4) Specialist Assessments,C,C,B
Team-centred Domain levels: 5) Occupational therapy,A,A,A
Team-centred Domain levels: 6) Physiotherapy,A,B,B
Team-centred Domain levels: 7) Speech and Language therapy,A,A,A
Team-centred Domain levels: 8) MDT working,B,B,A
Team-centred Domain levels: 9) Standards by discharge,A,B,B
Team-centred Domain levels: 10) Discharge processes,A,A,A
Team-centred KI level Team-centred Total KI level,B,B,B
Team-centred KI level Team-centred Total KI score,78.0,72.0,76.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,C,B
Team-centred SSNAP level Team-centred SSNAP score,78.0,68.4,72.2
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),290,379,393
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),97%,98%,98%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),150,167,182
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),52%,44%,46%
