0,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Vale Specialist Stroke Rehabilitation Unit,Vale Specialist Stroke Rehabilitation Unit,Vale Specialist Stroke Rehabilitation Unit,Vale Specialist Stroke Rehabilitation Unit,Vale Specialist Stroke Rehabilitation Unit,Vale Specialist Stroke Rehabilitation Unit,Vale Specialist Stroke Rehabilitation Unit,Vale Specialist Stroke Rehabilitation Unit,Vale Specialist Stroke Rehabilitation Unit,Vale Specialist Stroke Rehabilitation Unit,Vale Specialist Stroke Rehabilitation Unit,Vale Specialist Stroke Rehabilitation Unit,Vale Specialist Stroke Rehabilitation Unit,Vale Specialist Stroke Rehabilitation Unit,Vale Specialist Stroke Rehabilitation Unit,Vale Specialist Stroke Rehabilitation Unit
SSNAP level,A,A,A,A,A,B,B,B,A,A,B,B,B,C,B,B
SSNAP score,81.7,92.4,81.4,86.2,81.4,70.5,73.1,76.0,81.7,80.5,75.7,78.8,79.0,63.1,75.7,80.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,A,A,A,A,A,A,B,B,A,A,A,A,A,B,A,A
Combined Total Key Indicator level,A,A,A,A,A,B,B,B,A,A,B,B,B,C,B,B
Combined Total Key Indicator score,81.7,92.4,81.4,86.2,81.4,70.5,76.9,80.0,81.7,80.5,75.7,78.8,79.0,66.4,75.7,80.0
Number of records completed: Team-centred post-72h all teams cohort,33,29,29,49,38,28,36,36,21,30,23,25,25,28,25,30
Patient-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,B,A,A,A,B,B,B,C,C,C,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,A,A,B,C,B,B,B,B,B,B,B,C,B,C
Patient-centred Domain levels: 7) Speech and Language therapy,B,A,B,B,B,B,B,B,C,B,C,B,B,B,C,B
Patient-centred Domain levels: 8) MDT working,E,B,D,D,D,D,D,D,D,E,E,D,E,E,D,D
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,C,D,C,B,B,C,D,C,C,B,B
Patient-centred Domain levels: 10) Discharge processes,A,A,B,A,A,A,A,A,A,A,A,A,A,C,B,A
Patient-centred KI level Patient-centred Total KI level,B,A,A,A,A,B,B,B,B,B,B,B,B,C,B,B
Patient-centred KI level Patient-centred Total KI score,80.0,91.4,82.9,85.7,82.9,74.3,77.1,80.0,80.0,74.3,71.4,74.3,71.4,62.9,71.4,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,A,A,A,A,B,B,B,B,B,B,B,B,D,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,80.0,91.4,82.9,85.7,82.9,74.3,73.3,76.0,80.0,74.3,71.4,74.3,71.4,59.7,71.4,80.0
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,B,B,C,D,B,C,B,B,B,B,B,B,B,C
Team-centred Domain levels: 7) Speech and Language therapy,C,A,C,C,D,E,E,C,D,C,E,C,B,C,D,D
Team-centred Domain levels: 9) Standards by discharge,C,B,B,B,B,C,C,C,B,B,B,C,C,D,B,B
Team-centred Domain levels: 10) Discharge processes,A,A,B,A,A,A,A,A,A,A,A,A,A,C,B,A
Team-centred KI level Team-centred Total KI level,A,A,B,A,B,C,B,B,A,A,B,A,A,B,B,B
Team-centred KI level Team-centred Total KI score,83.3,93.3,80,86.7,80.0,66.7,76.7,80.0,83.3,86.7,80.0,83.3,86.7,70.0,80.0,80.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",A,A,B,A,B,C,B,B,A,A,B,A,A,C,B,B
Team-centred SSNAP level Team-centred SSNAP score,83.3,93.3,80,86.7,80.0,66.7,72.8,76.0,83.3,86.7,80.0,83.3,86.7,66.5,80.0,80.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,16,29,40,50,44,46,54,36,32,31,30,36,29,28,33
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,0.94,0.83,83%,82%,71%,71%,77%,73%,71%,86%,86%,75%,71%,74%,75%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,7,16,32,31,25,29,26,21,21,12,11,20,15,12,10
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.,0.44,0.55,80%,62%,57%,63%,48%,58%,66%,39%,37%,56%,52%,43%,30%
