0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital,Wansbeck General Hospital
SSNAP level,C,C,D,B,C,B,A,B,A,C,A,A,B,B,A,A,B,A,B,B,B,B,B,B,B,B,A,B,B,B,B
SSNAP score,62.1,61.4,57,73.1,63.7,70,81,75.2,85.7,67.7,86,83,78,78.5,81.0,82,73.8,88.7,77.3,75.0,76.3,72.2,79.3,71.3,71.3,74.0,81.0,72.7,71.0,74.3,72.3
Case ascertainment band,A,B,A,A,A,A,A,B,A,B,A,A,A,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,B,B,B,B,A,A,B,A,B,A,A,A,A,A,A,A,A,B,A,A,B,A,A,B,A,A,A,A,A,A
Combined Total Key Indicator level,C,C,C,B,C,B,A,A,A,B,A,A,B,A,A,A,B,A,A,B,B,B,B,B,B,B,A,B,B,B,B
Combined Total Key Indicator score,69,68,60,77,67,70,81,83.3,85.7,75,86,83,78,82.7,81.0,86.3,77.7,88.7,81.3,79.0,76.3,76.0,79.3,71.3,75.0,74.0,81.0,72.7,71.0,74.3,72.3
Number of records completed: Team-centred post-72h all teams cohort,94,81,104,126,91,100,128,46,54,44,61,53,50,58,61,52,52,65,51,68,58,58,61,62,57,65,66,78,68,63,62
Patient-centred Domain levels: 1) Scanning,C,B,C,A,B,C,B,A,A,B,A,B,C,B,B,C,B,B,C,A,A,A,A,B,A,A,B,A,C,A,A
Patient-centred Domain levels: 2) Stroke unit,B,B,C,B,C,C,B,B,B,C,B,B,C,C,C,C,C,C,D,C,C,B,C,C,C,B,C,C,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,C,B,D,B,B,C,B,A,A,B,A,B,D,A,C,C,B,C,D,B,B,B,B,C,A,C,B,A,D,A,A
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,A,B,B,B,B,C,B,B,B,B,C,C,B,B,B,B,B,B,A,B,A,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,E,E,C,C,C,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,B,C,C,C,B,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,B,B,C,C,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,E,E,E,C,C,B,A,A,B,B,B,C,B,A,B,A,A,B,A,B,A,A,A,A,A,A,A,B,B
Patient-centred Domain levels: 8) MDT working,A,B,B,A,B,C,B,A,B,B,A,B,C,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,A,A,B
Patient-centred Domain levels: 9) Standards by discharge,D,D,C,C,C,B,B,C,C,D,B,B,A,B,B,A,B,A,A,B,B,A,A,B,B,C,A,A,B,A,B
Patient-centred Domain levels: 10) Discharge processes,C,C,B,B,C,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,B,C,C,B,C,C,B,C,B,B,C
Patient-centred KI level Patient-centred Total KI level,B,C,C,B,C,B,B,A,A,B,A,A,B,A,A,A,A,A,B,A,A,A,A,B,B,B,A,A,B,A,B
Patient-centred KI level Patient-centred Total KI score,70,68,60,76,68,70,80,90,88,80,92,86,76,82,82.0,86,82,84.0,76.0,88.0,86.0,82.0,82.0,76.0,80.0,78.0,82.0,82.0,72.0,82.0,78.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,D,B,C,B,B,A,A,B,A,A,B,B,A,A,B,A,B,A,A,B,A,B,B,B,A,A,B,A,B
Patient-centred SSNAP level Patient-centred SSNAP score,63,61.4,57,72.2,64.6,70,80,81.2,88,72.2,92,86,76,77.9,82.0,81.7,77.9,84.0,72.2,83.6,86.0,77.9,82.0,76.0,76.0,78.0,82.0,82.0,72.0,82.0,78.0
Team-centred Domain levels: 1) Scanning,C,B,C,A,C,C,B,,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 2) Stroke unit,B,B,C,B,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 3) Thrombolysis,C,B,D,A,B,C,B,,,,,,,,,,,,,,,,,,,,,,,,
