0,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,White Cross Court Stroke Rehabilitation Unit,White Cross Court Stroke Rehabilitation Unit,White Cross Court Stroke Rehabilitation Unit,White Cross Court Stroke Rehabilitation Unit,White Cross Court Stroke Rehabilitation Unit,White Cross Court Stroke Rehabilitation Unit,White Cross Court Stroke Rehabilitation Unit,White Cross Court Stroke Rehabilitation Unit,White Cross Court Stroke Rehabilitation Unit,White Cross Court Stroke Rehabilitation Unit,White Cross Court Stroke Rehabilitation Unit,White Cross Court Stroke Rehabilitation Unit
SSNAP level,TFP,D,D,D,C,B,C,C,C,D,D,D
SSNAP score,.,56.8,56.0,58.1,61.2,73.7,68.0,69.0,69.0,49.5,51.9,49.6
Case ascertainment band,,B,B,A,A,A,A,A,A,B,A,A
Audit compliance band,TFP,D,D,D,C,A,A,A,A,D,D,D
Combined Total Key Indicator level,TFP,B,C,C,C,B,C,C,C,C,C,D
Combined Total Key Indicator score,.,70.3,69.3,68.3,68.0,73.7,68.0,69.0,69.0,61.3,61.0,58.3
Number of records completed: Team-centred post-72h all teams cohort,Too few to report,27,25,45,38,43,48,59,70,44,40,43
Patient-centred Domain levels: 1) Scanning,Too few to report,A,A,A,A,B,A,A,A,A,A,B
Patient-centred Domain levels: 2) Stroke unit,Too few to report,D,B,B,C,B,D,C,C,B,C,C
Patient-centred Domain levels: 3) Thrombolysis,Too few to report,D,A,A,B,B,B,C,B,C,B,B
Patient-centred Domain levels: 4) Specialist Assessments,Too few to report,B,B,B,D,A,B,B,C,C,B,B
Patient-centred Domain levels: 5) Occupational therapy,Too few to report,C,D,D,C,C,C,C,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,Too few to report,D,B,B,B,B,B,B,B,C,D,C
Patient-centred Domain levels: 7) Speech and Language therapy,Too few to report,C,E,E,E,E,D,E,D,E,E,E
Patient-centred Domain levels: 8) MDT working,Too few to report,D,C,D,C,C,D,C,C,C,E,D
Patient-centred Domain levels: 9) Standards by discharge,Too few to report,A,A,B,B,A,B,A,B,A,B,B
Patient-centred Domain levels: 10) Discharge processes,Too few to report,B,C,B,B,B,C,C,C,C,B,D
Patient-centred KI level Patient-centred Total KI level,TFP,C,B,B,C,B,C,C,C,C,C,C
Patient-centred KI level Patient-centred Total KI score,.,64.0,72.0,70.0,66.0,74.0,66.0,68.0,68.0,66.0,62.0,60.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",TFP,D,D,D,D,B,C,C,C,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,.,51.7,58.1,59.5,59.4,74.0,66.0,68.0,68.0,53.3,52.7,51.0
Team-centred Domain levels: 2) Stroke unit,Too few to report,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,Too few to report,C,D,E,C,C,C,C,B,E,D,C
Team-centred Domain levels: 6) Physiotherapy,Too few to report,C,B,B,B,B,B,B,C,D,D,D
Team-centred Domain levels: 7) Speech and Language therapy,Too few to report,C,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,Too few to report,A,A,A,B,A,A,A,A,A,B,B
Team-centred Domain levels: 10) Discharge processes,Too few to report,B,C,B,B,B,C,C,C,C,B,D
Team-centred KI level Team-centred Total KI level,TFP,B,C,C,B,B,B,B,B,D,C,D
Team-centred KI level Team-centred Total KI score,.,76.7,66.7,66.7,70.0,73.3,70.0,70.0,70.0,56.7,60.0,56.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",TFP,C,D,D,C,B,B,B,B,D,D,D
Team-centred SSNAP level Team-centred SSNAP score,.,61.9,53.8,56.7,63.0,73.3,70.0,70.0,70.0,45.8,51.0,48.2
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,.,10,38,51,66,73,69,79,89,103,109
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,.,100%,100%,94%,96%,99%,100%,100%,98%,95%,97%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,.,5,9,17,10,5,4,1,12,22,30
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.,.,50%,24%,33%,15%,7%,6%,1%,13%,21%,28%
