0,2015-07-01,2015-10-01
Team,Wolverhampton Inpatient Rehabilitation Unit (West Park),Wolverhampton Inpatient Rehabilitation Unit (West Park)
SSNAP level,TFP,C
SSNAP score,.,67
Case ascertainment band,D,A
Audit compliance band,A,D
Combined Total Key Indicator level,TFP,B
Combined Total Key Indicator score,.,78.8
Number of records completed: Team-centred post-72h all teams cohort,21,26
Patient-centred Domain levels: 2) Stroke unit,Too few to report,B
Patient-centred Domain levels: 5) Occupational therapy,Too few to report,A
Patient-centred Domain levels: 6) Physiotherapy,Too few to report,A
Patient-centred Domain levels: 7) Speech and Language therapy,Too few to report,C
Patient-centred Domain levels: 8) MDT working,Too few to report,D
Patient-centred Domain levels: 9) Standards by discharge,Too few to report,D
Patient-centred Domain levels: 10) Discharge processes,Too few to report,A
Patient-centred KI level Patient-centred Total KI level,TFP,B
Patient-centred KI level Patient-centred Total KI score,.,74.3
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",TFP,C
Patient-centred SSNAP level Patient-centred SSNAP score,.,63.1
Team-centred Domain levels: 2) Stroke unit,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A
Team-centred Domain levels: 7) Speech and Language therapy,D,C
Team-centred Domain levels: 9) Standards by discharge,Too few to report,D
Team-centred Domain levels: 10) Discharge processes,Too few to report,A
Team-centred KI level Team-centred Total KI level,TFP,A
Team-centred KI level Team-centred Total KI score,.,83.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",TFP,B
Team-centred SSNAP level Team-centred SSNAP score,.,70.8
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,.
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,.
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,.
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.,.
