0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital,Worthing Hospital
SSNAP level,D,D,D,C,C,B,B,B,B,B,A,A,B,B,B,A,A,B,A,B,C,C,B,C,D,D,B,C,D,C,C
SSNAP score,49.4,49.4,57.8,68.4,66,78,75,71,71.3,76,82,82,76,73,79.0,88,86,78.8,82.0,75.0,64.0,60.8,70.3,67.0,57.9,55.0,78.0,65.0,57.0,67.0,66.0
Case ascertainment band,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,B,B,B,B,A,A,A,A,B,B,A,A,A,A,A,A,A,B,A,A,A,B,B,A,B,A,A,A,B,A,A
Combined Total Key Indicator level,D,D,C,B,C,B,B,B,B,B,A,A,B,B,B,A,A,A,A,B,C,C,B,C,C,D,B,C,C,C,C
Combined Total Key Indicator score,52,52,64,72,66,78,75,71,75,80,82,82,76,73,79.0,88,86,83.0,82.0,75.0,64.0,64.0,74.0,67.0,61.0,55.0,78.0,65.0,60.0,67.0,66.0
Number of records completed: Team-centred post-72h all teams cohort,128,117,109,120,118,130,122,115,120,113,117,126,134,127,137,142,144,137,134,154,123,129,110,123,124,133,132,125,128,123,131
Patient-centred Domain levels: 1) Scanning,E,E,D,C,C,B,B,C,B,A,A,A,C,B,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,B,B,C,B,B,B,B,C,B,B,C,C,B,B,B,C,C,D,E,E,E,E,E,E,C,E,E,D,E
Patient-centred Domain levels: 3) Thrombolysis,D,C,A,B,B,B,B,B,B,B,B,C,B,B,B,A,B,B,C,C,D,C,C,D,C,D,C,C,D,D,D
Patient-centred Domain levels: 4) Specialist Assessments,C,C,C,B,B,B,A,B,B,B,A,A,B,A,B,A,A,B,B,B,B,B,A,B,B,C,A,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,B,C,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,C,B,A,B,C,B,B
Patient-centred Domain levels: 6) Physiotherapy,A,B,B,B,B,B,A,B,B,B,B,B,B,C,B,B,B,A,B,B,C,D,B,B,C,D,C,C,D,D,C
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,C,D,D,C,D,D,C,B,D,C,C,D,C,B,B,B,B,B,D,C,C,D,D,E,C,D,E,C,C
Patient-centred Domain levels: 8) MDT working,D,D,D,D,D,C,D,D,D,C,B,B,B,B,C,B,B,B,A,C,C,C,B,C,D,D,B,C,B,B,C
Patient-centred Domain levels: 9) Standards by discharge,B,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,D,D,D,D,D,C,C,D,D,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Patient-centred KI level Patient-centred Total KI level,D,D,C,B,C,B,B,B,B,B,A,A,B,B,B,A,A,A,A,B,C,C,B,C,C,D,B,C,C,C,C
Patient-centred KI level Patient-centred Total KI score,52,52,64,70,66,78,76,70,74,80,82,82,76,74,80.0,88,86,84.0,82.0,76.0,64.0,64.0,76.0,66.0,62.0,54.0,78.0,66.0,60.0,68.0,66.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,C,C,B,B,B,B,B,A,A,B,B,B,A,A,B,A,B,C,C,B,C,D,D,B,C,D,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,49.4,49.4,57.8,66.5,66,78,76,70,70.3,76,82,82,76,74,80.0,88,86,79.8,82.0,76.0,64.0,60.8,72.2,66.0,58.9,54.0,78.0,66.0,57.0,68.0,66.0
Team-centred Domain levels: 1) Scanning,E,E,D,C,C,B,B,C,A,A,A,A,C,B,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,B,B,C,B,B,B,B,C,B,B,C,C,B,B,B,C,C,D,E,E,E,E,E,E,C,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,D,C,A,B,B,B,B,B,B,B,B,C,B,B,B,A,B,C,C,C,D,C,C,D,C,D,C,C,D,D,D
Team-centred Domain levels: 4) Specialist Assessments,C,C,C,B,B,B,A,B,B,B,A,A,B,A,B,A,A,B,B,B,B,B,A,B,B,C,A,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,C,B,C,A,B,A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,B,B,A,C,B,A,B,C,B,B
Team-centred Domain levels: 6) Physiotherapy,A,B,B,A,B,B,A,B,B,B,B,B,B,C,B,B,B,B,B,B,C,D,B,B,D,D,B,C,D,D,C
Team-centred Domain levels: 7) Speech and Language therapy,E,E,C,D,D,C,E,D,C,B,D,C,C,D,C,B,B,B,B,B,D,C,D,D,E,E,D,E,E,C,D
Team-centred Domain levels: 8) MDT working,D,D,D,C,D,C,D,C,D,C,B,B,B,B,C,B,B,A,A,C,C,B,B,B,C,D,B,C,B,B,B
Team-centred Domain levels: 9) Standards by discharge,B,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,D,D,D,D,D,C,C,D,D,C,C,C,C,D,C,C,C,C,C,D,C,D,C,C,C,B,C,C,C,C,C
Team-centred KI level Team-centred Total KI level,D,D,C,B,C,B,B,B,B,B,A,A,B,B,B,A,A,A,A,B,C,C,B,C,C,D,B,C,C,C,C
Team-centred KI level Team-centred Total KI score,52,52,64,74,66,78,74,72,76,80,82,82,76,72,78.0,88,86,82.0,82.0,74.0,64.0,64.0,72.0,68.0,60.0,56.0,78.0,64.0,60.0,66.0,66.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,B,C,B,B,B,B,B,A,A,B,B,B,A,A,B,A,B,C,C,C,C,D,D,B,C,D,C,C
Team-centred SSNAP level Team-centred SSNAP score,49.4,49.4,57.8,70.3,66,78,74,72,72.2,76,82,82,76,72,78.0,88,86,77.9,82.0,74.0,64.0,60.8,68.4,68.0,57.0,56.0,78.0,64.0,57.0,66.0,66.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,150,168,169,179,181,195,209,220,178,232,203,203,213,215,220,234,227,224,233,238,227,245,231,200,188,207,216,221,235,223
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,100%,1,1,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,100%,98%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,2,3,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,1,2,3,9,20,17,8,8,11
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.01,0.02,0,0,0.01,0.01,0,0,0,0,0,0,0,0%,0,0,0%,0%,0%,1%,1%,0%,1%,2%,5%,10%,8%,4%,3%,5%
