0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital,Wythenshawe Hospital
SSNAP level,D,D,D,D,D,D,D,D,D,C,B,B,B,C,B,B,B,D,E,D,D,TFP,D,TFP,D,D,E,D,E,D,D
SSNAP score,44.1,42.3,51.3,54.8,54.9,46.4,52.6,55.5,51.6,61.3,77,75,71,64.7,73.7,78,75.3,42.5,30.0,47.0,45.0,.,40.0,.,40.7,44.5,25.6,42.0,33.3,40.7,41.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,B,A,A,A,A
Audit compliance band,C,C,C,C,B,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,TFP,A,A,A,A,C,A,A
Combined Total Key Indicator level,D,D,D,C,D,D,D,C,D,C,B,B,B,C,B,B,B,D,E,D,D,TFP,D,TFP,D,D,E,D,E,D,D
Combined Total Key Indicator score,49,47,57,60.9,57.8,51.6,58.4,61.7,57.3,61.3,77,75,71,64.7,73.7,78,75.3,42.5,30.0,47.0,45.0,.,40.0,.,40.7,44.5,27.0,42.0,37.0,40.7,41.0
Number of records completed: Team-centred post-72h all teams cohort,120,97,117,112,116,126,92,102,86,75,73,49,64,73,60,73,60,28,33,31,41,21,28,Too few to report,42,29,26,37,45,41,31
Patient-centred Domain levels: 1) Scanning,D,D,D,D,D,D,C,C,D,D,C,C,A,B,B,B,B,E,E,E,E,Too few to report,E,Too few to report,E,E,E,D,E,D,E
Patient-centred Domain levels: 2) Stroke unit,D,D,D,C,D,E,D,D,D,E,D,E,E,E,D,D,D,E,E,E,E,E,E,Too few to report,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,D,C,C,C,C,D,E,C,E,B,C,E,C,C,C,C,E,E,C,E,Too few to report,E,Too few to report,E,E,E,E,E,D,E
Patient-centred Domain levels: 4) Specialist Assessments,D,D,C,C,D,D,B,B,C,D,C,D,B,D,D,D,D,E,E,E,E,Too few to report,E,Too few to report,E,E,E,E,E,E,E
Patient-centred Domain levels: 5) Occupational therapy,C,C,B,C,C,C,B,A,A,B,A,A,C,B,A,A,A,C,E,C,D,E,D,Too few to report,E,C,E,C,E,E,D
Patient-centred Domain levels: 6) Physiotherapy,D,C,B,B,C,D,C,B,C,B,B,B,B,C,B,B,B,B,D,D,D,D,D,Too few to report,D,D,E,E,D,E,C
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,C,C,C,C,B,B,B,C,B,A,A,B,B,A,B,B,C,B,C,D,D,Too few to report,D,C,E,C,E,E,C
Patient-centred Domain levels: 8) MDT working,D,D,C,C,B,C,B,B,B,C,C,C,C,C,B,B,C,E,E,E,E,E,E,Too few to report,E,E,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,B,D,C,B,B,C,B,B,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,Too few to report,B,B,D,B,C,B,B
Patient-centred Domain levels: 10) Discharge processes,C,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,Too few to report,A,A,A,A,A,A,B
Patient-centred KI level Patient-centred Total KI level,D,D,C,C,C,D,C,B,C,D,B,B,B,C,B,B,B,D,D,D,D,TFP,D,TFP,E,D,E,D,E,E,D
Patient-centred KI level Patient-centred Total KI score,50,50,62,64,60,52,68,70,68,56,74,70,72,66,74.0,76,74,50.0,40.0,50.0,42.0,.,40.0,.,38.0,44.0,30.0,44.0,34.0,38.0,42.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,C,C,C,D,B,B,B,C,B,B,B,D,D,D,D,TFP,D,TFP,E,D,E,D,E,E,D
Patient-centred SSNAP level Patient-centred SSNAP score,45,45,55.8,57.6,57,46.8,61.2,63,61.2,56,74,70,72,66,74.0,76,74,50.0,40.0,50.0,42.0,.,40.0,.,38.0,44.0,28.5,44.0,30.6,38.0,42.0
Team-centred Domain levels: 1) Scanning,E,E,E,E,E,D,E,E,E,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 2) Stroke unit,D,E,D,C,E,E,E,E,E,D,D,C,D,E,D,C,D,E,E,E,E,E,E,Too few to report,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,E,E,E,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,D,E,D,D,D,D,E,E,E,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,C,C,B,C,C,C,C,B,C,C,A,B,D,C,A,B,B,E,E,E,E,E,E,Too few to report,E,E,E,E,E,E,E
Team-centred Domain levels: 6) Physiotherapy,D,C,C,C,C,D,D,C,D,B,B,C,C,D,C,B,B,D,E,E,D,E,D,Too few to report,E,C,E,E,E,E,E
Team-centred Domain levels: 7) Speech and Language therapy,C,C,C,C,C,C,C,C,C,C,B,A,B,B,C,B,C,C,E,C,C,C,E,Too few to report,E,B,D,D,E,E,D
Team-centred Domain levels: 8) MDT working,C,C,C,C,B,C,C,C,D,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,B,D,C,B,B,C,B,B,B,B,B,B,A,B,B,B,A,Too few to report,Too few to report,A,A,Too few to report,A,Too few to report,B,Too few to report,E,A,C,B,A
Team-centred Domain levels: 10) Discharge processes,C,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,A,Too few to report,Too few to report,Too few to report,A,A,Too few to report
Team-centred KI level Team-centred Total KI level,D,D,D,D,D,D,D,D,D,C,B,B,B,C,B,B,B,E,E,D,D,TFP,D,TFP,D,D,E,D,D,D,D
Team-centred KI level Team-centred Total KI score,48,44,52,57.8,55.6,51.1,48.9,53.3,46.7,66.7,80,80,70,63.3,73.3,80,76.7,35.0,20.0,44.0,48.0,.,40.0,.,43.3,45.0,24.0,40.0,40.0,43.3,40.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,E,D,D,D,D,D,D,D,C,B,B,B,C,B,B,B,E,E,D,D,TFP,D,TFP,D,D,E,D,E,D,D
Team-centred SSNAP level Team-centred SSNAP score,43.2,39.6,46.8,52,52.8,46,44,48,42,66.7,80,80,70,63.3,73.3,80,76.7,35.0,20.0,44.0,48.0,.,40.0,.,43.3,45.0,22.8,40.0,36.0,43.3,40.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,138,148,156,156,161,150,155,163,132,120,132,113,85,74,78,82,36,28,26,42,46,59,58,46,34,38,54,54,58,61
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,0.99,0.99,0.97,0.96,0.92,0.94,0.94,0.92,0.91,91%,0.95,0.92,95%,93%,96%,95%,92%,94%,97%,98%,100%,97%,96%,95%,97%,98%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,4,2,2,7,24,22,29,28,14,32,39,34,19,19,19,20,6,7,6,8,9,6,1,1,1,2,5,2,4,2
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.03,0.01,0.01,0.04,0.15,0.15,0.19,0.17,0.11,0.27,0.3,0.3,0.22,26%,0.24,0.24,17%,25%,23%,19%,20%,10%,2%,2%,3%,5%,9%,4%,7%,3%
