0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2018-04-01,2018-10-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2024-01-01,2024-04-01
Team,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda,Ysbyty Cwm Rhondda
SSNAP level,E,D,D,D,D,D,D,C,B,TFP,D,TFP,TFP,C,TFP,C,D,C,B,TFP,D,B,C,C,C,C
SSNAP score,30.5,45.7,44.6,53.4,50.9,54.2,58.8,61.1,74.6,.,59.1,.,.,60,.,64.1,59.3,65.3,72.4,.,56.8,74.3,61.9,67.4,60.9,67.6
Case ascertainment band,D,A,C,A,B,A,A,A,A,A,A,,,B,B,A,B,A,A,A,C,A,B,A,B,A
Audit compliance band,D,D,D,D,D,C,B,D,B,B,D,E,D,D,A,B,B,D,C,B,B,A,C,B,B,B
Combined Total Key Indicator level,D,D,C,C,C,C,C,B,B,TFP,C,TFP,TFP,B,TFP,C,C,B,A,TFP,B,B,B,B,C,B
Combined Total Key Indicator score,51.2,53.8,61.7,62.9,63.1,60.2,61.9,71.9,78.6,.,69.5,.,.,74.3,.,67.5,65.7,76.8,80.5,.,70.4,74.3,72.4,71.0,67.5,71.2
Number of records completed: Team-centred post-72h all teams cohort,20,22,30,34,31,30,31,21,25,21,22,20,21,20,24,25,22,23,28,22,20,38,26,28,22,22
Patient-centred Domain levels: 2) Stroke unit,B,A,A,A,B,A,B,A,A,Too few to report,D,Too few to report,Too few to report,C,Too few to report,E,C,E,D,Too few to report,E,E,D,C,D,C
Patient-centred Domain levels: 5) Occupational therapy,D,B,B,A,A,A,A,B,A,Too few to report,A,Too few to report,Too few to report,A,Too few to report,A,A,A,A,Too few to report,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,D,D,D,C,C,D,C,B,B,Too few to report,B,Too few to report,Too few to report,B,Too few to report,B,B,A,A,Too few to report,A,A,A,B,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,D,D,C,D,E,E,E,C,D,Too few to report,D,Too few to report,Too few to report,C,Too few to report,B,B,A,A,Too few to report,B,C,B,C,C,D
Patient-centred Domain levels: 8) MDT working,E,E,E,E,D,E,E,C,D,Too few to report,C,Too few to report,Too few to report,D,Too few to report,E,D,E,E,Too few to report,E,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,C,B,B,A,A,B,B,A,A,Too few to report,B,Too few to report,Too few to report,B,Too few to report,B,B,C,C,Too few to report,B,B,B,B,C,B
Patient-centred Domain levels: 10) Discharge processes,D,E,D,D,D,D,D,C,B,Too few to report,C,Too few to report,Too few to report,C,Too few to report,D,C,B,A,Too few to report,C,A,B,B,C,C
Patient-centred KI level Patient-centred Total KI level,D,D,C,C,C,D,D,B,B,TFP,C,TFP,TFP,C,TFP,C,B,C,B,TFP,C,C,B,C,C,C
Patient-centred KI level Patient-centred Total KI score,45.7,54.3,60,65.7,62.9,57.1,57.1,77.1,77.1,.,65.7,.,.,68.6,.,60.0,71.4,68.6,74.3,.,65.7,68.6,71.4,68.6,60.0,65.7
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,D,D,D,D,C,B,TFP,D,TFP,TFP,D,TFP,D,C,D,C,TFP,D,C,C,C,D,C
Patient-centred SSNAP level Patient-centred SSNAP score,27.2,46.1,43.4,55.9,50.8,51.4,54.3,65.6,73.3,.,55.9,.,.,55.4,.,57.0,64.5,58.3,66.9,.,53.1,68.6,61.1,65.1,54.2,62.4
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,A,B,B,A,A,C,A,A,A,A,A,A,C,B,C,A,A,A,A,A,B,B,A,A
Team-centred Domain levels: 6) Physiotherapy,D,C,D,D,D,D,C,C,B,A,B,D,D,C,D,B,C,B,A,B,B,A,C,C,B,A
