0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01
Team,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital,Morriston Hospital
SSNAP level,E,E,D,D,D,D,D,D,D,D,C,C,B,B
SSNAP score,30.7,32.5,45,53,49,49,52,46,55,59,62,62.7,75,77
Case ascertainment band,B,B,A,A,A,A,A,B,A,A,A,A,A,B
Audit compliance band,B,B,A,A,A,A,A,B,A,A,A,B,B,A
Combined Total Key Indicator level,E,E,D,D,D,D,D,D,D,D,C,C,B,A
Combined Total Key Indicator score,34,36,45,53,49,49,52,51,55,59,62,66,79,81
Number of records completed: Team-centred post-72h all teams cohort,128,130,146,149,126,137,153,126,151,149,166,151,148,132
Patient-centred Domain levels: 1) Scanning,D,D,D,D,D,D,D,D,D,D,C,C,B,A
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,E,E,E,D,C,C
Patient-centred Domain levels: 3) Thrombolysis,D,D,D,D,D,D,C,D,D,D,D,C,B,B
Patient-centred Domain levels: 4) Specialist Assessments,E,D,D,D,D,E,D,D,D,D,B,B,B,A
Patient-centred Domain levels: 5) Occupational therapy,E,E,D,D,D,C,E,D,B,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,C,A,A,B,B,B,C,A,A,D,C,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,D,C,C,D,D,D,E,E,C,C,C,C
Patient-centred Domain levels: 8) MDT working,D,D,D,C,D,D,C,C,B,A,A,B,A,A
Patient-centred Domain levels: 9) Standards by discharge,E,E,C,B,B,A,A,A,B,B,B,B,B,A
Patient-centred Domain levels: 10) Discharge processes,D,D,D,D,D,D,D,D,D,D,D,D,C,D
Patient-centred KI level Patient-centred Total KI level,E,E,D,D,D,D,D,D,D,D,C,C,B,A
Patient-centred KI level Patient-centred Total KI score,32,34,46,52,48,48,50,48,54,58,62,66,78,82
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,D,D,D,D,D,D,D,D,C,C,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,28.9,30.7,46,52,48,48,50,43.3,54,58,62,62.7,74.1,77.9
Team-centred Domain levels: 1) Scanning,D,D,D,D,D,D,D,D,D,C,C,C,B,A
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,E,E,E,D,C,C
Team-centred Domain levels: 3) Thrombolysis,D,D,D,D,D,D,C,D,D,D,D,C,B,B
Team-centred Domain levels: 4) Specialist Assessments,E,D,D,D,D,E,D,D,D,D,B,B,B,A
Team-centred Domain levels: 5) Occupational therapy,E,E,E,D,E,D,D,E,B,B,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,A,A,A,A,B,A,A,A,C,C,A,B
Team-centred Domain levels: 7) Speech and Language therapy,D,D,D,C,C,C,D,C,C,C,C,C,B,C
Team-centred Domain levels: 8) MDT working,D,D,D,C,D,D,B,B,B,B,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,E,E,C,A,A,A,A,A,B,B,B,B,B,A
Team-centred Domain levels: 10) Discharge processes,D,D,D,D,D,D,D,D,E,D,D,D,C,D
Team-centred KI level Team-centred Total KI level,E,E,D,D,D,D,D,D,D,C,C,C,B,B
Team-centred KI level Team-centred Total KI score,36,38,44,54,50,50,54,54,56,60,62,66,80,80
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,D,D,D,D,D,D,D,C,C,C,B,B
Team-centred SSNAP level Team-centred SSNAP score,32.5,34.3,44,54,50,50,54,48.7,56,60,62,62.7,76,76
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,65,163,177,129,140,127,135,130,104,236,238,221,196
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,0.98,0.89,0.76,0.72,0.66,0.72,0.68,0.59,0.85,0.92,0.88,0.88
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,17,58,54,63,54,59,58,45,52,52,72,78
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0.1,0.33,0.42,0.45,0.43,0.44,0.45,0.43,0.22,0.22,0.33,0.4
