0,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01
Team,University Hospital Aintree,University Hospital Aintree,University Hospital Aintree,University Hospital Aintree,University Hospital Aintree
SSNAP level,B,B,C,B,B
SSNAP score,72,78,66,70.0,79
Case ascertainment band,A,A,A,A,A
Audit compliance band,A,A,A,A,A
Combined Total Key Indicator level,B,B,C,B,B
Combined Total Key Indicator score,72,78,66,70.0,79
Number of records completed: Team-centred post-72h all teams cohort,111,128,139,141,133
Patient-centred Domain levels: 1) Scanning,B,A,B,C,B
Patient-centred Domain levels: 2) Stroke unit,D,C,D,D,D
Patient-centred Domain levels: 3) Thrombolysis,C,C,C,D,A
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,A,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,C,B,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,C,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,D,E,D,C
Patient-centred Domain levels: 8) MDT working,C,C,C,B,B
Patient-centred Domain levels: 9) Standards by discharge,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,B,C,B,A
Patient-centred KI level Patient-centred Total KI score,72,78,66,70.0,82
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,B,C,B,A
Patient-centred SSNAP level Patient-centred SSNAP score,72,78,66,70.0,82
Team-centred Domain levels: 1) Scanning,B,A,B,C,B
Team-centred Domain levels: 2) Stroke unit,D,C,D,D,D
Team-centred Domain levels: 3) Thrombolysis,C,C,C,D,B
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,A,B
Team-centred Domain levels: 5) Occupational therapy,A,A,C,B,B
Team-centred Domain levels: 6) Physiotherapy,B,B,C,C,B
Team-centred Domain levels: 7) Speech and Language therapy,E,D,E,D,D
Team-centred Domain levels: 8) MDT working,C,C,C,B,B
Team-centred Domain levels: 9) Standards by discharge,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,B,C,B,B
Team-centred KI level Team-centred Total KI score,72,78,66,70.0,76
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,C,B,B
Team-centred SSNAP level Team-centred SSNAP score,72,78,66,70.0,76
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),118,146,168,172,187
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.61,0.71,0.85,87%,0.88
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),59,51,53,64,58
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.5,0.35,0.32,37%,0.31
