0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Nevill Hall Hospital,Nevill Hall Hospital,Nevill Hall Hospital,Nevill Hall Hospital,Nevill Hall Hospital,Nevill Hall Hospital,Nevill Hall Hospital,Nevill Hall Hospital,Nevill Hall Hospital,Nevill Hall Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Royal Gwent Hospital,Grange University Hospital,Grange University Hospital,Grange University Hospital,Grange University Hospital,Grange University Hospital,Grange University Hospital,Grange University Hospital,Grange University Hospital,Grange University Hospital,Grange University Hospital,Grange University Hospital,Grange University Hospital,Grange University Hospital,Grange University Hospital
SSNAP level,E,E,D,D,D,D,D,D,D,D,C,B,C,B,B,B,C,C,C,D,D,D,E,X,D,D,D,D,D,C,D
SSNAP score,24.3,27.2,45.6,50.3,53,48,57,57,56,44.2,69,72,69,76,71.0,71,69,62.0,60.0,48.4,40.5,55.8,35.9,.,45.9,56.0,58.5,55.1,46.0,62.0,48.0
Case ascertainment band,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,E,A,A,A,A,A,A,A
Audit compliance band,C,D,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,C,C,C,X,C,B,C,B,A,A,A
Combined Total Key Indicator level,E,E,D,D,D,D,D,D,D,D,C,B,C,B,B,B,C,C,C,D,D,C,D,X,D,D,C,D,D,C,D
Combined Total Key Indicator score,27,32,48,53,53,48,57,57,59,49,69,72,69,76,71.0,71,69,62.0,60.0,51.0,45.0,62.0,42.0,.,51.0,59.0,65.0,58.0,46.0,62.0,48.0
Number of records completed: Team-centred post-72h all teams cohort,75,69,78,89,81,73,84,78,51,53,219,189,187,197,204,214,210,183,186,174,182,192,122,Insufficient records,166,183,186,186,235,215,179
Patient-centred Domain levels: 1) Scanning,E,E,E,D,D,C,C,C,C,D,A,A,A,A,A,A,A,A,B,A,A,A,B,Insufficient records,B,A,A,B,B,A,B
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,D,E,E,C,E,D,D,D,E,E,E,E,E,E,E,E,Insufficient records,E,E,E,E,E,E,E
